trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,trans_x_der,trans_y_der,trans_z_der,rot_x_der,rot_y_der,rot_z_der,trans_x_2,trans_y_2,trans_z_2,rot_x_2,rot_y_2,rot_z_2,trans_x_der_2,trans_y_der_2,trans_z_der_2,rot_x_der_2,rot_y_der_2,rot_z_der_2,a_comp_cor_00,a_comp_cor_01,a_comp_cor_02,a_comp_cor_03,a_comp_cor_04,0,0.1,1.51e-07,0.2,0.3,-6.16e-07,0.4,0.5,1.82e-06,0.6,0.7,-2.59e-06,0.8,0.9,3.19e-06,initdum_1.0
-6.8531e-09,-1.05577e-09,0,0,-0,-5.77422e-05,0,0,0,0,0,0,4.696498e-17,1.1146503e-18,0,0,0,3.3341617e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2642924,0,0,-3.3390831,0,0,5.9185555,0,0,-7.5387664,0,0,8.5980381,1
-0.0171441,0.0381371,0.0988504,-0.000265572,-0,0,-0.017144093,0.038137101,0.0988504,-0.000265572,0,5.77422e-05,0.00029392016,0.0014544384,0.0097714016,7.0528487e-08,0,0,0.00029391993,0.0014544385,0.0097714016,7.0528487e-08,0,3.3341617e-09,-0.30338521,0.082146148,-0.069265815,-0.15805769,-0.023272775,0.3363319,0,10.340069,-0.97995338,0,-15.337109,1.8664935,0,15.641102,-2.4948258,0,-11.05414,3.0341856,0,5.6495742,0
-0.0256737,0.0339986,0.0973189,0.000894872,-0.000177189,7.30605e-05,-0.0085296,-0.0041385,-0.0015315,0.001160444,-0.000177189,7.30605e-05,0.00065913887,0.0011559048,0.0094709683,8.007959e-07,3.1395942e-08,5.3378367e-09,7.2754076e-05,1.7127182e-05,2.3454923e-06,1.3466303e-06,3.1395942e-08,5.3378367e-09,-0.15444553,-0.096739381,-0.085613341,-0.20193348,0.048768918,8.0267167,0,19.61723,-15.986889,0,-11.326944,22.771621,0,-0.7532593,-24.455368,0,10.545494,23.756792,0,-9.6118883,0
-0.0360642,0.0167304,0.182458,-0.000275311,-0,7.54616e-05,-0.0103905,-0.0172682,0.0851391,-0.001170183,0.000177189,2.4011e-06,0.0013006265,0.00027990628,0.033290922,7.5796147e-08,0,5.6944531e-09,0.00010796249,0.00029819073,0.0072486663,1.3693283e-06,3.1395942e-08,5.7652812e-12,0.0082875245,-0.1940116,-0.077727979,-0.16578797,0.10334211,35.646218,0,19.195853,-46.531439,0,8.6063729,44.872643,0,-12.041765,-31.42687,0,2.5119285,20.803266,0,10.810683,0
-0.0530197,0.0442604,0.207433,-0.000272398,-0.000315452,-0.000202047,-0.0169555,0.02753,0.024975,2.913e-06,-0.000315452,-0.0002775086,0.0028110886,0.001958983,0.043028449,7.420067e-08,9.9509964e-08,4.082299e-08,0.00028748898,0.0007579009,0.00062375062,8.485569e-12,9.9509964e-08,7.7011023e-08,0.13816305,-0.15458281,-0.14114848,-0.065015845,0.02261703,75.67187,0,10.645083,-56.365318,0,19.336692,32.609345,0,7.6479823,-10.80615,0,-11.200488,14.182407,0,-1.4837004,0
-0.0594669,0.0298792,0.234863,-3.50646e-05,-0.000414389,-0.000259812,-0.0064472,-0.0143812,0.02743,0.0002373334,-9.8937e-05,-5.7765e-05,0.0035363122,0.00089276659,0.055160629,1.2295262e-09,1.7171824e-07,6.7502275e-08,4.1566388e-05,0.00020681891,0.0007524049,5.6327143e-08,9.78853e-09,3.3367952e-09,0.14247033,-0.067175274,-0.13340233,-0.00339118,0.081755947,108.81782,0,1.5924663,-29.662492,0,10.960955,19.656091,0,18.886283,-20.011735,0,12.51355,32.98514,0,-4.9736697,0
-0.0489003,0.0468144,0.234718,0.000435517,-0.000134232,-0.000242849,0.0105666,0.0169352,-0.000145,0.0004705816,0.000280157,1.6963e-05,0.0023912393,0.002191588,0.05509254,1.8967506e-07,1.801823e-08,5.8975637e-08,0.00011165304,0.000286801,2.1025e-08,2.2144704e-07,7.8487945e-08,2.8774337e-10,0.10718186,0.049740703,-0.081852957,-0.1078042,0.036715786,123.57823,0,-1.8719986,4.580444,0,1.2726318,45.727178,0,8.3745747,-27.022416,0,15.935565,21.330641,0,15.372438,0
-0.045003,0.0167446,0.243495,5.72485e-05,-0.000378483,-0.00010825,0.0038973,-0.0300698,0.008777,-0.0003782685,-0.000244251,0.000134599,0.00202527,0.00028038163,0.059289815,3.2773908e-09,1.4324938e-07,1.1718063e-08,1.5188947e-05,0.00090419287,7.7035729e-05,1.4308706e-07,5.9658551e-08,1.8116891e-08,0.096093587,0.15153117,-0.14081654,-0.011815948,-0.13610529,123.83761,0,-1.56221,19.263492,0,-1.6455361,77.170796,0,-0.11762192,3.3965724,0,5.4104877,26.995908,0,14.35871,0
-0.0680817,0.0423343,0.244518,-0.000282243,-0.000574604,-0.000252591,-0.0230787,0.0255897,0.001023,-0.0003394915,-0.000196121,-0.000144341,0.0046351179,0.001792193,0.059789052,7.9661111e-08,3.3016976e-07,6.3802213e-08,0.00053262639,0.00065483275,1.046529e-06,1.1525448e-07,3.8463447e-08,2.0834324e-08,0.023241691,0.13755234,-0.098194366,0.0021161958,0.11152093,120.1169,0,-0.62045943,19.264761,0,-1.1680815,87.359357,0,-1.7165384,28.093393,0,-0.12545426,58.74355,0,5.7926074,0
-0.071796,0.0349106,0.227268,-0.000322393,-0.000618118,0,-0.0037143,-0.0074237,-0.01725,-4.015e-05,-4.3514e-05,0.000252591,0.0051546656,0.00121875,0.051650744,1.0393725e-07,3.8206986e-07,0,1.3796024e-05,5.5111322e-05,0.0002975625,1.6120225e-09,1.8934682e-09,6.3802213e-08,-0.022353341,0.0858406,-0.041223996,0.078456219,0.1339346,117.32428,0.3363319,-0.15039706,17.141225,-0.97995338,-0.39903786,83.676309,1.8664935,-0.85907215,36.948335,-2.4948258,-0.79713929,78.558444,3.0341856,0.96952874,0
