trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,trans_x_der,trans_y_der,trans_z_der,rot_x_der,rot_y_der,rot_z_der,trans_x_2,trans_y_2,trans_z_2,rot_x_2,rot_y_2,rot_z_2,trans_x_der_2,trans_y_der_2,trans_z_der_2,rot_x_der_2,rot_y_der_2,rot_z_der_2,a_comp_cor_00,a_comp_cor_01,a_comp_cor_02,a_comp_cor_03,a_comp_cor_04,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.10,0.11,0.12,0.13,0.14,initdum_1.0
0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-1.94532e-10,0.0391299,0.0297685,0.000923347,-0,0,-1.94532e-10,0.0391299,0.0297685,0.000923347,0,0,3.7842699e-20,0.0015311491,0.00088616359,8.5256968e-07,0,0,3.7842699e-20,0.0015311491,0.00088616359,8.5256968e-07,0,0,-0.0003066809,0.13494841,-0.16628533,0.019730078,-0.10075662,0.3363319,0,0,-0.97995338,0,0,1.8664935,0,0,-2.4948258,0,0,3.0341856,0,0,0
-5.7267e-06,0.0336287,0.0509739,0.0002394,6.52702e-05,0,-5.7265055e-06,-0.0055012,0.0212054,-0.000683947,6.52702e-05,0,3.2795093e-11,0.0011308895,0.0025983385,5.731236e-08,4.260199e-09,0,3.2792865e-11,3.0263201e-05,0.00044966899,4.677835e-07,4.260199e-09,0,0.058797634,0.0019767342,0.032971448,-0.0012693638,-0.044530633,8.0267167,0,0,-15.986889,0,0,22.771621,0,0,-24.455368,0,0,23.756792,0,0,0
0,0.0745092,0.0489226,0.000144456,-0,0,5.7267e-06,0.0408805,-0.0020513,-9.4944e-05,-6.52702e-05,0,0,0.0055516209,0.0023934208,2.0867536e-08,0,0,3.2795093e-11,0.0016712153,4.2078317e-06,9.0143631e-09,4.260199e-09,0,0.037899075,-0.034898285,-0.016207852,-0.005710396,-0.086089409,35.646218,0,0,-46.531439,0,0,44.872643,0,0,-31.42687,0,0,20.803266,0,0,0
-4.6037e-06,-0.0276878,0.0452053,0.000615036,-0,-5.11781e-05,-4.6037e-06,-0.102197,-0.0037173,0.00047058,0,-5.11781e-05,2.1194054e-11,0.00076661427,0.0020435191,3.7826928e-07,0,2.6191979e-09,2.1194054e-11,0.010444227,1.3818319e-05,2.2144554e-07,0,2.6191979e-09,-0.081008435,0.035523162,-0.031395525,0.069676823,-0.10367429,75.67187,0,0,-56.365318,0,0,32.609345,0,0,-10.80615,0,0,14.182407,0,0,0
-0.0175569,0.107087,0.00253004,-4.75727e-05,-0,0,-0.017552296,0.1347748,-0.04267526,-0.0006626087,0,5.11781e-05,0.00030824474,0.011467626,6.4011024e-06,2.2631618e-09,0,0,0.00030808311,0.018164247,0.0018211778,4.3905029e-07,0,2.6191979e-09,0.0070118949,0.22237687,0.034257575,-0.044856268,-0.098969484,108.81782,0,0,-29.662492,0,0,19.656091,0,0,-20.011735,0,0,32.98514,0,0,0
-0.0189258,0.0152044,-0.00224638,0.00112538,0.000118017,0,-0.0013689,-0.0918826,-0.00477642,0.0011729527,0.000118017,0,0.00035818591,0.00023117378,5.0462231e-06,1.2664801e-06,1.3928012e-08,0,1.8738872e-06,0.0084424122,2.2814188e-05,1.375818e-06,1.3928012e-08,0,-0.0079621912,0.23946995,-0.049188451,-0.028982913,0.012232041,123.57823,0,0,4.580444,0,0,45.727178,0,0,-27.022416,0,0,21.330641,0,0,0
-0.0130296,0.0438794,-0.0149469,0.000988032,-0,-0.000274722,0.0058962,0.028675,-0.01270052,-0.000137348,-0.000118017,-0.000274722,0.00016977048,0.0019254017,0.00022340982,9.7620723e-07,0,7.5472177e-08,3.4765174e-05,0.00082225563,0.00016130321,1.8864473e-08,1.3928012e-08,7.5472177e-08,0.18281113,0.014411665,-0.016142855,-0.0095278964,0.057786196,123.83761,0,0,19.263492,0,0,77.170796,0,0,3.3965724,0,0,26.995908,0,0,0
-0.0288737,0.11978,0.0169972,0.000361568,-0.000264671,-0.000319045,-0.0158441,0.0759006,0.0319441,-0.000626464,-0.000264671,-4.4323e-05,0.00083369055,0.014347248,0.00028890481,1.3073142e-07,7.0050738e-08,1.0178971e-07,0.0002510355,0.0057609011,0.0010204255,3.9245714e-07,7.0050738e-08,1.9645283e-09,0.010565973,-0.076550933,-0.053879067,-0.020053254,0.14086264,120.1169,0,0,19.264761,0,0,87.359357,0,0,28.093393,0,0,58.74355,0,0,0
-0.0323946,0.0275071,0.0425566,0.00118231,-9.09609e-23,-0.000419483,-0.0035209,-0.0922729,0.0255594,0.000820742,0.000264671,-0.000100438,0.0010494101,0.00075664055,0.0018110642,1.3978569e-06,8.2738853e-45,1.7596599e-07,1.2396737e-05,0.0085142881,0.00065328293,6.7361743e-07,7.0050738e-08,1.0087792e-08,-0.0074214161,-0.11432049,0.043658208,-0.13005476,0.01776613,117.32428,0.3363319,0,17.141225,-0.97995338,0,83.676309,1.8664935,0,36.948335,-2.4948258,0,78.558444,3.0341856,0,0
