trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,trans_x_der,trans_y_der,trans_z_der,rot_x_der,rot_y_der,rot_z_der,trans_x_2,trans_y_2,trans_z_2,rot_x_2,rot_y_2,rot_z_2,trans_x_der_2,trans_y_der_2,trans_z_der_2,rot_x_der_2,rot_y_der_2,rot_z_der_2,a_comp_cor_00,a_comp_cor_01,a_comp_cor_02,a_comp_cor_03,a_comp_cor_04,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.10,0.11,0.12,0.13,0.14
0.000255906,-0.109117,-0.193303,-0.00300026,-3.71788e-05,0.00116673,0,0,0,0,0,0,6.5487881e-08,0.01190652,0.03736605,9.0015601e-06,1.3822632e-09,1.3612589e-06,0,0,0,0,0,0,0.190664,0.084439554,-0.017473398,0.087893792,-0.090653812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00763452,-0.0581592,-0.161555,-0.00305345,0.000196396,0.00079208,0.007378614,0.0509578,0.031748,-5.319e-05,0.0002335748,-0.00037465,5.8285896e-05,0.0033824925,0.026100018,9.3235569e-06,3.8571389e-08,6.2739073e-07,5.4443945e-05,0.0025966974,0.0010079355,2.8291761e-09,5.4557187e-08,1.4036262e-07,0.069697978,0.039766872,0.014107687,-0.0028446857,0.053337971,0.3363319,0,0,-0.97995338,0,0,1.8664935,0,0,-2.4948258,0,0,3.0341856,0,0
-0.00862562,-0.11053,-0.140981,-0.00308233,0.000263783,0.000764036,-0.01626014,-0.0523708,0.020574,-2.888e-05,6.7387e-05,-2.8044e-05,7.440132e-05,0.012216881,0.019875642,9.5007582e-06,6.9581471e-08,5.8375101e-07,0.00026439215,0.0027427007,0.00042328948,8.340544e-10,4.5410078e-09,7.8646594e-10,0.021283249,0.0076401101,-0.0070021886,-0.030295802,0.075794044,8.0267167,0,0,-15.986889,0,0,22.771621,0,0,-24.455368,0,0,23.756792,0,0
0.000135927,-0.0402206,-0.114118,-0.00387566,3.83641e-05,0.000579054,0.008761547,0.0703094,0.026863,-0.00079333,-0.0002254189,-0.000184982,1.8476149e-08,0.0016176967,0.013022918,1.502074e-05,1.4718042e-09,3.3530353e-07,7.6764706e-05,0.0049434117,0.00072162077,6.2937249e-07,5.081368e-08,3.421834e-08,-0.0090614798,-0.038100172,-0.068433947,-0.13361661,-0.045805566,35.646218,0,0,-46.531439,0,0,44.872643,0,0,-31.42687,0,0,20.803266,0,0
-0.0292571,-0.0566672,-0.140879,-0.00306328,-0.000181274,0.00032541,-0.029393027,-0.0164466,-0.026761,0.00081238,-0.0002196381,-0.000253644,0.0008559779,0.0032111716,0.019846893,9.3836844e-06,3.2860263e-08,1.0589167e-07,0.00086395004,0.00027049065,0.00071615112,6.5996126e-07,4.8240895e-08,6.4335279e-08,-0.044055621,-0.024529173,0.0077181599,-0.041104928,0.11470786,75.67187,0,0,-56.365318,0,0,32.609345,0,0,-10.80615,0,0,14.182407,0,0
-0.0321901,-0.0732589,-0.0894866,-0.00262046,-3.76159e-05,4.08124e-05,-0.002933,-0.0165917,0.0513924,0.00044282,0.0001436581,-0.0002845976,0.0010362025,0.0053668664,0.0080078516,6.8668106e-06,1.4149559e-09,1.665652e-09,8.602489e-06,0.00027528451,0.0026411788,1.9608955e-07,2.063765e-08,8.0995794e-08,-0.028768329,0.018486914,-0.027420492,-0.037241219,0.1206075,108.81782,0,0,-29.662492,0,0,19.656091,0,0,-20.011735,0,0,32.98514,0,0
-0.0450386,-0.028334,-0.0549924,-0.00340197,-0.000352432,4.08124e-05,-0.0128485,0.0449249,0.0344942,-0.00078151,-0.0003148161,0,0.0020284755,0.00080281556,0.0030241641,1.15734e-05,1.2420831e-07,1.665652e-09,0.00016508395,0.0020182466,0.0011898498,6.1075788e-07,9.9109177e-08,0,-0.05260802,-0.025406526,-0.067040096,-0.090030267,0.029632713,123.57823,0,0,4.580444,0,0,45.727178,0,0,-27.022416,0,0,21.330641,0,0
-0.0324139,-0.0226045,-0.030723,-0.00393247,-0.00019376,4.08124e-05,0.0126247,0.0057295,0.0242694,-0.0005305,0.000158672,0,0.0010506609,0.00051096342,0.00094390273,1.546432e-05,3.7542938e-08,1.665652e-09,0.00015938305,3.282717e-05,0.00058900378,2.8143025e-07,2.5176804e-08,0,-0.037056657,0.041049558,-0.0036238421,0.013171088,0.086353966,123.83761,0,0,19.263492,0,0,77.170796,0,0,3.3965724,0,0,26.995908,0,0
-0.0158763,-0.0752555,-0.0757102,-0.00442869,-0.000292875,0.000197005,0.0165376,-0.052651,-0.0449872,-0.00049622,-9.9115e-05,0.0001561926,0.0002520569,0.0056633903,0.0057320344,1.9613295e-05,8.5775766e-08,3.881097e-08,0.00027349221,0.0027721278,0.0020238482,2.4623429e-07,9.8237832e-09,2.4396128e-08,-0.04543485,0.019516387,0.0021948665,-0.0060034875,0.0001316645,119.78057,0.3363319,0.3363319,20.244714,-0.97995338,-0.97995338,85.492863,1.8664935,1.8664935,30.588218,-2.4948258,-2.4948258,55.709365,3.0341856,3.0341856
0.00610364,0.00575673,-0.0716185,-0.00502179,-0.000620058,0.000243212,0.02197994,0.08101223,0.0040917,-0.0005931,-0.000327183,4.6207e-05,3.7254421e-05,3.313994e-05,0.0051292095,2.5218375e-05,3.8447192e-07,5.9152077e-08,0.00048311776,0.0065629814,1.6742009e-05,3.5176761e-07,1.0704872e-07,2.1350868e-09,-0.015017566,0.09076451,0.033197413,0.13970065,-0.075565253,109.6339,8.0267167,7.6903848,32.148161,-15.986889,-15.006936,62.771181,22.771621,20.905128,58.908877,-24.455368,-21.960542,57.835838,23.756792,20.722606
