global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	cosine00	cosine01	cosine02	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15
773.0376708911563	n/a	n/a	597587.2406168237	1273.6472394231744	n/a	1622177.2904902732	n/a	760.5233746293594	n/a	n/a	578395.803357629	870.3310146008544	658.4074377920921	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	n/a	0.0	n/a	0.0	n/a	0.0	n/a	0.0	n/a	n/a	0.0	0.0	n/a	n/a	0.0	-0.0	n/a	0.0	n/a	0.0	n/a	0.0	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
758.0719294279651	-14.965741463191195	223.9734175430801	574673.0501866378	1195.9262290020695	-77.72101042110489	1430239.5452151103	6040.555460877496	758.8757489451631	-1.6476256841963275	2.7146703952234175	575892.4023370822	848.6167927158716	618.2371132657845	2.029664	40.78588900000001	0.17036945	0.0847145	-0.10419654910000001	0.051590451399999994	-0.3500168939	0.07898984839999999	0.0561991328	-0.36040044369999996	0.22339125629999998	-0.016676032099999998	-0.11072885199999999	-0.4316715682	0.1275357258	-0.43229465409999995	0.0433688389	-0.1387748361	0.0786604553	-0.1592265699	0.2111067087	-0.1415898244	0.1563459463	-0.1304246724	0.1522097612	-0.09791851310000001	0.0524815194	-0.0058634585	-0.0489652201	0.231384328	-0.100278959	0.0264011079	-0.0663877892	0.048327411699999996	-0.1013243692	0.11581170140000001	-0.0337085652	0.0141211447	-0.0857488883	-0.2400870452	0.16884185780000002	0.0622543933	-0.5069300027	0.2796210811	-0.0569938315	0.24101144530000002	-0.09286188599999999	0.053192698499999996	0.0027748019000000002	-0.19991590050000002	0.057625095999999994	-0.0144291331	0.09960246310000001	-0.1669177265	0.1274327794	0.1128608806	0.1128439341	0.1128156919	0.0	0.0174829	0.0174829	0.00030565179241	0.00030565179241	0.0274319	0.0274319	0.0007525091376100003	0.0007525091376100003	0.053957000000000005	0.053957000000000005	0.0029113578490000003	0.0029113578490000003	0.00116326	0.00116326	1.3531738276e-06	1.3531738276e-06	-4.8902899999999995e-24	-4.8902899999999995e-24	2.39149362841e-47	2.39149362841e-47	0.000266693	0.000266693	7.112515624899999e-08	7.112515624899999e-08	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
761.2172423383317	3.1453129103666697	9.89299330411925	579451.6900331746	1192.6960980455133	-3.230130956556195	1422523.9822929925	10.43374599650264	760.8701166370375	1.9943676918744584	3.977502490392656	578923.334391259	848.0631755604944	619.3883111588215	2.130215	42.806446	0.41547202	0.286529	-0.0672119466	-0.023015260299999996	-0.2059134309	0.035203677999999995	0.17184426260000002	-0.26264438030000004	0.1745875064	0.0617350709	-0.0963476259	-0.22189350089999998	-0.0381227039	-0.2569412319	0.1338971853	-0.1212240501	0.0083211377	-0.1418021212	0.025964879	-0.1982382847	-0.125194715	0.1405625258	-0.2315824152	0.15012816	-0.2506258629	0.0207898922	-0.0098427835	-0.0176618049	0.0914101622	0.1318758985	-0.0090834716	-0.0051066242	0.0685294328	-0.17505798309999998	0.0885113858	-0.09819331630000001	0.07389498900000001	-0.2137170936	0.1456066396	0.14832762689999998	-0.346994091	0.1012125947	0.02162676	0.2081962636	0.1776871992	0.036992008300000004	-0.0408862614	-0.100317924	0.1331179216	-0.0207181086	-0.2716408951	0.1333495422	-0.005788156500000001	0.1128156919	0.1126632248	0.11240926539999999	0.0	0.00741187	-0.010071029999999998	5.49358168969e-05	0.00010142564526089997	0.042533600000000005	0.015101700000000003	0.0018091071289600004	0.0002280613428900001	0.263668	0.20971099999999995	0.04397870352099998	0.06952081422399997	-0.00170764	-0.0028709	8.24206681e-06	2.9160343696e-06	6.02978e-05	6.02978e-05	3.6358246848399997e-09	3.6358246848399997e-09	-0.000413875	-0.000680568	1.7129251562500005e-07	4.63172802624e-07	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
767.8812782158064	6.664035877474703	44.409374176270035	589641.6574343408	1236.7707773472575	44.07467930174426	1529601.9557001397	1942.5773555516034	765.2153927363794	4.345276099341845	18.88142437951148	585554.5972806914	849.5460713404041	627.9813911744537	2.720061	54.659348	1.12179359	0.7061189999999999	-0.025950054700000003	0.01662184	-0.0375040763	-0.5722943032	-0.0592432247	-0.1010059366	0.2635523491	0.30119446710000003	0.0146820346	0.1628247227	-0.2100213486	0.3006869428	0.0092589154	0.0753466211	0.09220053380000001	-0.1784722006	0.1645670256	-0.17553597629999998	-0.0526839266	0.29142372969999997	-0.30927481170000004	0.0530313086	0.055631331799999996	-0.0855035496	0.1661177668	0.212293418	-0.1479229442	0.0288365912	-0.1437492377	-0.0045887458	0.0633671896	0.0390758027	-0.1679959173	-0.0639634102	-0.2080612936	0.1697054434	-0.40516702200000004	0.0200599446	-0.0069471914	-0.3763936454	0.0513178012	0.399064719	0.2295946722	0.1840804515	0.2326042236	-0.1649811873	0.21141847239999997	-0.25684834230000003	-0.0665606221	0.017321774499999998	0.099557799	0.1127253327	0.1123020954	0.1115978766	0.0	0.0214196	0.01400773	0.00045879926416	0.0001962164997529	0.1707	0.1281664	0.02913849	0.016426626088959995	0.709908	0.44623999999999997	0.19913013760000006	0.503969368464	-0.0103326	-0.008624960000000001	7.438993500160001e-05	0.00010676262276	0.00113408	0.0010737822	1.2861374464e-06	1.1530082130368398e-06	0.0005549719999999999	0.000968847	3.0799392078399985e-07	9.386645094089998e-07	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
757.5205862990096	-10.360691916796897	107.34393699478052	573837.438666795	1176.6998514644224	-60.070925882835134	1384622.5404363938	3608.516136421071	763.7654845388776	-1.4499081975018269	2.1022337811829974	583337.7153729064	845.6327432888701	603.5955723484117	2.512812	50.494694	0.7016641	0.37791	-0.0878630768	0.0964958905	0.0418596687	0.20646310690000005	-0.036826960299999996	-0.021783247599999996	-0.1189640955	-0.22859797280000002	-0.1023734967	0.1215321057	0.1211215886	-0.032711632000000004	-0.0718431803	-0.0105548244	0.009775245200000001	0.041377645299999995	0.0535212301	-0.007701879	0.0148671619	-0.0051681721	-0.12274227830000001	-0.0530910673	0.1557083755	0.130367113	0.0347937773	-0.1314823874	0.27074528940000003	-0.0089351684	0.047621520300000005	0.2020177577	-0.0523475866	-0.0966782586	-0.183876602	-0.1638877418	0.0087030051	-0.1067471751	0.029240870800000002	-0.1120368858	0.1389592841	0.1711604557	-0.013069196200000001	-0.08418917	-0.0554227778	-0.10822646359999999	-0.10444218039999999	0.0522773683	0.0183222444	-0.08695913289999999	-0.1146926967	-0.09683134060000001	-0.050268023200000005	0.1125898391	0.1117611244	0.1103844485	0.0	-0.0122336	-0.0336532	0.00014966096895999996	0.0011325378702400002	0.019453400000000003	-0.15124659999999998	0.00037843477156000016	0.022875534011559995	0.471582	-0.23832600000000004	0.05679928227600003	0.22238958272399995	-0.00624772	0.004084880000000001	1.6686244614400007e-05	3.90340051984e-05	0.00225394	0.00111986	5.0802455235999985e-06	1.2540864195999998e-06	0.000190946	-0.0003640259999999999	3.6460374916e-08	1.3251492867599994e-07	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
756.3033221640699	-1.2172641349396829	1.4817319742104542	571994.7151164089	1181.3326088005733	4.632757336150917	1395546.7326155684	21.462440535660136	763.1751574731009	-0.5903270657767052	0.3484860445885345	582436.3209840923	845.2939779263122	604.1369320114728	1.089592	21.895239	0.17851384999999995	0.101062	-0.07859353320000001	0.021113415099999998	0.0713986249	0.0910492358	-0.0558015468	0.025832779	-0.19814788149999998	0.048034912199999995	-0.0891169113	0.08488422609999999	0.0368078245	0.039323558	0.014908596699999999	0.0279383423	0.0551105515	0.0705256959	-0.0799512557	-0.0915238406	0.0973610162	-0.0969282347	0.057286502	-0.1399651013	-0.064175471	-0.0657194493	0.1786320639	-0.092663853	0.0756481194	0.0034255657	-0.0755975681	-0.0112341872	-0.0601256104	-0.0546830462	-0.03672881	-0.1003768175	0.1059132849	-0.0685892603	-0.0341676025	-0.0996169951	0.0770328005	-0.0132909728	0.015125432	-0.0856810928	-0.046433107	-0.0035517681	-0.1328808426	0.1139556575	0.0360009593	-0.028428067	-0.0705995325	-0.0697874931	-0.0061195665000000005	0.11240926539999999	0.111041178	0.1087733526	0.0	-0.0356884	-0.023454800000000005	0.0012736618945600002	0.0005501276430400002	0.11417	0.0947166	0.013034788900000002	0.008971234315560002	0.499823	0.02824100000000002	0.0007975540810000009	0.249823031329	-0.00645151	-0.00020378999999999967	4.153036409999988e-08	4.16219812801e-05	0.0020516	-0.00020234000000000007	4.209062559999998e-06	4.094147560000003e-08	0.000426845	0.00023589900000000005	1.82196654025e-07	5.564833820100001e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
755.5365282371434	-0.7667939269264252	0.5879729263712479	570835.4455006359	1178.7673193393755	-2.5652894611978354	1389492.3931425372	6.580710019732681	761.2650706922466	-1.910086780854272	3.6484315103942335	579524.5078560712	843.4029134810298	596.1642103110009	0.7531939999999999	15.135356	0.06182315000000005	0.0335605	-0.08480683720000001	0.06050938	0.07510579690000001	0.11221648199999999	-0.0009195828999999999	0.0030192988	-0.1571681346	0.0022973833999999998	-0.0748867031	-0.0601073518	0.10685609019999999	0.0297662268	0.0517711021	0.06978604299999999	0.0042201478	0.1472658556	-0.0732082762	-0.10043574400000001	0.0669027863	-0.019888257	-0.0347645529	-0.1851979211	-0.0029543542	0.08375182889999999	0.1779241748	-0.053570521600000004	0.0809328066	-0.1166833114	0.027345748	-0.0696326748	-0.0254206323	0.0783904983	-0.0222962004	0.13916954550000002	-0.07005978809999999	-0.0718948632	-0.0226688212	-0.0690666209	0.027302806699999998	0.07625166	0.054820098399999996	-0.1460299761	0.0568554215	0.038183299	-0.0456899239	0.11193037410000001	0.0381686014	-0.0022131731	-0.011180906000000001	-0.051059506100000006	-0.0076825629	0.11218368390000001	0.1101434092	0.1067703929	0.0	-0.0354904	0.0001980000000000037	0.0012595684921599998	3.9204000000001474e-08	0.138908	0.024738	0.019295432464	0.0006119686439999997	0.50653	0.006707000000000074	4.498384900000099e-05	0.25657264090000004	-0.00657956	-0.00012805000000000019	1.6396802500000056e-08	4.32906097936e-05	0.00163428	-0.00041731999999999967	2.6708711184000005e-06	1.7415598239999974e-07	0.000368612	-5.823300000000004e-05	1.35874806544e-07	3.3910822890000047e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
758.5586311741538	3.0221029370103456	9.133106161886555	575411.1969288059	1184.795545059016	6.0282257196404325	1403740.483591691	36.3395053269344	761.996667473357	0.7315967811103974	0.5352338501310947	580638.9212405018	845.2363369033168	609.4069719517113	0.974922	19.590948	0.31103175000000005	0.17373	-0.0992331213	0.0268358372	-0.0056441992	0.0317271322	-0.0125014679	-0.060789757199999996	-0.15096162	0.09298351279999999	-0.08625065679999999	-0.0333807961	0.022204401800000002	0.0807415205	0.158592951	-0.0991275091	0.0286244758	0.046904178899999996	-0.1072515757	-0.0695668883	-0.013468126200000001	0.0154197595	0.0408571218	0.0766463537	0.029254241400000002	0.1172018351	0.189821945	0.0090572559	0.0039687306	-0.1877157631	-0.09782944029999999	-0.15681128460000002	-0.028967012900000002	0.0873710767	0.0234691402	0.0867060351	0.0952986331	-0.0715513371	-0.05573119730000002	-0.0536892042	-0.0320784547	-0.0302269267	-0.0891738183	-0.079600991	0.0021513516	0.0916157333	-0.0480932601	0.0179773089	-0.1223116304	-0.1600339385	-0.0202101946	-0.008285128499999999	-0.1737376596	0.11191318480000001	0.10906925560000001	0.1043827854	0.0	-0.0593383	-0.023847900000000002	0.0035210338468899998	0.0005687223344100003	0.266156	0.127248	0.070839016336	0.016192053504000003	0.434283	-0.07224700000000006	0.005219629009000009	0.188601724089	-0.00560717	0.00097239	9.455423121e-07	3.14403554089e-05	0.00237703	0.0007427499999999999	5.6502716209e-06	5.516775624999999e-07	0.000407249	3.8636999999999996e-05	1.6585174800099998e-07	1.4928177690000005e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
757.7953925624927	-0.7632386116611087	0.5825331783303768	574253.8569889424	1181.7564644270685	-3.0390806319473995	1396548.341215165	9.236011087477808	761.9038502646441	-0.0928172087128587	0.008615034233246372	580497.4770480893	844.6942479525387	611.5463390884987	1.403319	28.199549	0.41777125	0.292928	-0.10218116669999999	0.035964131600000004	-0.1151296115	0.06488862	0.1498316071	-0.055899839900000005	-0.0293781218	0.0253606004	-0.1112175173	-0.060595445899999996	0.030098773	-0.1352146056	-0.1451752423	-0.0746177107	0.0464369729	-0.0499294563	0.047319090700000004	0.2111296197	-0.14707321369999998	-0.06866222799999999	-0.10769921539999999	0.0772958125	0.05901905530000001	-0.0930761982	0.13169385390000002	-0.0932317166	0.029784559500000002	-0.1380856975	-0.0626735458	0.09247546109999999	0.1544879186	0.046807874299999996	-0.16320121740000001	-0.0163836725	0.146443417	-0.11681660140000001	-0.0073432972	0.11639109539999999	-0.0026567782	0.1395110758	0.0132433843	0.0102911245	-0.0663261814	-0.015376454599999999	0.1261418086	0.0949063828	-0.1576653168	0.0240336219	0.0593041475	-0.0020699679	-0.032954907400000004	0.1115978766	0.1078204375	0.1016191316	0.0	-0.0789973	-0.019659000000000003	0.0062405734072900005	0.00038647628100000014	-0.0268231	-0.2929791	0.0007194786936099999	0.08583675303680999	0.400377	-0.033905999999999985	0.0011496168359999995	0.16030174212899995	-0.00478627	0.0008209000000000003	6.738768100000005e-07	2.29083805129e-05	0.00196067	-0.00041636000000000017	3.844226848899998e-06	1.733556496000001e-07	0.000219966	-0.000187283	4.8385041155999986e-08	3.5074922089e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
757.0848353576143	-0.7105572048783415	0.5048915414045214	573177.447928466	1196.0564363597866	14.299971932718108	1430550.9989576724	204.4891972765257	761.9492970326406	0.04544676799650915	0.0020654087213285285	580566.7312485352	846.6615916602314	611.6259258198937	1.515051	30.444788	0.23122345000000005	0.126884	-0.09974686699999999	0.017700430700000002	0.0533813705	0.0556738519	-0.1543449936	-0.0946642848	-0.0799357608	0.0646536723	-0.11599924689999999	-0.0199566855	0.0290114812	0.0724527992	0.0220609505	-0.0653582924	-0.054964699900000004	0.018995451	-0.1452632084	-0.0577985436	-0.0569918471	0.0020219804999999998	-0.0595742451	-0.0036135551	-0.0352228638	0.1361743935	-0.012325568	0.0028917513000000002	-0.1127060458	0.0992736714	-0.10001815230000001	-0.10330538380000001	-0.0023483428	-0.1504790631	-0.016612481499999998	-0.0732304464	0.1568514885	-0.1050457575	-0.0387008852	-0.1110442385	-0.0013123087	-0.023593914	-0.1379941077	-0.0721866643	-0.113423219	0.0917320125	-0.007226825799999999	-0.058946121799999994	0.048948379699999996	-0.0231756784	-0.0806391929	0.0833244931	0.0770076071	0.11123788539999999	0.1063989547	0.09848938759999999	0.0	-0.0766651	0.0023322000000000065	0.005877537558010001	5.43915684000003e-06	0.0775405	0.1043636	0.006012529140249999	0.01089176100496	0.449104	0.04872700000000002	0.002374320529000002	0.20169440281599998	-0.00585652	-0.00107025	1.1454350625e-06	3.4298826510399986e-05	0.00237703	0.00041636000000000017	5.6502716209e-06	1.733556496000001e-07	0.000190563	-2.9403000000000006e-05	3.6314256968999986e-08	8.645364090000002e-10	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
