global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	cosine00	cosine01	cosine02	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23
778.1810826823356	n/a	605565.7974446521	n/a	1134.100932591421	n/a	n/a	1286184.925304731	768.1356168223531	n/a	n/a	590032.3258310568	824.9100057680321	691.9159231922014	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	n/a	0.0	n/a	0.0	n/a	0.0	n/a	0.0	n/a	n/a	0.0	0.0	n/a	0.0	n/a	-0.0	n/a	0.0	n/a	0.0	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
772.6384212707339	-5.542661411601671	596970.1300237321	30.721095523658228	1098.4189352535848	-35.681997337836265	1273.2049340173544	1206524.1573236191	767.6979355450935	-0.4376812772595713	0.19156490046356967	589360.1202401986	820.9452625399202	707.1878020473904	1.338115	35.971512	0.15079895	0.0770077	-0.0824567596	0.07291871429999999	-0.0168275079	-0.0679896799	-0.142407971	-0.087584754	0.0413087039	-0.1356988907	-0.0352136303	0.09380648289999999	-0.1315145539	0.1633052781	-0.0201677253	-0.0157308457	0.042644283	-0.0875579274	0.0114028849	-0.030587019	0.0091455085	-0.0210822834	0.13250747710000002	-0.1632714121	-0.1207948293	0.043004506399999996	-0.1282980278	0.0941333273	-0.0887222208	0.0149120848	-0.050161745	0.1684732898	-0.0102798458	0.0315165531	-0.00688696	0.05013958	-0.0093040948	0.023840265299999996	-0.0006424048	-0.0195708023	0.022608575699999998	-0.0888006311	-0.0099667922	-0.0480226709	-0.1339367136	0.0061912562	-0.0294766056	0.047750083799999996	-0.0575171836	0.1588603712	-0.0761350095	0.0826154762	-0.0307924378	0.1464488111	-0.25175581140000003	0.0006395901	-0.2279936932	0.11679270480000001	-0.0354995479	0.055887546100000005	-0.1036570201	0.0825329121	-0.1214466835	0.09497139800000001	0.1128608806	0.1128439341	0.1128156919	0.0	-0.0109013	-0.0109013	0.00011883834169	0.00011883834169	0.057188	0.057188	0.0032704673440000004	0.0032704673440000004	-0.0198508	-0.0198508	0.00039405426064	0.00039405426064	-0.000913569	-0.000913569	8.346083177609998e-07	8.346083177609998e-07	-0.0	0.0	0.0	0.0	-0.000343608	-0.000343608	1.1806645766400002e-07	1.1806645766400002e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
771.7028818263065	-0.9355394444274908	595525.3378190263	0.875234052079698	1097.7579934964492	-0.6609417571355607	0.4368440063254425	1205072.6122853502	768.043684473015	0.3457489279214769	0.11954232115885065	589891.1012588842	815.6227709863401	685.0143313195613	1.172186	31.510967	0.2303089	0.150857	-0.0479842301	-0.10060944779999999	0.0461659188	0.1601556117	-0.054578273	0.0416659821	0.0295853054	-0.23680782420000002	0.08091619809999999	-0.1076926436	-0.22231748760000009	0.1505847663	-0.1065970961	-0.0089509834	-0.1203682384	-0.0062653226000000005	-0.1485534091	-0.0820403754	-0.0401391978	-0.1070272578	0.0475937646	-0.1049722477	-0.1376632545	0.08408922769999999	-0.06534692610000001	0.0908523919	-0.0142862287	0.0343113752	0.0694610799	-0.22139496079999998	-0.0553500086	0.0555565342	-0.08210703150000001	0.0908073619	0.1221044389	0.1104700683	-0.049108168099999995	0.08531	0.051430809699999996	0.0543373301	0.0703368977	0.1133501379	0.0929779942	0.0154305751	0.0344614735	0.0945664513	-0.0946144625	0.10607555880000001	-0.17822935780000002	0.036407362	0.1031795122	0.2657010842	-0.2218267815	-0.0412156811	-0.0583609389	-0.054735491500000004	-0.0094952745	0.0127294447	-0.09550930939999999	0.0197254576	-0.0510081483	-0.06662239360000001	0.1128156919	0.1126632248	0.11240926539999999	0.0	-0.0207136	-0.0098123	0.00042905322496	9.628123129e-05	0.0202267	-0.0369613	0.00040911939289	0.00136613769769	0.13055799999999998	0.15040879999999998	0.022622807117439997	0.01704539136399999	-0.000594647	0.00031892199999999986	3.53605054609e-07	1.0171124208399996e-07	-0.0	0.0	0.0	0.0	0.0	0.000343608	1.1806645766400002e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
771.8886620011909	0.18578017488448492	595812.1065259888	0.03451427338010981	1074.3778642432417	-23.380129253207546	546.6304438966911	1154287.7951758695	767.1362381455729	-0.9074463274421304	0.8234588371882103	588498.0078761411	817.2757379556298	680.8119128336632	1.234661	33.190411	0.29781927	0.170309	0.043017559299999994	0.079991217	-0.0052170189	-0.0037347434	0.17182873140000002	-0.150782799	0.047450099800000006	-0.0048350343	-0.1081239904	0.0423698254	-0.0994564369	0.2176239682	0.0157047535	-0.071110105	-0.0056114051	-0.022593497599999998	0.0288352812	0.11151365880000001	-0.009092887	-0.17209848690000001	0.1266294086	-0.0304287877	0.0175398214	0.0133236213	0.0784186482	0.114799899	-0.0130505749	0.0955604805	0.044509531	0.040240448399999997	0.031499156800000004	0.0618225164	0.025833584399999998	0.0554894809	-0.1179913018	0.0868762359	0.0352846979	-0.0160809544	-0.0231367318	-0.0026466785999999997	-0.0462521302	-0.135509521	0.053109032800000004	-0.1807141825	0.026676663	0.0248198216	-0.0872276368	0.175747165	-0.08608483210000001	0.0241320609	0.1480187525	0.010944232199999999	-0.12032407099999999	-0.1523838608	-0.154017835	0.018831556	0.06301592219999999	0.0609497059	0.0718885797	0.0728508739	0.0630396399	0.1646981679	0.1127253327	0.1123020954	0.1115978766	0.0	-0.00922128	0.01149232	8.503200483840001e-05	0.00013207341898239996	-0.0885154	-0.10874210000000001	0.00783497603716	0.011824844312409998	0.0223373	-0.10822069999999998	0.011711719908489994	0.0004989549712899998	0.000146716	0.000741363	2.1525584656e-08	5.49619097769e-07	0.000162523	0.000162523	2.6413725529e-08	2.6413725529e-08	-0.000483397	-0.000483397	2.3367265960900002e-07	2.3367265960900002e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
775.7620559116789	3.873393910487948	601806.767392315	15.003180385805118	1084.998274564743	10.620410321501367	112.79311539705276	1177221.2558084696	770.0033397283252	2.8671015827522983	8.220271485820732	592905.1431927745	818.0505070689667	699.8664099961262	1.140085	30.64802	0.378140753	0.25458800000000004	-0.1034704164	0.0208799728	0.0630731313	0.016970844	-0.0521993137	-0.07720757	-0.0065632973	-0.1234104975	0.0697238079	0.0806861564	-0.149857015	-0.0734971321	-0.1580656538	-0.0580313316	0.1237154115	0.04191607	0.0734659946	0.0404496408	-0.0241174691	-0.037680434	0.004332662100000001	-0.0306989579	0.0114945905	-0.0776585975	0.1190480011	-0.1280589601	-0.0609426087	-0.1482395228	-0.041858490299999995	0.018158149499999998	-0.0748006446	-0.0398334026	0.1397415057	-0.0052218133	0.03340209	0.0245247488	0.0940203308	0.10478343650000001	-0.0243182127	0.0021844816	0.027095531800000003	0.0528868593	-0.0662098635	0.0356199363	-0.0045872994	0.044972385999999996	-0.147101008	0.1091284161	-0.20504000719999999	-0.1810137802	-0.0826358584	-0.10337894	0.0980967027	-0.1176788834	-0.058438062	0.0316323141	0.011761446000000002	-0.0750220118	-0.10476176050000001	0.031027090299999997	0.056013340099999996	-0.0730628707	0.1125898391	0.1117611244	0.1103844485	0.0	0.000199083	0.009420363000000001	3.9634040889e-08	8.874323905176898e-05	0.14708099999999996	0.2355964	0.02163282056099999	0.05550566369295998	0.0903203	0.06798299999999999	0.004621688288999998	0.008157756592089999	-0.000672537	-0.0008192529999999999	4.5230601636899996e-07	6.711754780089997e-07	-6.62938e-05	-0.0002288168	4.39486791844e-09	5.235712796224e-08	-0.000228647	0.00025475	6.489756249999999e-08	5.227945060900001e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
771.6357135248137	-4.12634238686519	595421.6743869482	17.026701493640317	1075.5489585563794	-9.449316008363668	89.28957302591786	1156805.5622517122	769.7546904881692	-0.2486492401559417	0.061826444630127174	592522.2835285371	817.5409728644026	686.4290999514086	1.2295120000000002	33.052013	0.34547564299999994	0.234064	0.0535500858	-0.0695613675	-0.0550473308	-0.023568221099999998	0.0898908981	0.18305609050000002	0.044429138	-0.0146290797	-0.022049451	-0.1020645424	-0.1503073056	-0.0853139084	-0.026910329900000002	-0.0229978458	0.0079476226	0.1136625424	0.1055960631	0.09226020800000001	-0.121158545	0.05698569360000001	-0.016005193799999998	-0.0116601326	-0.0239791744	-0.026269982200000003	-0.0698719386	0.0717564353	0.0078892951	-0.12339272529999999	0.053115579100000004	-0.1259222899	0.09888967650000001	-0.1935090559	0.06506559349999999	0.0481384917	-0.047832886500000005	0.1025477975	-0.06621894769999999	0.0558707096	-0.0218011483	0.1861297567	-0.048111273499999996	-0.01930931	0.1212095291	0.09797828019999999	0.0625194832	0.1589681894	0.014103101699999999	0.1415375221	0.0140538702	-0.024256858	-0.0981959468	-0.0194894434	0.1386054139	-0.1126412631	-0.06527926	0.0918811975	0.0033784021	-0.052471923399999995	0.0617704695	-0.015201883700000004	-0.049363234400000004	-0.13198575380000002	0.11240926539999999	0.111041178	0.1087733526	0.0	-0.037585400000000005	-0.037784483000000015	0.0014126622931600007	0.0014276671555772894	-0.0706133	-0.21769429999999995	0.004986238136890001	0.04739080825248998	0.0918473	0.0015270000000000145	2.3317290000000443e-06	0.00843592651729	0.000716692	0.0013892289999999999	5.13647422864e-07	1.929957214441e-06	-0.000267455	-0.00020116119999999998	7.1532177025e-08	4.046582838544001e-08	-0.000407654	-0.00017900700000000002	3.2043506049e-08	1.6618178371600005e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
772.1982500098852	0.5625364850715187	596290.1373183292	0.3164472970366189	1085.4407301507258	9.891771594346435	97.84714527471905	1178181.5786701408	767.8374536826375	-1.9172368055317293	3.6757969684855096	589574.3552778364	817.7219353057292	702.3223799534056	1.128132	30.326685	0.26069075700000005	0.132735	-0.036027067	0.1090850811	0.0069171661	-0.095000899	-0.0770968882	-0.046401645400000004	0.0491162749	0.0840879241	-0.042161634100000005	0.0844632049	-0.0268733308	-0.0006352726	-0.0729740496	0.0360486579	0.18468818850000002	-0.0704592526	0.0531142263	-0.047524969400000006	-0.0018562592000000001	-0.0984022351	-0.1345322285	-0.07217666730000001	-0.030287978700000006	0.07959234059999999	0.1358671705	-0.09462529789999999	-0.0240745754	-0.06269001889999999	-0.06913511809999999	0.1411889626	-0.023387203399999997	-0.078145518	0.0618859598	0.0828423399	-0.145453163	-0.09443574390000001	-0.0169691161	0.0510425132	-0.0375835326	0.027215481200000002	-0.1044715149	-0.0479736541	-0.1135152144	0.0205655825	-0.043632163200000004	-0.0254066212	0.0632942805	0.19420131570000002	0.12063347890000001	-0.0730327806	0.0092518534	-0.008759272299999999	0.016152743	-0.0197937462	-0.04624427	-0.0220446815	-0.0210485268	0.1652698108	-0.0417034173	-0.0420204502	0.008444695799999999	-0.050483962800000004	0.11218368390000001	0.1101434092	0.1067703929	0.0	-0.0008498079999999999	0.036735592	7.221736368639999e-07	0.0013495037195904644	0.0490212	0.1196345	0.00240307804944	0.01431241359025	0.049555	-0.042292300000000005	0.0017886386392900004	0.002455698025	3.72217e-05	-0.0006794702999999999	1.3854549508900002e-09	4.616798885820901e-07	-0.0005554059999999999	-0.00028795099999999994	3.08475824836e-07	8.291577840099997e-08	-0.0006808	-0.00027314599999999994	7.460873731599996e-08	4.6348864e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
769.587627009884	-2.6106230000011688	592265.1156467043	6.815352448135106	1079.2081801352108	-6.2325500155150175	38.844679695896225	1164690.2960707536	767.9283062896176	0.0908526069800928	0.008254196195079205	589713.8836008407	815.2354810753003	692.3317340937166	1.040341	27.966675	0.14143045799999998	0.101024	-0.052117291100000004	-0.0984963549	0.0418434099	0.0571454865	-0.0393670581	3.87217e-05	-0.1018185945	0.1879343334	0.0382818008	-0.053409024400000005	0.031574039500000005	-0.0051665494000000005	0.0297365237	-0.1334562654	0.0133276818	-0.012555016	0.0180151067	-0.1303054823	0.0047921566	-0.05893175	0.0167100824	-0.027389165	0.1674681297	0.18787246600000002	-0.041772438599999996	0.0123920575	-0.0679157539	0.019866828899999998	0.0319918524	-0.0290468232	-0.148039867	-0.0373892271	-0.1167998545	-0.0008757961	0.0118984321	-0.0718180506	-0.0628937314	-0.0322056371	0.0514510977	0.0152748395	0.0173074595	0.0623315116	0.0138795146	-0.023125834100000003	-0.1029830628	-0.0738651512	0.0490357395	0.021711752999999997	0.06292241400000001	0.0464872308	-0.048879121399999996	0.1885492184	0.058028007300000004	-0.1199496902	0.08817451039999999	0.038900031099999996	0.0129942927	0.034163465	0.0394018989	-0.0274716892	0.053070523499999994	0.1046271162	0.11191318480000001	0.10906925560000001	0.1043827854	0.0	0.0222957	0.023145508	0.00049709823849	0.0005357145405780638	0.0402192	-0.008802000000000004	0.0016175840486399998	7.747520400000008e-05	0.145183	0.09562799999999999	0.009144714384	0.021078103489	3.72217e-05	0.0	1.3854549508900002e-09	0.0	-0.000559359	-3.953000000000116e-06	3.1288249088100004e-07	1.562620900000092e-11	-0.000407654	0.00027314599999999994	7.460873731599996e-08	1.6618178371600005e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
767.1888039009572	-2.398823108926877	588578.6608309813	5.7543523079216055	1072.8218884027358	-6.3862917324750015	40.784722092278564	1150946.804236012	766.2130584294853	-1.7152478601323082	2.9420752216884622	587082.4509078658	815.3893370086791	661.2425139757826	1.059189	28.47336	0.24324438	0.14723599999999998	0.1030868431	0.018308305100000002	0.0150119725	-0.1218306008	0.0046523262	0.0703624357	-0.0838297336	0.06534714309999999	-0.0833044787	-0.07272744190000001	0.0611138479	0.0013052764	-0.06675701519999999	0.0672584456	0.11669560359999999	0.0606982426	-0.0541566017	0.0052549581	-0.07075275240000001	-0.1064098599	0.07288468099999999	-0.0098214689	-0.0421891455	0.0071440267	0.0798408144	-0.010300066600000001	0.1136018244	-0.0560179326	-0.080186831	0.0415186115	0.0300272061	-0.024398954100000002	-0.080521925	0.00874864	-0.11368717240000001	-0.0086967493	0.0074310167	-0.0706237002	0.0609162485	-0.0816553666	0.0701336454	-0.07135705440000001	0.026402959	0.1256084961	0.032172843900000005	-0.11423279880000001	-0.0652736584	0.0495093539	0.1071542591	-0.09667173050000001	0.0436245156	-0.028428004500000006	-0.12151023	-0.0577591988	-0.0297723552	-0.0208478528	-0.1096271533	0.0097239191	-0.0763960496	-0.09027926550000001	-0.0557458799	-0.010757328100000001	0.1115978766	0.1078204375	0.1016191316	0.0	0.00136156	-0.02093414	1.8538456336e-06	0.0004382382175395999	-0.091748	-0.1319672	0.008417695503999999	0.017415341875840002	0.106981	-0.03820200000000002	0.001459392804000001	0.011444934360999998	5.06835e-05	1.34618e-05	2.56881717225e-09	1.8122005924e-10	-0.000156636	0.000402723	2.4534836496000003e-08	1.62185814729e-07	-0.0010342900000000002	-0.0006266360000000003	3.9267267649600026e-07	1.0697558041000004e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
770.4877569462767	3.298953045319536	593651.3836041046	10.883091195223038	1072.7324693519938	-0.08941905074198075	0.007995766635596929	1150754.9508020263	767.0389070844448	0.8258486549594863	0.6820260008983927	588348.6849812993	815.1668440656506	691.2222876348852	1.100374	29.580505	0.23081142	0.185618	-0.08381505610000001	0.0069121537	0.0556470208	0.032034968500000004	0.0520034416	-0.0414833119	0.1013670824	0.1590277954	0.039077726800000004	0.0778212543	0.09648180349999999	0.0401913473	-0.0116231247	-0.0744056121	0.07555181	0.2206586459	0.0291612379	-0.0077853243	-0.0200395623	0.021348971499999998	-0.0050376552	0.023539747200000002	-0.09223713050000001	0.0381635243	-0.0588776976	-0.0310352862	0.1022000102	0.07220814589999999	-0.0566471715	-0.0020805729	0.0371503578	-0.0125696271	-0.0205967055	0.0016703612	0.051558104900000006	-0.2199821273	-0.057313192699999994	-0.0372774919	-0.09600191949999999	0.0011000547	0.0624732935	0.023732022599999996	-0.0224725302	-0.1090705778	0.0687996197	-0.0115663536	-0.0121690774	0.0493247706	0.0678848287	-0.1595335736	-0.0101256227	0.0182163187	-0.026835873	-0.047675498600000005	0.1000566718	0.1546441281	-0.0839525846	-0.0502025179	0.0633459446	-0.10177203480000001	-0.0405284384	-0.039311764	0.11123788539999999	0.1063989547	0.09848938759999999	0.0	0.00133781	-2.37499999999999e-05	1.7897355961e-06	5.640624999999952e-10	0.0883085	0.1800565	0.007798391172250001	0.032420343192250005	0.106346	-0.0006349999999999827	4.032249999999781e-07	0.011309471716000002	-0.000802946	-0.0008536295	6.44722278916e-07	7.286833232702502e-07	-8.68021e-05	6.983390000000003e-05	7.534604564409999e-09	4.876773589210002e-09	-0.00111275	-7.84599999999998e-05	6.155971599999971e-09	1.2382125625e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
