trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,trans_x_der,trans_y_der,trans_z_der,rot_x_der,rot_y_der,rot_z_der,trans_x_2,trans_y_2,trans_z_2,rot_x_2,rot_y_2,rot_z_2,trans_x_der_2,trans_y_der_2,trans_z_der_2,rot_x_der_2,rot_y_der_2,rot_z_der_2,a_comp_cor_00,a_comp_cor_01,a_comp_cor_02,a_comp_cor_03,a_comp_cor_04,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.10,0.11,0.12,0.13,0.14
0.0022226,-0.0294978,-0.0206155,-0.00267934,-0.000299983,0.000224769,0,0,0,0,0,0,4.9399508e-06,0.0008701202,0.00042499884,7.1788628e-06,8.99898e-08,5.0521103e-08,0,0,0,0,0,0,0.020943737,0.16272729,0.41632828,-0.62475011,0.13291428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.10442e-05,0.0552534,-0.000366096,-0.00346492,-0.000531987,0.000548151,-0.0022336442,0.0847512,0.020249404,-0.00078558,-0.000232004,0.000323382,1.2197435e-10,0.0030529382,1.3402628e-07,1.2005671e-05,2.8301017e-07,3.0046952e-07,4.9891664e-06,0.0071827659,0.00041003836,6.1713594e-07,5.3825856e-08,1.0457592e-07,0.014269379,0.0062479778,0.20404678,-0.18464423,0.096814236,0.3363319,0,0,-0.97995338,0,0,1.8664935,0,0,-2.4948258,0,0,3.0341856,0,0
-3.28601e-05,-0.0343022,0.0268773,-0.00269886,-0.000531987,0.000208101,-2.18159e-05,-0.0895556,0.027243396,0.00076606,0,-0.00034005,1.0797862e-09,0.0011766409,0.00072238926,7.2838453e-06,2.8301017e-07,4.3306026e-08,4.7593349e-10,0.0080202055,0.00074220263,5.8684792e-07,0,1.15634e-07,0.12642387,0.091415591,-0.0066129218,-0.11673595,-0.013348386,8.0267167,0,0,-15.986889,0,0,22.771621,0,0,-24.455368,0,0,23.756792,0,0
-3.66722e-05,-0.0342855,0.0330031,-0.00218243,-0.000531987,0.000214567,-3.8121e-06,1.67e-05,0.0061258,0.00051643,0,6.466e-06,1.3448503e-09,0.0011754955,0.0010892046,4.7630007e-06,2.8301017e-07,4.6038997e-08,1.4532106e-11,2.7889e-10,3.7525426e-05,2.6669994e-07,0,4.1809156e-11,0.03142328,-0.096047454,-0.10690593,-0.059443025,-0.0007355359,35.646218,0,0,-46.531439,0,0,44.872643,0,0,-31.42687,0,0,20.803266,0,0
-0.00890715,0.0274464,0.0723624,-0.002001,-0.000421546,0,-0.0088704778,0.0617319,0.0393593,0.00018143,0.000110441,-0.000214567,7.9337321e-05,0.00075330487,0.0052363169,4.004001e-06,1.7770103e-07,0,7.8685376e-05,0.0038108275,0.0015491545,3.2916845e-08,1.2197214e-08,4.6038997e-08,0.071717649,-0.012614734,-0.093406201,-0.056620602,-0.18157312,75.67187,0,0,-56.365318,0,0,32.609345,0,0,-10.80615,0,0,14.182407,0,0
-3.56935e-05,0.0334973,0.0545581,-0.00231347,3.30492e-05,0,0.0088714565,0.0060509,-0.0178043,-0.00031247,0.0004545952,0,1.2740259e-09,0.0011220691,0.0029765863,5.3521434e-06,1.0922496e-09,0,7.870274e-05,3.6613391e-05,0.0003169931,9.7637501e-08,2.066568e-07,0,0.065871498,-0.050088727,-0.038154002,0.044128179,-0.0053906331,108.81782,0,0,-29.662492,0,0,19.656091,0,0,-20.011735,0,0,32.98514,0,0
-1.86099e-05,0.0521568,0.0315451,-0.00262101,-0.000350379,0.000104612,1.70836e-05,0.0186595,-0.023013,-0.00030754,-0.0003834282,0.000104612,3.4632838e-10,0.0027203318,0.00099509333,6.8696934e-06,1.2276544e-07,1.0943671e-08,2.9184939e-10,0.00034817694,0.00052959817,9.4580852e-08,1.4701718e-07,1.0943671e-08,0.041559845,-0.079586242,0.12577443,0.097850144,-0.028808693,123.57823,0,0,4.580444,0,0,45.727178,0,0,-27.022416,0,0,21.330641,0,0
-4.096e-06,0.0355122,0.027115,-0.00269886,-0.000305398,0.000182387,1.45139e-05,-0.0166446,-0.0044301,-7.785e-05,4.4981e-05,7.7775e-05,1.6777216e-11,0.0012611163,0.00073522322,7.2838453e-06,9.3267938e-08,3.3265018e-08,2.1065329e-10,0.00027704271,1.9625786e-05,6.0606225e-09,2.0232904e-09,6.0489506e-09,-0.033999968,-0.069492793,0.044199755,0.087120599,-0.24236457,123.83761,0,0,19.263492,0,0,77.170796,0,0,3.3965724,0,0,26.995908,0,0
-4.15569e-05,0.0149751,-0.0272962,-0.00288169,-0.000274721,0,-3.74609e-05,-0.0205371,-0.0544112,-0.00018283,3.0677e-05,-0.000182387,1.7269759e-09,0.00022425362,0.00074508253,8.3041373e-06,7.5471628e-08,0,1.403319e-09,0.00042177248,0.0029605787,3.3426809e-08,9.4107833e-10,3.3265018e-08,-0.0608441,0.0015734464,0.078493358,0.14718465,0.0087235551,120.1169,0,0,19.264761,0,0,87.359357,0,0,28.093393,0,0,58.74355,0,0
-4.35102e-05,0.139572,0.073311,-0.00234306,-0.000377262,0,-1.9533e-06,0.1245969,0.1006072,0.00053863,-0.000102541,0,1.8931375e-09,0.019480343,0.0053745027,5.4899302e-06,1.4232662e-07,0,3.8153809e-12,0.015524387,0.010121809,2.9012228e-07,1.0514657e-08,0,0.061094813,0.31314381,0.0053711726,0.086247101,0.069416534,117.32428,0.3363319,0,17.141225,-0.97995338,0,83.676309,1.8664935,0,36.948335,-2.4948258,0,78.558444,3.0341856,0
-4.35104e-05,0.0071303,0.0214623,-0.00124465,-0.000377262,0,-2e-10,-0.1324417,-0.0518487,0.00109841,0,0,1.8931549e-09,5.0841178e-05,0.00046063032,1.5491536e-06,1.4232662e-07,0,4e-20,0.017540804,0.0026882877,1.2065045e-06,0,0,-0.13575118,-0.025004827,-0.059183055,0.023176935,-0.15692436,108.76135,7.6903848,0.3363319,30.376245,-15.006936,-0.97995338,59.877961,20.905128,1.8664935,57.933023,-21.960542,-2.4948258,65.638584,20.722606,3.0341856
-4.35103e-05,0.0339796,0.00606837,-0.00152708,-0.000377261,0,1e-10,0.0268493,-0.01539393,-0.00028243,1e-09,0,1.8931462e-09,0.0011546132,3.6825114e-05,2.3319733e-06,1.4232586e-07,0,1e-20,0.00072088491,0.00023697308,7.9766705e-08,1e-18,0,-0.088014399,-0.040356479,-0.057424611,0.090105766,0.081195049,80.959628,27.619502,7.6903848,60.421968,-30.544549,-15.006936,36.666862,22.101022,20.905128,63.803235,-6.971502,-21.960542,69.627005,-2.9535262,20.722606
0.0102706,-0.0278322,-0.0637917,-0.000674789,-0.000628887,0.000131955,0.01031411,-0.0618118,-0.06986007,0.000852291,-0.000251626,0.000131955,0.00010548522,0.00077463136,0.004069381,4.5534019e-07,3.9549886e-07,1.7412122e-08,0.00010638087,0.0038206986,0.0048804294,7.2639995e-07,6.3315644e-08,1.7412122e-08,-0.044281575,-0.1161359,0.013709782,0.0091166417,0.039724155,40.928501,40.025651,27.619502,70.238375,-9.8338796,-30.544549,48.885453,-12.263298,22.101022,43.127014,20.620719,-6.971502,76.255341,-6.6208587,-2.9535262
0.0206545,-0.0221474,-0.0669162,0.000352996,-0.000325113,0.000173498,0.0103839,0.0056848,-0.0031245,0.001027785,0.000303774,4.1543e-05,0.00042660837,0.00049050733,0.0044777778,1.2460618e-07,1.0569846e-07,3.0101556e-08,0.00010782538,3.2316951e-05,9.7625003e-06,1.056342e-06,9.2278643e-08,1.7258208e-09,0.0304521,-0.092685293,0.088680283,0.05102551,0.020455939,7.7825467,33.145954,40.025651,43.535548,26.702826,-9.8338796,61.838707,-12.953254,-12.263298,52.332599,-9.2055843,20.620719,57.452607,18.802733,-6.6208587
0.0164914,0.051614,0.0328807,-0.00115031,-0.000551268,0,-0.0041631,0.0737614,0.0997969,-0.001503306,-0.000226155,-0.000173498,0.00027196627,0.002664005,0.0010811404,1.3232131e-06,3.0389641e-07,0,1.7331402e-05,0.0054407441,0.0099594212,2.2599289e-06,5.1146084e-08,3.0101556e-08,-0.0043848235,0.19728058,-2.1204e-06,0.051773491,-0.045664315,-6.9778604,14.760407,33.145954,9.2926121,34.242936,26.702826,35.76762,26.071087,-12.953254,59.343279,-7.0106809,-9.2055843,69.107106,-11.654499,18.802733
0.0113379,0.0705754,0.0554469,-0.0012852,-0.000551268,0,-0.0051535,0.0189614,0.0225662,-0.00013489,0,0,0.00012854798,0.0049808871,0.0030743587,1.651739e-06,3.0389641e-07,0,2.6558562e-05,0.00035953469,0.00050923338,1.8195312e-08,0,0,-0.053055744,0.13513369,-0.078355088,0.095725172,0.1389258,-7.2372391,0.25937865,14.760407,-5.3904359,14.683048,34.242936,4.3240022,31.443618,26.071087,28.924291,30.418988,-7.0106809,63.44184,5.6652664,-11.654499
