global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	cosine00	cosine01	cosine02	cosine03	non_steady_state_outlier00	non_steady_state_outlier01	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22
691.5777332161794	n/a	n/a	478279.76108042896	1144.860840092611	n/a	1310706.3431775589	n/a	684.6643533489901	n/a	468765.2767467907	n/a	780.6421297083702	639.3762337930514	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0759934	n/a	n/a	0.005774996843560001	-0.142809	n/a	0.020394410481	n/a	-0.188024	n/a	0.035353024576	n/a	-0.00123581	n/a	1.5272263561e-06	n/a	-0.000590797	n/a	3.49041095209e-07	n/a	0.00123956	n/a	n/a	1.5365089936e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
692.7136939037006	1.1359606875212194	1.2904066835936814	479852.26172170974	1169.5598665695622	24.699026476951303	1367870.2814902123	610.0419089091415	684.6482463619725	-0.016106987017565192	468743.2212465242	0.00025943503078401355	778.7599284762675	610.4641019972795	3.243648	59.86665	1.1387945	0.5239060000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-0.08234869999999997	-0.1583421	0.02507222063241	0.006781308391689995	0.135496	0.278305	0.018359166016000003	0.07745367302500003	0.198961	0.38698499999999997	0.039585479521	0.149757390225	0.000965137	0.002200947	9.314894287689999e-07	4.844167696808999e-06	0.0008754539999999999	0.001466251	7.664197061159999e-07	2.1498919950009997e-06	-0.00139649	-0.00263605	6.9487596025e-06	1.9501843201e-06	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
687.9566290181848	-4.757064885515773	22.62966632500721	473284.3234100643	1093.1143777705586	-76.44548879900367	1194899.0428887154	5843.912757718596	686.5203959779909	1.8721496160184188	471310.2540937775	3.5049441847579135	767.0073516868173	604.4862866380385	2.768251	51.092461	0.68334205	0.419112	-0.0021737279999999998	-0.045591478399999996	0.0253812642	-0.0081276119	0.0988383992	-0.0631875137	-0.08671384060000001	0.0950046471	0.049760802400000005	-0.055842513499999996	-0.4093507436	0.09617228	0.0812132337	-0.2277162667000001	0.1809175496	-0.1018517237	0.3419016666	-0.0986559611	-0.3361425261	0.1777137546	-0.1971916583	0.06984388230000001	-0.09668263199999999	0.0944719002	-0.1267859215	0.2263475679	-0.11449677650000001	0.0323983381	-0.0556652487	0.0038666221	-0.07861053400000001	0.0102110103	-0.0108729146	0.0084639083	-0.010737603200000001	0.0788167159	-0.04941007360000002	0.0057135266	-0.0049039399	0.0172436834	-0.122391004	0.0362574124	-0.09657295490000001	-0.0193762442	0.1425427609	0.3260036595	-0.0448059919	0.1042412787	-0.0261114259	0.041480032400000005	-0.0720678287	0.1601278784	-0.5824528816	0.2781387679	0.23224965350000001	-0.0863271742	0.16310018099999998	-0.156826572	0.2384811021	-0.0905277438	0.10814305130000001	0.1081293633	0.1081065512	0.108074617	0.0	0.0	-0.0526967	0.02965199999999997	0.0008792411039999983	0.0027769421908899997	-0.261815	-0.397311	0.06854709422500001	0.15785603072100002	0.0935657	-0.1053953	0.008754540216489998	0.011108169262090002	0.00102172	5.658300000000013e-05	1.0439117584e-06	3.201635889000015e-09	-0.00111173	-0.001987184	1.2359435929e-06	3.948900249856e-06	-0.000420582	0.000975908	9.523964244639999e-07	1.7688921872399994e-07	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
689.0729867821706	1.116357763985775	1.2462546572113191	474821.5811129015	1090.043301732959	-3.0710760375995965	1188194.3996528906	9.431508028718437	686.05783782582	-0.4625581521709137	470675.3568422392	0.21396004413977013	767.7768345412532	620.3966274233519	2.179427	40.224781	0.4564382999999999	0.310281	0.11555299470000001	0.0285458057	-0.051100714000000005	0.0373208639	-0.0713297308	0.0878822668	-0.1525143764	0.0423279338	0.2043798735	-0.1696175334	-0.3092440306	-0.0975899534	0.1841046398	0.129880857	-0.3077783024	-0.0191020212	0.0588009796	-0.0407719148	-0.2062297406	-0.1007376062	0.10526438789999999	0.1478664572	-0.22573524329999997	-0.19690004989999998	0.24275399420000002	-0.0872406168	-0.1103675731	-0.0561608324	-0.043358977800000004	-0.0146064182	-0.0960289491	-0.0285652524	-0.005678853	0.080418666	-0.1468265013	0.0266075863	0.06690678280000001	-0.0414033424	0.0839046908	-0.2039596857	-0.025351218300000002	0.023361763900000002	0.0287045722	0.0828701764	0.0587392956	0.3431770769	0.1665004687	-0.1268180168	-0.1199495651	-0.1558189458	0.08837218919999999	-0.078175787	-0.23221991109999998	0.061060644000000004	-0.31282098010000003	0.2585502191	-0.1551707458	-0.06301923549999999	-0.0802273645	-0.11142745720000001	0.1081065512	0.10798339369999999	0.10777823519999999	0.1074912313	0.0	0.0	-0.0548779	-0.002181200000000001	4.757633440000005e-06	0.0030115839084099995	-0.230968	0.030847000000000038	0.05334621702399999	0.0009515374090000023	-0.0879278	-0.1814935	0.00773129801284	0.03293989054224999	0.005433100000000001	0.00441138	2.9518575610000014e-05	1.94602735044e-05	-0.000926203	0.000185527	8.57851997209e-07	3.4420267729e-08	-0.0006620069999999999	-0.000241425	5.828603062499999e-08	4.382532680489999e-07	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
688.7164725496707	-0.356514232499876	0.12710239797497566	474330.37956126133	1087.1964508572946	-2.8468508756643587	1181996.122756698	8.104559908270925	684.3427888581759	-1.7150489676440657	468325.05266218603	2.941392961416976	770.9985310745159	662.2345182805383	2.108805	38.921329	0.12376054999999996	0.0555469	0.1489557	-0.076889706	0.0417039795	0.2419242434	-0.1886591279	0.137656464	-0.0811321656	0.1040054277	0.0104656468	-0.2104410707	-0.1877755393	-0.2987705725	0.027285262299999998	0.1699135066	-0.2544254384	-0.042249479000000006	-0.1336454769	-0.0587121817	-0.0498408234	-0.1437698915	0.26174526670000003	-0.1579225943	-0.016923108200000002	0.052338038200000006	0.020474420400000002	3.4391300000000004e-05	0.0005236396	0.1036952106	-0.0760557843	0.0047964876000000005	0.1923416743	0.19586073969999998	0.0488338217	-0.005973588100000001	0.051130786500000004	-0.0121333776	-0.020369633300000002	0.1307003299	-0.0248515735	0.1463755104	0.0268802101	-0.0017382246	-0.1475870669	0.2187821432	0.0524702066	0.1698903461	0.1421811597	0.0020223010000000002	-0.05543993480000002	-0.0741181088	0.2364400196	-0.1139029799	0.0374092112	-0.2564340317	-0.21388291199999998	0.055550735999999996	-0.2275262439	0.15551665439999998	-0.06509188169999999	0.1199441875	0.1080335633	0.10769165160000001	0.1071226002	0.1063276091	0.0	0.0	-0.0476165	0.007261400000000001	5.272792996000002e-05	0.0022673310722500003	-0.248136	-0.017168000000000044	0.06157147449600001	0.0002947402240000016	-0.0477736	0.040154199999999994	0.00228231685696	0.0016123597776400002	0.00509139	-0.0003417100000000003	2.59222521321e-05	1.1676572410000019e-07	-0.0005251440000000001	0.000401059	2.7577622073600005e-07	1.6084832148099995e-07	-0.000221237	0.00044077	1.9427819289999995e-07	4.8945810169e-08	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
683.6739517335869	-5.0425208160837665	25.427016180638084	467410.07227901893	1076.301901612215	-10.894549245079588	1158425.7834140705	118.69120325346422	681.4858120359436	-2.8569768222323546	464422.91200628935	8.162316562772883	765.7091851662989	651.2068050643123	1.821272	33.614456	0.56752305	0.305739	0.09661592529999999	-0.10087051710000004	0.11049311380000001	0.22141935100000001	-0.09346179119999999	0.0392426712	0.0652299041	-0.0031979690999999998	-0.0914203451	-0.0718994686	-0.041637682599999996	-0.0731988117	-0.0342457603	0.1318020774	0.015671438200000002	0.010354345899999999	0.0040997751	-0.1091282327	-0.0289275043	0.013628206799999999	-0.0737947442	-0.1597060223	-0.0674935898	0.0022579901999999997	0.0316023401	0.05166664309999999	-0.0858838495	-0.1178444473	0.0207149847	0.08785055369999999	-0.0174871777	-0.064292305	-0.027671085499999998	0.0042016749	-0.0163838798	-0.043367522699999994	0.14318217689999999	-0.058451261799999994	-0.17800706859999998	-0.0100021804	0.0864414149	-0.0181883247	0.1563424421	0.0763727371	0.017258483300000002	-0.012876188500000002	-0.0036065434000000004	0.046408350599999995	-0.0189889109	0.1250925766	0.2207487634	-0.0406844356	0.0102456984	-0.1554917004	-0.0225745552	0.0089881753	0.0342621115	0.0137917618	0.2328246019	0.0723238186	0.1079241123	0.10725453089999999	0.10614163730000001	0.1045900315	0.0	0.0	-0.0683293	-0.0207128	0.00042902008383999984	0.00466889323849	-0.0205535	0.2275825	0.00042244636225	0.051793794306250016	0.08480069999999999	0.13257429999999998	0.007191158720489999	0.017575945020489994	0.0019405	-0.00315089	3.7655402500000007e-06	9.9281077921e-06	-0.0005251440000000001	0.0	2.7577622073600005e-07	0.0	-0.000803416	-0.000582179	3.389323880410001e-07	6.45477269056e-07	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
678.0850889634718	-5.588862770115156	31.235387063179264	459799.3878745994	1078.4872515019476	2.1853498897326062	1163134.7516522252	4.775754140554314	679.1285544859296	-2.357257550013969	461215.5935181483	5.55666315709786	764.6846151736297	612.1451946085579	1.6748490000000005	30.911989	0.06807327999999999	0.040281300000000006	0.007843978100000001	0.0345216753	-0.0634360714	-0.0125075528	-0.1366359459	0.0520822986	-0.0250801173	-0.1438521611	-0.1221397064	0.09087088210000001	0.0852176741	-0.0957785477	-0.1119379695	0.11835355119999999	0.0532837029	0.1134235422	-0.014639952900000001	-0.0674601799	-0.044718340700000005	0.0027524960999999997	-0.0453580534	-0.1519927395	-0.1693747929	0.0888984699	-0.0440588461	0.0282776901	0.0086634918	0.0079536704	0.1419916075	-0.0778134783	0.0245180534	-0.0831022704	-0.0095862733	0.020914154299999998	-0.0218198326	-0.1197401934	0.0309304048	-0.0559642691	-0.0295088117	0.0381010097	-0.019715208	0.0930588976	-0.0849859452	0.0598558228	0.009967336700000001	-0.1336623387	0.0914805208	-0.0692939125	0.030923954700000002	0.1624181083	0.1738764118	-0.0033825546	-0.0131193335	-0.0591507032	0.0847495091	0.0833807723	0.050333845999999995	0.0335174395	0.2103052118	0.1569174908	0.10777823519999999	0.1066726216	0.1048383259	0.10228787810000001	0.0	0.0	-0.07336389999999998	-0.005034599999999986	2.5347197159999867e-05	0.005382261823209998	-0.00606162	0.01449188	3.67432370244e-05	0.0002100145859344	0.116746	0.03194530000000001	0.013629628516	0.0010205021920900003	0.00160847	-0.00033203000000000014	2.5871757409e-06	1.1024392090000005e-07	-0.0005251440000000001	0.0	2.7577622073600005e-07	0.0	-0.000803416	0.0	0.0	6.45477269056e-07	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
675.9766214930804	-2.1084674703913606	4.445635073698544	456944.3928051993	1071.9506101746356	-6.536641327312053	1149078.1106537736	42.72767984192389	678.8515718341819	-0.2769826517477441	460839.45658173936	0.07671938936921206	763.2288679166357	599.7228194856423	1.345977	24.84214	0.06797841999999997	0.0359983	-0.08509713210000001	0.06181933360000001	0.0054130291	0.06026946389999999	0.0872658145	0.0823538039	0.0689764118	-0.0969950257	-0.2101897364	0.0462245604	0.094301625	-0.1331045476	-0.1512455808	-0.0788405103	0.1341887241	-0.0451104716	0.059121351399999994	-0.0005337302999999999	0.0339389332	0.053860213399999995	-0.0554411316	0.0066972138	-0.09979992189999999	-0.10930112619999999	0.0545436176	-0.0098889236	0.0647920492	0.0031565565	0.0960885373	0.0996899408	0.1667998389	0.0550939894	0.19582270710000002	-0.0040141226	0.0451305255	-0.0802640028	-0.091985797	0.052734239599999996	0.0027224854	-0.0441136985	-0.0408528487	-0.0206546451	0.1261117363	0.08940239679999999	-0.0156897421	-0.1651129593	0.028965871400000006	0.1398629332	0.042979606600000005	0.11201647699999999	0.0230897087	-0.0351908067	-0.013984080800000001	0.0727600943	0.0596235375	0.0363738267	0.09975485740000001	0.06509674650000001	0.11049995800000001	0.1164424599	0.107595981	0.1059467092	0.1032166238	0.0994335757	0.0	0.0	-0.09426389999999997	-0.0209	0.00043681000000000015	0.008885682843209997	0.011490299999999998	0.01755192	0.00013202699408999995	0.00030806989568639995	0.139478	0.022731999999999992	0.019454112484	0.0005167438239999995	0.00174436	0.00013588999999999984	3.0427918096e-06	1.8466092099999963e-08	-0.0005251440000000001	0.0	2.7577622073600005e-07	0.0	-0.000803416	0.0	0.0	6.45477269056e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
675.8126073924485	-0.1640141006319027	0.0269006252060919	456722.6803105798	1073.392708789888	1.442098615252462	1152171.907283293	2.079648416113068	677.7020506857137	-1.149521148468125	459280.0695036217	1.321398870775477	760.4903933907491	597.259515426181	1.116794	20.612207	0.06105464999999999	0.0331283	-0.10955772470000001	0.0534113542	0.08947023009999999	-0.07210136730000001	0.08163526730000001	-0.0230418727	0.14934922890000002	-0.036426912	-0.1263708358	0.0792777236	0.17340736899999998	0.044295878	0.0015519415	0.0127635767	0.156173066	0.0075253277	0.045866625099999996	0.0336873667	-0.0883245211	-0.1103441341	0.0646933719	-0.0894640442	-0.056295299000000014	0.0395903135	-0.1284032792	-0.0641016654	-0.0354787156	-0.0020809971	0.0229409521	-0.029369307400000006	-0.035245518999999996	0.026701594900000004	-0.0019470582999999999	-0.037920144700000005	0.06900878690000001	0.0389197625	-0.0758668991	0.1651478759	0.0764893945	0.015309466599999997	0.0142952653	-0.032965058900000004	0.1476948586	-0.037542397000000005	-0.0889760608	-0.1367563631	-0.0975721224	0.0211890754	0.0578457338	0.0679200383	0.0172205302	0.0202962243	-0.022215177599999997	0.055091750099999996	0.0158427883	0.20651555530000001	0.08774058119999999	-0.013617063300000001	-0.0194184696	0.1609227475	0.10737741140000001	0.10507777380000001	0.1012814563	0.09604253189999999	0.0	0.0	-0.105071	-0.010807100000000014	0.00011679341041000029	0.011039915041	-0.0139315	-0.0254218	0.00019408669225000002	0.0006462679152399997	0.137127	-0.002350999999999992	0.018803814129	5.5272009999999615e-06	0.00145326	-0.0002910999999999999	2.1119646276e-06	8.473920999999992e-08	-0.0006835389999999999	-0.00015839499999999987	4.672255645209999e-07	2.5088976024999962e-08	-0.000803416	0.0	0.0	6.45477269056e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
676.6021019529014	0.7894945604529084	0.6233016609847309	457790.4043670844	1074.672924189868	1.280215399979852	1154921.8939868016	1.6389514703455723	677.6709296857978	-0.031120999915970064	459237.8889412135	0.0009685166357698084	759.2674157304415	585.4482798660991	1.023022	18.881493	0.07929316999999997	0.0418393	-0.07874037219999999	0.1116388714	0.0174467347	-0.1455665046	0.0305972125	-0.0555968603	0.0817439417	-0.05959116900000001	0.0020646893	0.1582014957	0.1804077029	0.0689496793	0.0150970275	0.0299894723	0.08708688789999999	0.0867477601	0.0771761189	0.1177868816	-0.0982006968	-0.0066178399	0.049290710700000004	-0.0732208946	-0.0519727764	0.0237664775	0.0327845664	-0.0866241792	0.0409648963	0.0380077088	0.0615697531	-0.074233282	-0.063387938	-0.0047065514	0.0110681378	-0.05743877	-0.016344971200000002	0.0332263867	0.082756539	0.1326937038	-0.020816826	0.1046972451	-0.1283282811	-0.034935907999999995	-0.09508408199999999	-0.0795506429	-0.0964958342	-0.1010730743	-0.035775680899999995	-0.0690137115	0.0703520666	0.0764221995	-0.1170271282	0.0033963787	-0.0001613081	0.0376993038	0.013804448899999999	0.1668198685	0.041194209700000005	-0.1036734112	-0.0388002379	0.1179293211	0.1071226002	0.1040669883	0.09903870029999999	0.09213305150000001	0.0	0.0	-0.0962332	0.008837799999999993	7.810670883999988e-05	0.00926082878224	0.00103562	0.01496712	1.0725087844e-06	0.00022401468109439995	0.100886	-0.036241	0.010177984996	0.0013134100809999998	0.0012267100000000006	-0.0002265499999999994	1.5048174241000014e-06	5.1324902499999724e-08	-0.0005251440000000001	0.00015839499999999987	2.7577622073600005e-07	2.5088976024999962e-08	-0.000803416	0.0	0.0	6.45477269056e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
