trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,trans_x_der,trans_y_der,trans_z_der,rot_x_der,rot_y_der,rot_z_der,trans_x_2,trans_y_2,trans_z_2,rot_x_2,rot_y_2,rot_z_2,trans_x_der_2,trans_y_der_2,trans_z_der_2,rot_x_der_2,rot_y_der_2,rot_z_der_2,a_comp_cor_00,a_comp_cor_01,a_comp_cor_02,a_comp_cor_03,a_comp_cor_04,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.10,0.11,0.12,0.13,0.14
-0.0234886,-0.056435,-0.141574,-0.00040689,-4.85698e-24,0.000199343,0,0,0,0,0,0,0.00055171433,0.0031849092,0.020043197,1.6555947e-07,2.3590255e-47,3.9737632e-08,0,0,0,0,0,0,-0.21126015,-0.021256152,0.06834065,0.45165495,-0.039793379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.0235268,-0.0113294,-0.0969125,-0.000549884,-0.000163951,0.000571254,-3.82e-05,0.0451056,0.0446615,-0.000142994,-0.000163951,0.000371911,0.00055351032,0.0001283553,0.0093920327,3.0237241e-07,2.687993e-08,3.2633113e-07,1.45924e-09,0.0020345152,0.0019946496,2.0447284e-08,2.687993e-08,1.3831779e-07,-0.0261898,0.075791544,0.071385991,0.060281767,0.028159407,0.3363319,0,0,-0.97995338,0,0,1.8664935,0,0,-2.4948258,0,0,3.0341856,0,0
-0.0234725,-0.00133687,-0.0228083,-0.000453782,-0,0.000143336,5.43e-05,0.00999253,0.0741042,9.6102e-05,0.000163951,-0.000427918,0.00055095826,1.7872214e-06,0.00052021855,2.059181e-07,0,2.0545209e-08,2.94849e-09,9.9850656e-05,0.0054914325,9.2355944e-09,2.687993e-08,1.8311381e-07,0.045551007,0.037060416,0.022271505,0.096029153,0.082885972,8.0267167,0,0,-15.986889,0,0,22.771621,0,0,-24.455368,0,0,23.756792,0,0
-9.20389e-05,0.0330419,-0.0628456,-0.00087513,0.000416759,0,0.023380461,0.03437877,-0.0400373,-0.000421348,0.000416759,-0.000143336,8.4711591e-09,0.0010917672,0.0039495694,7.6585252e-07,1.7368806e-07,0,0.00054664596,0.0011818998,0.0016029854,1.7753414e-07,1.7368806e-07,2.0545209e-08,0.029820216,0.015585658,0.02167413,-0.049828356,0.015421226,35.646218,0,0,-46.531439,0,0,44.872643,0,0,-31.42687,0,0,20.803266,0,0
-0.0234723,-0.115849,-0.0626824,0.000395606,2.7926e-06,0.000229216,-0.023380261,-0.1488909,0.0001632,0.001270736,-0.0004139664,0.000229216,0.00055094887,0.013420991,0.0039290833,1.5650411e-07,7.7986148e-12,5.2539975e-08,0.00054663661,0.0221685,2.663424e-08,1.61477e-06,1.7136818e-07,5.2539975e-08,0.0061429711,0.0016613552,-0.0058440902,-0.078068952,0.037406788,75.67187,0,0,-56.365318,0,0,32.609345,0,0,-10.80615,0,0,14.182407,0,0
-0.0234714,0.0190911,-0.0625239,-0.00036405,-0.000267974,0,9e-07,0.1349401,0.0001585,-0.000759656,-0.0002707666,-0.000229216,0.00055090662,0.0003644701,0.0039092381,1.325324e-07,7.1810065e-08,0,8.1e-13,0.018208831,2.512225e-08,5.7707724e-07,7.3314552e-08,5.2539975e-08,0.022716033,0.044974196,-0.0005606474,-0.050847572,0.0023317726,108.81782,0,0,-29.662492,0,0,19.656091,0,0,-20.011735,0,0,32.98514,0,0
-0.0234744,-0.0113758,-0.0524134,-2.93331e-05,-0.000215585,5.27465e-05,-3e-06,-0.0304669,0.0101105,0.0003347169,5.2389e-05,5.27465e-05,0.00055104746,0.00012940883,0.0027471645,8.6043076e-10,4.6476892e-08,2.7821933e-09,9e-12,0.000928232,0.00010222221,1.120354e-07,2.7446073e-09,2.7821933e-09,0.052826705,0.0256244,0.0061036422,0.0048852236,-0.023004205,123.57823,0,0,4.580444,0,0,45.727178,0,0,-27.022416,0,0,21.330641,0,0
-0.0234646,0.0105556,-0.0539171,0.000111116,-5.80073e-05,0,9.8e-06,0.0219314,-0.0015037,0.0001404491,0.0001575777,-5.27465e-05,0.00055058745,0.00011142069,0.0029070537,1.2346765e-08,3.3648469e-09,0,9.604e-11,0.00048098631,2.2611137e-06,1.972595e-08,2.4830732e-08,2.7821933e-09,-0.0009302831,0.026382255,-0.016800907,0.084085287,0.018109692,123.83761,0,0,19.263492,0,0,77.170796,0,0,3.3965724,0,0,26.995908,0,0
-0.0169196,0.0502799,-0.0623899,-0.000687052,3.82752e-06,0.000161551,0.006545,0.0397243,-0.0084728,-0.000798168,6.183482e-05,0.000161551,0.00028627286,0.0025280683,0.0038924996,4.7204045e-07,1.4649909e-11,2.6098726e-08,4.2837025e-05,0.00157802,7.178834e-05,6.3707216e-07,3.823545e-09,2.6098726e-08,0.05423471,0.024781033,0.046389173,-0.052534536,0.029444868,120.1169,0,0,19.264761,0,0,87.359357,0,0,28.093393,0,0,58.74355,0,0
-0.00283718,0.0245645,-0.0482789,-0.000340339,0.000270345,-0.000216507,0.01408242,-0.0257154,0.014111,0.000346713,0.00026651748,-0.000378058,8.0495904e-06,0.00060341466,0.0023308522,1.1583063e-07,7.3086419e-08,4.6875281e-08,0.00019831455,0.0006612818,0.00019912032,1.202099e-07,7.1031567e-08,1.4292785e-07,0.052183795,-0.04916492,0.030285718,-0.036226023,0.051255337,117.32428,0.3363319,0,17.141225,-0.97995338,0,83.676309,1.8664935,0,36.948335,-2.4948258,0,78.558444,3.0341856,0
-0.00284547,0.0314709,-0.0867988,2.55029e-06,-5.80073e-05,0,-8.29e-06,0.0069064,-0.0385199,0.00034288929,-0.0003283523,0.000216507,8.0966995e-06,0.00099041755,0.0075340317,6.5039791e-12,3.3648469e-09,0,6.87241e-11,4.7698361e-05,0.0014837827,1.1757307e-07,1.0781523e-07,4.6875281e-08,0.028612182,-0.016926185,0.011699203,-0.10155402,0.013558484,108.76135,8.0267167,0,30.376245,-15.986889,0,59.877961,22.771621,0,57.933023,-24.455368,0,65.638584,23.756792,0
-0.0114009,0.0602757,-0.0740059,-0.000624629,0.000114819,-0.000222651,-0.00855543,0.0288048,0.0127929,-0.00062717929,0.0001728263,-0.000222651,0.00012998052,0.00363316,0.0054768732,3.9016139e-07,1.3183403e-08,4.9573468e-08,7.3195382e-05,0.0008297165,0.00016365829,3.9335386e-07,2.986893e-08,4.9573468e-08,-0.031477189,-0.011299807,-0.022830017,-0.069043806,-0.049637135,80.959628,35.309886,0.3363319,60.421968,-45.551485,-0.97995338,36.666862,43.00615,1.8664935,63.803235,-28.932044,-2.4948258,69.627005,17.76908,3.0341856
