trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,trans_x_der,trans_y_der,trans_z_der,rot_x_der,rot_y_der,rot_z_der,trans_x_2,trans_y_2,trans_z_2,rot_x_2,rot_y_2,rot_z_2,trans_x_der_2,trans_y_der_2,trans_z_der_2,rot_x_der_2,rot_y_der_2,rot_z_der_2,a_comp_cor_00,a_comp_cor_01,a_comp_cor_02,a_comp_cor_03,a_comp_cor_04,initdum_1.0
-0.00295426,-4.37089e-09,2.4453e-08,5.15063e-05,-0,0,0,0,0,0,0,0,8.7276521e-06,1.9104679e-17,5.9794921e-16,2.6528989e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.00260727,0.0397425,0.0415949,0,-6.76698e-05,0,0.00556153,0.039742504,0.041594876,-5.15063e-05,-6.76698e-05,0,6.7978569e-06,0.0015794663,0.0017301357,0,4.5792018e-09,0,3.0930616e-05,0.0015794667,0.0017301337,2.6528989e-09,4.5792018e-09,0,-0.091762339,0.080639643,0.38834507,-0.24053423,0.2880333,0
0.00220209,0.072878,0.0573912,0,-0,0,-0.00040518,0.0331355,0.0157963,0,6.76698e-05,0,4.8492004e-06,0.0053112029,0.0032937498,0,0,0,1.6417083e-07,0.0010979614,0.00024952309,0,4.5792018e-09,0,0.04233803,-0.040624841,0.12490556,-0.2383108,0.21206408,0
-8.18835e-06,0.0405372,0.0822252,0,-0,-5.20479e-05,-0.0022102783,-0.0323408,0.024834,0,0,-5.20479e-05,6.7049076e-11,0.0016432646,0.0067609835,0,0,2.7089839e-09,4.8853304e-06,0.0010459273,0.00061672756,0,0,2.7089839e-09,-0.0048954223,0.11599511,0.021772544,0.080181344,0.099491092,0
-8.71409e-07,0.0643402,0.0929347,6.61745e-24,-0.000316121,-0.00017029,7.316941e-06,0.023803,0.0107095,6.61745e-24,-0.000316121,-0.0001182421,7.5935365e-13,0.0041396613,0.0086368585,4.3790645e-47,9.9932487e-08,2.8998684e-08,5.3537626e-11,0.00056658281,0.00011469339,4.3790645e-47,9.9932487e-08,1.3981194e-08,-0.0059622267,-0.10848068,-0.052068261,-0.0078979247,0.081408458,0
0,0.0470338,0.0914555,-0.000170146,-0,0,8.71409e-07,-0.0173064,-0.0014792,-0.000170146,0.000316121,0.00017029,0,0.0022121783,0.0083641085,2.8949661e-08,0,0,7.5935365e-13,0.00029951148,2.1880326e-06,2.8949661e-08,9.9932487e-08,2.8998684e-08,0.10931514,0.06688479,-0.10338705,0.018334071,0.098099339,0
0.0452035,0.0926323,0.10265,-0.000316779,-0.000256144,0.000412368,0.0452035,0.0455985,0.0111945,-0.000146633,-0.000256144,0.000412368,0.0020433564,0.008580743,0.010537023,1.0034893e-07,6.5609749e-08,1.7004737e-07,0.0020433564,0.0020792232,0.00012531683,2.1501237e-08,6.5609749e-08,1.7004737e-07,-0.065805776,-0.02625352,-0.044521786,0.11522312,-0.0085832778,0
0.0300174,0.0586492,0.102665,-0.000295245,-9.68035e-05,0.000428437,-0.0151861,-0.0339831,1.5e-05,2.1534e-05,0.0001593405,1.6069e-05,0.0009010443,0.0034397287,0.010540102,8.716961e-08,9.3709176e-09,1.8355826e-07,0.00023061763,0.0011548511,2.25e-10,4.6371316e-10,2.5389395e-08,2.5821276e-10,0.055849568,-0.11244615,-0.092409041,-0.028679825,-0.042105106,0
0.0474572,0.0861914,0.0968877,-0.000815986,-0,0.000541771,0.0174398,0.0275422,-0.0057773,-0.000520741,9.68035e-05,0.000113334,0.0022521858,0.0074289574,0.0093872264,6.6583315e-07,0,2.9351582e-07,0.00030414662,0.00075857278,3.3377195e-05,2.7117119e-07,9.3709176e-09,1.2844596e-08,0.040567782,0.082852269,-0.054618318,0.031882464,-0.071938285,0
0.0425559,0.0534671,0.102679,-0.000246924,-9.0361e-05,0.000677472,-0.0049013,-0.0327243,0.0057913,0.000569062,-9.0361e-05,0.000135701,0.0018110046,0.0028587308,0.010542977,6.0971462e-08,8.1651103e-09,4.5896831e-07,2.4022742e-05,0.0010708798,3.3539156e-05,3.2383156e-07,8.1651103e-09,1.8414761e-08,-0.11981441,-0.066406174,-0.031259924,0.084847643,-0.022325742,0
0.0565834,0.100578,0.125327,-0.000668167,-0.000227629,0.000519458,0.0140275,0.0471109,0.022648,-0.000421243,-0.000137268,-0.000158014,0.0032016812,0.010115934,0.015706857,4.4644714e-07,5.1814962e-08,2.6983661e-07,0.00019677076,0.0022194369,0.0005129319,1.7744567e-07,1.8842504e-08,2.4968424e-08,0.039373413,-0.032627598,-0.047818417,-0.046114069,-0.063949945,0
0.0548589,0.0710496,0.123868,-0.000183077,-0.000140703,0.000663032,-0.0017245,-0.0295284,-0.001459,0.00048509,8.6926e-05,0.000143574,0.0030094989,0.0050480457,0.015343281,3.3517188e-08,1.9797334e-08,4.3961143e-07,2.9739002e-06,0.00087192641,2.128681e-06,2.3531231e-07,7.5561295e-09,2.0613493e-08,-0.13667573,0.094951494,-0.037478127,-0.029928039,-0.0826269,0
0.0670888,0.109399,0.119622,-0.000885048,-0.000189541,0.000536349,0.0122299,0.0383494,-0.004246,-0.000701971,-4.8838e-05,-0.000126683,0.0045009071,0.011968141,0.014309423,7.8330996e-07,3.5925791e-08,2.8767025e-07,0.00014957045,0.0014706765,1.8028516e-05,4.9276328e-07,2.3851502e-09,1.6048582e-08,-0.038584049,-0.09322962,0.11198391,-0.049156125,-0.11156425,0
0.0644839,0.0707778,0.109019,-0.000405086,-0,0.00057857,-0.0026049,-0.0386212,-0.010603,0.000479962,0.000189541,4.2221e-05,0.0041581734,0.005009497,0.011885142,1.6409467e-07,0,3.3474324e-07,6.785504e-06,0.0014915971,0.00011242361,2.3036352e-07,3.5925791e-08,1.7826128e-09,-0.02865343,0.12558656,0.012712857,-0.011000263,-0.13981746,0
0.0780648,0.115349,0.107242,-0.000660342,6.40236e-23,0.000590514,0.0135809,0.0445712,-0.001777,-0.000255256,6.40236e-23,1.1944e-05,0.006094113,0.013305392,0.011500847,4.3605156e-07,4.0990214e-45,3.4870678e-07,0.00018444084,0.0019865919,3.157729e-06,6.5155626e-08,4.0990214e-45,1.4265914e-10,-0.012718235,-0.050878814,0.13383572,0.055618098,-0.11782477,0
0.0698027,0.061282,0.117127,8.6328e-05,-0.000297825,0.000803644,-0.0082621,-0.054067,0.009885,0.00074667,-0.000297825,0.00021313,0.0048724169,0.0037554835,0.013718734,7.4525236e-09,8.8699731e-08,6.4584368e-07,6.8262296e-05,0.0029232405,9.7713225e-05,5.5751609e-07,8.8699731e-08,4.5424397e-08,0.0019782872,0.14479278,-0.032427414,-0.045175936,-0.094715344,0
0.0735392,0.106824,0.105768,-0.000633599,-0.000406264,0.000714944,0.0037365,0.045542,-0.011359,-0.000719927,-0.000108439,-8.87e-05,0.0054080139,0.011411367,0.01118687,4.0144769e-07,1.6505044e-07,5.1114492e-07,1.3961432e-05,0.0020740738,0.00012902688,5.1829489e-07,1.1759017e-08,7.86769e-09,0.043190608,-0.055213014,0.13598619,0.11123813,-0.081445765,0
0.0698017,0.0706752,0.109321,0.000187517,-0.000406264,0.000820825,-0.0037375,-0.0361488,0.003553,0.000821116,0,0.000105881,0.0048722773,0.0049949839,0.011951081,3.5162625e-08,1.6505044e-07,6.7375368e-07,1.3968906e-05,0.0013067357,1.2623809e-05,6.7423149e-07,0,1.1210786e-08,-0.0033236623,0.13071119,-0.090136668,-0.097836084,-0.013551687,0
0.0768283,0.103801,0.110345,-0.000560043,-0.000406264,0.000789737,0.0070266,0.0331258,0.001024,-0.00074756,0,-3.1088e-05,0.0059025877,0.010774648,0.012176019,3.1364816e-07,1.6505044e-07,6.2368453e-07,4.9373108e-05,0.0010973186,1.048576e-06,5.5884595e-07,0,9.6646374e-10,0.013422703,-0.09024576,0.067160117,0.076379986,-0.060878449,0
0.0692262,0.0965261,0.119755,1.97454e-05,-0.000406264,0.000866415,-0.0076021,-0.0072749,0.00941,0.0005797884,0,7.6678e-05,0.0047922668,0.009317288,0.01434126,3.8988082e-10,1.6505044e-07,7.5067495e-07,5.7791924e-05,5.292417e-05,8.85481e-05,3.3615459e-07,0,5.8795157e-09,-0.045064537,0.11990839,-0.049714515,-0.078137947,-0.071042747,0
0.0692157,0.101831,0.113717,-0.000380805,-0.000154223,0.000642108,-1.05e-05,0.0053049,-0.006038,-0.0004005504,0.000252041,-0.000224307,0.0047908131,0.010369553,0.012931556,1.4501245e-07,2.3784734e-08,4.1230268e-07,1.1025e-10,2.8141964e-05,3.6457444e-05,1.6044062e-07,6.3524666e-08,5.031363e-08,0.02168298,-0.085368453,0.090561234,0.093990761,-0.05980146,0
0.0692461,0.100817,0.106457,-0.00012862,-0.000406264,0.000687071,3.04e-05,-0.001014,-0.00726,0.000252185,-0.000252041,4.4963e-05,0.0047950224,0.010164067,0.011333093,1.6543104e-08,1.6505044e-07,4.7206656e-07,9.2416e-10,1.028196e-06,5.27076e-05,6.3597274e-08,6.3524666e-08,2.0216714e-09,0.027804357,0.094462808,-0.035138376,-0.012515028,-0.055859758,0
0.0625093,0.0710788,0.103044,0.000214489,-0.00023251,0.000733573,-0.0067368,-0.0297382,-0.003413,0.000343109,0.000173754,4.6502e-05,0.0039074126,0.0050521958,0.010618066,4.6005531e-08,5.40609e-08,5.3812935e-07,4.5384474e-05,0.00088436054,1.1648569e-05,1.1772379e-07,3.0190453e-08,2.162436e-09,-0.01096765,-0.092784295,0.015263795,0.060874117,-0.073258064,0
0.075304,0.126789,0.106565,-0.000424643,-0.000406264,0.000682193,0.0127947,0.0557102,0.003521,-0.000639132,-0.000173754,-5.138e-05,0.0056706924,0.016075451,0.011356099,1.8032168e-07,1.6505044e-07,4.6538729e-07,0.00016370435,0.0031036264,1.2397441e-05,4.0848971e-07,3.0190453e-08,2.6399044e-09,0.021933005,0.090999416,0.038829952,-0.075554594,-0.089014257,0
0.0670544,0.0693952,0.119007,0.000388611,-0.000406264,0.00101235,-0.0082496,-0.0573938,0.012442,0.000813254,0,0.000330157,0.0044962926,0.0048156938,0.014162666,1.5101851e-07,1.6505044e-07,1.0248525e-06,6.80559e-05,0.0032940483,0.00015480336,6.6138207e-07,0,1.0900364e-07,0.052523099,-0.049947572,0.0042272907,0.015174436,0.0075207365,0
0.0713275,0.120538,0.106682,-0.000686357,-0.000406264,0.000951529,0.0042731,0.0511428,-0.012325,-0.001074968,0,-6.0821e-05,0.0050876123,0.014529409,0.011381049,4.7108593e-07,1.6505044e-07,9.0540744e-07,1.8259384e-05,0.002615586,0.00015190563,1.1555562e-06,0,3.699194e-09,0.011139465,0.047839935,0.029038958,0.12316456,-0.035340577,0
0.0732429,0.0859325,0.106462,0.000204636,-0.000406264,0.000926806,0.0019154,-0.0346055,-0.00022,0.000890993,0,-2.4723e-05,0.0053645224,0.0073843946,0.011334157,4.1875892e-08,1.6505044e-07,8.5896936e-07,3.6687572e-06,0.0011975406,4.84e-08,7.9386853e-07,0,6.1122673e-10,0.071051915,-0.076429853,-0.033232502,-0.053225943,0.047030592,0
0.0784557,0.109378,0.106616,-0.000368876,-0.000460135,0.00115047,0.0052128,0.0234455,0.000154,-0.000573512,-5.3871e-05,0.000223664,0.0061552969,0.011963547,0.011366971,1.360695e-07,2.1172422e-07,1.3235812e-06,2.7173284e-05,0.00054969147,2.3716e-08,3.2891601e-07,2.9020846e-09,5.0025585e-08,0.062046225,0.10874902,0.01606257,0.15897291,-0.0001493328,0
0.0755406,0.0866679,0.111888,0.000227485,-0.000406264,0.00118768,-0.0029151,-0.0227101,0.005272,0.000596361,5.3871e-05,3.721e-05,0.0057063822,0.0075113249,0.012518925,5.1749425e-08,1.6505044e-07,1.4105838e-06,8.497808e-06,0.00051574864,2.7793984e-05,3.5564644e-07,2.9020846e-09,1.3845841e-09,-0.090405832,-0.079720305,-0.11792257,-0.0027396576,0.017307471,0
0.0670053,0.0983132,0.106529,-0.000108134,-0.000569027,0.000814696,-0.0085353,0.0116453,-0.005359,-0.000335619,-0.000162763,-0.000372984,0.0044897102,0.0096654853,0.011348428,1.1692962e-08,3.2379173e-07,6.6372957e-07,7.2851346e-05,0.00013561301,2.8718881e-05,1.1264011e-07,2.6491794e-08,1.3911706e-07,0.13823197,-0.02833021,-0.1060698,0.019481646,-0.0094557763,0
0.0716599,0.109439,0.109608,-0.000190951,-0.000406264,0.000962014,0.0046546,0.0111258,0.003079,-8.2817e-05,0.000162763,0.000147318,0.0051351413,0.011976895,0.012013914,3.6462284e-08,1.6505044e-07,9.2547094e-07,2.1665301e-05,0.00012378343,9.480241e-06,6.8586555e-09,2.6491794e-08,2.1702593e-08,-0.12490981,-0.077702445,-0.076711914,-0.051079266,0.03931182,0
0.0670151,0.0750424,0.106507,3.56039e-05,-0.000406264,0.000966799,-0.0046448,-0.0343966,-0.003101,0.0002265549,0,4.785e-06,0.0044910236,0.0056313618,0.011343741,1.2676377e-09,1.6505044e-07,9.3470031e-07,2.1574167e-05,0.0011831261,9.616201e-06,5.1327123e-08,0,2.2896225e-11,0.051149761,0.014494761,-0.090014121,-0.063213291,-0.000495017,0
0.0671015,0.103655,0.106552,-0.000108731,-0.000406264,0.00106628,8.64e-05,0.0286126,4.5e-05,-0.0001443349,0,9.9481e-05,0.0045026113,0.010744359,0.011353329,1.182243e-08,1.6505044e-07,1.136953e-06,7.46496e-09,0.00081868088,2.025e-09,2.0832563e-08,0,9.8964694e-09,-0.0075968984,-0.088021912,0.051628048,0.083189654,0.036562544,0
0.0670651,0.0765009,0.106409,0.000439097,-0.000759681,0.00107926,-3.64e-05,-0.0271541,-0.000143,0.000547828,-0.000353417,1.298e-05,0.0044977276,0.0058523877,0.011322875,1.9280618e-07,5.7711522e-07,1.1648021e-06,1.32496e-09,0.00073734515,2.0449e-08,3.0011552e-07,1.2490358e-07,1.684804e-10,0.092113284,0.035439136,-0.066571263,-0.0006372926,0.099754152,0
0.0783975,0.110365,0.0937476,-0.000368076,-0.0006059,0.00110573,0.0113324,0.0338641,-0.0126614,-0.000807173,0.000153781,2.647e-05,0.006146168,0.012180433,0.0087886125,1.3547994e-07,3.6711481e-07,1.2226388e-06,0.00012842329,0.0011467773,0.00016031105,6.5152825e-07,2.3648596e-08,7.006609e-10,-0.014055079,-0.064327403,0.023566006,0.15331913,0.099785642,0
0.0670213,0.0556665,0.106459,0.000455435,-0.000733475,0.00116462,-0.0113762,-0.0546985,0.0127114,0.000823511,-0.000127575,5.889e-05,0.0044918547,0.0030987592,0.011333519,2.0742104e-07,5.3798558e-07,1.3563397e-06,0.00012941793,0.0029919259,0.00016157969,6.7817037e-07,1.6275381e-08,3.4680321e-09,0.050109841,-0.025102489,-0.070730787,-0.063155377,0.11338896,0
0.0797024,0.112432,0.0901676,-0.00047931,-0.000689853,0.00114534,0.0126811,0.0567655,-0.0162914,-0.000934745,4.3622e-05,-1.928e-05,0.0063524726,0.012640955,0.0081301961,2.2973808e-07,4.7589716e-07,1.3118037e-06,0.0001608103,0.003222322,0.00026540971,8.7374822e-07,1.9028789e-09,3.717184e-10,-0.067857975,-0.025130199,0.097305351,0.0904266,0.060590028,0
0.0670044,0.0473503,0.10647,0.000586933,-0.000406264,0.000974801,-0.012698,-0.0650817,0.0163024,0.001066243,0.000283589,-0.000170539,0.0044895896,0.0022420509,0.011335861,3.4449035e-07,1.6505044e-07,9.5023699e-07,0.0001612392,0.0042356277,0.00026576825,1.1368741e-06,8.0422721e-08,2.9083551e-08,0.050846978,-0.048770445,-0.067684844,-0.09130135,0.053107713,0
0.0723473,0.11046,0.0804106,-0.00044119,-0.000606571,0.000995922,0.0053429,0.0631097,-0.0260594,-0.001028123,-0.000200307,2.1121e-05,0.0052341318,0.012201412,0.0064658646,1.9464862e-07,3.6792838e-07,9.9186063e-07,2.854658e-05,0.0039828342,0.00067909233,1.0570369e-06,4.0122894e-08,4.4609664e-10,0.079519344,0.097701696,0.010350735,0.11558955,-0.01243528,0
0.0714076,0.069366,0.106611,0.000300299,-0.000676035,0.00101322,-0.0009397,-0.041094,0.0262004,0.000741489,-6.9464e-05,1.7298e-05,0.0050990453,0.004811642,0.011365905,9.0179489e-08,4.5702332e-07,1.0266148e-06,8.8303609e-07,0.0016887168,0.00068646096,5.4980594e-07,4.8252473e-09,2.992208e-10,-0.1059278,-0.027630388,-0.056035261,0.067145597,0.065030933,0
0.0776545,0.101761,0.0896962,-8.18099e-05,-0.000692962,0.00103982,0.0062469,0.032395,-0.0169148,-0.0003821089,-1.6927e-05,2.66e-05,0.0060302214,0.010355301,0.0080454083,6.6928597e-09,4.8019633e-07,1.0812256e-06,3.902376e-05,0.001049436,0.00028611046,1.4600721e-07,2.8652333e-10,7.0756e-10,0.10146214,-0.075310012,-0.016164943,0.0091261847,-0.061234383,0
0.0675785,0.0872183,0.106583,0.000341553,-0.00081729,0.00115189,-0.010076,-0.0145427,0.0168868,0.0004233629,-0.000124328,0.00011207,0.0045668537,0.0076070319,0.011359936,1.1665845e-07,6.6796294e-07,1.3268506e-06,0.00010152578,0.00021149012,0.00028516401,1.7923615e-07,1.5457452e-08,1.2559685e-08,-0.081164629,0.10233172,-0.099888572,-0.17001084,-0.056809985,0
0.0644703,0.0865376,0.103533,0.000430637,-0.000652936,0.00109888,-0.0031082,-0.0006807,-0.00305,8.9084e-05,0.000164354,-5.301e-05,0.0041564196,0.0074887562,0.010719082,1.8544823e-07,4.2632542e-07,1.2075373e-06,9.6609072e-06,4.6335249e-07,9.3025e-06,7.9359591e-09,2.7012237e-08,2.8100601e-09,-0.10744541,-0.1066716,-0.004703138,-0.0096863726,-0.080807774,0
0.069814,0.112352,0.0791106,0.000115629,-0.00078179,0.00103313,0.0053437,0.0258144,-0.0244224,-0.000315008,-0.000128854,-6.575e-05,0.0048739946,0.012622972,0.006258487,1.3370066e-08,6.111956e-07,1.0673576e-06,2.855513e-05,0.00066638325,0.00059645362,9.923004e-08,1.6603353e-08,4.3230625e-09,0.094764777,0.0017721235,-0.0078516005,-0.055386232,-0.022842698,0
0.063604,0.0735154,0.106504,0.000573794,-0.000817239,0.00101987,-0.00621,-0.0388366,0.0273934,0.000458165,-3.5449e-05,-1.326e-05,0.0040454688,0.005404514,0.011343102,3.2923955e-07,6.6787958e-07,1.0401348e-06,3.85641e-05,0.0015082815,0.00075039836,2.0991517e-07,1.2566316e-09,1.758276e-10,-0.10799489,0.013242329,-0.013191319,0.09304721,0.0080079899,0
0.0796862,0.103235,0.0874867,-0.00023252,-0.000794543,0.00105957,0.0160822,0.0297196,-0.0190173,-0.000806314,2.2696e-05,3.97e-05,0.0063498905,0.010657465,0.0076539227,5.406555e-08,6.3129858e-07,1.1226886e-06,0.00025863716,0.00088325462,0.0003616577,6.5014227e-07,5.1510842e-10,1.57609e-09,0.11548655,-0.097899379,-0.020620856,-0.007913397,-0.063295692,0
0.076992,0.0758022,0.0855285,0.000337059,-0.000837529,0.0011253,-0.0026942,-0.0274328,-0.0019582,0.000569579,-4.2986e-05,6.573e-05,0.0059277681,0.0057459735,0.0073151243,1.1360877e-07,7.0145483e-07,1.2663001e-06,7.2587136e-06,0.00075255852,3.8345472e-06,3.2442024e-07,1.8477962e-09,4.3204329e-09,-0.0094958532,0.10988554,-0.11660816,-0.033595525,0.014969702,0
0.0636142,0.0847786,0.0840817,0.000148846,-0.000721256,0.00117136,-0.0133778,0.0089764,-0.0014468,-0.000188213,0.000116273,4.606e-05,0.0040467664,0.007187411,0.0070697323,2.2155132e-08,5.2021022e-07,1.3720842e-06,0.00017896553,8.0575757e-05,2.0932302e-06,3.5424133e-08,1.3519411e-08,2.1215236e-09,-0.038104481,-0.077018154,-0.017231901,0.082532212,-0.015810247,0
0.0636361,0.10216,0.0753341,0.000131924,-0.000837529,0.00119137,2.19e-05,0.0173814,-0.0087476,-1.6922e-05,-0.000116273,2.001e-05,0.0040495532,0.010436666,0.0056752266,1.7403942e-08,7.0145483e-07,1.4193625e-06,4.7961e-10,0.00030211307,7.6520506e-05,2.8635408e-10,1.3519411e-08,4.004001e-10,0.081265058,-0.051423564,-0.08076627,-0.062087136,0.046725255,0
0.0686459,0.0820758,0.106454,0.000849747,-0.000837529,0.00128418,0.0050098,-0.0200842,0.0311199,0.000717823,0,9.281e-05,0.0047122596,0.0067364369,0.011332454,7.2206996e-07,7.0145483e-07,1.6491183e-06,2.5098096e-05,0.00040337509,0.00096844818,5.1526986e-07,0,8.6136961e-09,-0.10839826,0.059419213,-0.033437941,0.078366124,-0.0017523368,0
0.0635183,0.0908726,0.0885362,-0.00016864,-0.000558889,0.000880428,-0.0051276,0.0087968,-0.0179178,-0.001018387,0.00027864,-0.000403752,0.0040345744,0.0082578294,0.0078386587,2.843945e-08,3.1235691e-07,7.7515346e-07,2.6292282e-05,7.738369e-05,0.00032104756,1.0371121e-06,7.764025e-08,1.6301568e-07,0.079606044,-0.10461073,0.0034997925,-0.023905019,-0.018637857,0
0.0635936,0.0584573,0.0859808,0.000411718,-0.000837529,0.00118348,7.53e-05,-0.0324153,-0.0025554,0.000580358,-0.00027864,0.000303052,0.004044146,0.0034172559,0.007392698,1.6951171e-07,7.0145483e-07,1.4006249e-06,5.67009e-09,0.0010507517,6.5300692e-06,3.3681541e-07,7.764025e-08,9.1840515e-08,-0.051093227,0.10665364,-0.098312819,0.0014013381,0.04777892,0
0.0777598,0.0784323,0.0817526,-0.000224416,-0.000837529,0.00121596,0.0141662,0.019975,-0.0042282,-0.000636134,0,3.248e-05,0.0060465865,0.0061516257,0.0066834876,5.0362541e-08,7.0145483e-07,1.4785587e-06,0.00020068122,0.00039900062,1.7877675e-05,4.0466647e-07,0,1.0549504e-09,-0.019355753,-0.13860719,-0.036256304,0.033840362,0.0089443611,0
0.0636005,0.070102,0.0868901,0.000246614,-0.000837529,0.00116497,-0.0141593,-0.0083303,0.0051375,0.00047103,0,-5.099e-05,0.0040450236,0.0049142904,0.0075498895,6.0818465e-08,7.0145483e-07,1.3571551e-06,0.00020048578,6.9393898e-05,2.6393906e-05,2.2186926e-07,0,2.5999801e-09,0.030963045,0.05488713,-0.12283233,-0.12851559,0.019864187,0
0.0635759,0.0928747,0.104478,-1.40667e-05,-0.000682898,0.00109378,-2.46e-05,0.0227727,0.0175879,-0.0002606807,0.000154631,-7.119e-05,0.0040418951,0.0086257099,0.010915652,1.9787205e-10,4.6634968e-07,1.1963547e-06,6.0516e-10,0.00051859587,0.00030933423,6.7954427e-08,2.3910746e-08,5.0680161e-09,-0.054058668,-0.043223255,0.065628753,0.11671716,0.03220215,0
0.0635518,0.0921098,0.0985168,0.000503906,-0.000837528,0.000975561,-2.41e-05,-0.0007649,-0.0059612,0.0005179727,-0.00015463,-0.000118219,0.0040388313,0.0084842153,0.0097055599,2.5392126e-07,7.0145315e-07,9.5171926e-07,5.8081e-10,5.8507201e-07,3.5535905e-05,2.6829572e-07,2.3910437e-08,1.3975732e-08,0.034429123,-0.069461842,-0.022823148,-0.10469355,0.10086858,0
0.0678328,0.0804602,0.0971049,0.000343907,-0.000673325,0.00125202,0.004281,-0.0116496,-0.0014119,-0.000159999,0.000164203,0.000276459,0.0046012888,0.0064738438,0.0094293616,1.1827202e-07,4.5336656e-07,1.5675541e-06,1.8326961e-05,0.00013571318,1.9934616e-06,2.559968e-08,2.6962625e-08,7.6429579e-08,-0.032280266,0.095163762,-0.0046722487,0.13448484,0.077302742,0
0.0769439,0.0962978,0.0913137,0.000113468,-0.000837528,0.00124254,0.0091111,0.0158376,-0.0057912,-0.000230439,-0.000164203,-9.48e-06,0.0059203637,0.0092732663,0.0083381918,1.2874987e-08,7.0145315e-07,1.5439057e-06,8.3012143e-05,0.00025082957,3.3537997e-05,5.3102133e-08,2.6962625e-08,8.98704e-11,-0.025147858,-0.11698182,-0.019601025,-0.023708581,0.030028919,0
0.0636173,0.0509779,0.077505,0.000627357,-0.000837529,0.00131039,-0.0133266,-0.0453199,-0.0138087,0.000513889,-9.999999e-10,6.785e-05,0.0040471609,0.0025987463,0.006007025,3.9357681e-07,7.0145483e-07,1.717122e-06,0.00017759827,0.0020538933,0.0001906802,2.640819e-07,9.999998e-19,4.6036225e-09,0.021316623,0.067056485,-0.070398284,-0.054560113,0.064535966,0
0.0755572,0.100925,0.0949112,-6.50591e-05,-0.000837529,0.00134409,0.0119399,0.0499471,0.0174062,-0.0006924161,0,3.37e-05,0.0057088905,0.010185856,0.0090081359,4.2326865e-09,7.0145483e-07,1.8065779e-06,0.00014256121,0.0024947128,0.0003029758,4.7944006e-07,0,1.13569e-09,-0.10268668,-0.082507811,0.11719543,0.016070574,0.073284166,0
0.075992,0.0716582,0.0929608,0.000819647,-0.000837528,0.00132896,0.0004348,-0.0292668,-0.0019504,0.0008847061,9.999999e-10,-1.513e-05,0.0057747841,0.0051348976,0.0086417103,6.718212e-07,7.0145315e-07,1.7661347e-06,1.8905104e-07,0.00085654558,3.8040602e-06,7.8270488e-07,9.999998e-19,2.289169e-10,0.014077423,-0.016196834,0.026295673,-0.14863312,0.10608539,0
0.0828733,0.108185,0.076204,0.000428387,-0.000923172,0.00172887,0.0068813,0.0365268,-0.0167568,-0.00039126,-8.5644e-05,0.00039991,0.0068679839,0.011703994,0.0058070496,1.8351542e-07,8.5224654e-07,2.9889915e-06,4.735229e-05,0.0013342071,0.00028079035,1.5308439e-07,7.3348947e-09,1.5992801e-07,-0.0044900363,0.041873575,0.051162519,0.15166953,0.053531684,0
