trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,trans_x_der,trans_y_der,trans_z_der,rot_x_der,rot_y_der,rot_z_der,trans_x_2,trans_y_2,trans_z_2,rot_x_2,rot_y_2,rot_z_2,trans_x_der_2,trans_y_der_2,trans_z_der_2,rot_x_der_2,rot_y_der_2,rot_z_der_2,a_comp_cor_00,a_comp_cor_01,a_comp_cor_02,a_comp_cor_03,a_comp_cor_04,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.10,0.11,0.12,0.13,0.14,initdum_1.0
0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0.0504958,0.000236766,-0.000756822,-0,0,0,0.0504958,0.000236766,-0.000756822,0,0,0,0.0025498258,5.6058139e-08,5.7277954e-07,0,0,0,0.0025498258,5.6058139e-08,5.7277954e-07,0,0,-0.15956675,0.097205955,-0.071427147,0.27702397,-0.099358799,0.3363319,0,0,-0.97995338,0,0,1.8664935,0,0,-2.4948258,0,0,3.0341856,0,0,0
1.50528e-09,0.0690871,0.0409319,-0.000627724,-0,0,1.50528e-09,0.0185913,0.040695134,0.000129098,0,0,2.2658679e-18,0.0047730274,0.0016754204,3.9403742e-07,0,0,2.2658679e-18,0.00034563644,0.0016560939,1.6666294e-08,0,0,0.030608084,0.034173678,0.12048466,0.10955184,0.048036172,8.0267167,0,0,-15.986889,0,0,22.771621,0,0,-24.455368,0,0,23.756792,0,0,0
0.00336904,0.0277354,0.0914996,-0.000308191,-0,0.000150302,0.0033690385,-0.0413517,0.0505677,0.000319533,0,0.000150302,1.1350431e-05,0.00076925241,0.0083721768,9.4981692e-08,0,2.2590691e-08,1.135042e-05,0.0017099631,0.0025570923,1.0210134e-07,0,2.2590691e-08,0.10584168,0.012276413,0.029729734,0.04825947,0.12474956,35.646218,0,0,-46.531439,0,0,44.872643,0,0,-31.42687,0,0,20.803266,0,0,0
-0.0120919,0.0990599,0.0584838,-0.000993579,-6.22818e-05,0,-0.01546094,0.0713245,-0.0330158,-0.000685388,-6.22818e-05,-0.000150302,0.00014621405,0.0098128638,0.0034203549,9.8719923e-07,3.8790226e-09,0,0.00023904067,0.0050871843,0.001090043,4.6975671e-07,3.8790226e-09,2.2590691e-08,0.0026055491,0.07225918,-0.018407656,-0.091200962,0.031742933,75.335538,0.3363319,0.3363319,-55.385365,-0.97995338,-0.97995338,30.742851,1.8664935,1.8664935,-8.3113246,-2.4948258,-2.4948258,11.148221,3.0341856,3.0341856,0
-0.024115,0.0611775,0.0633509,-0.00077971,-0.000345893,0,-0.0120231,-0.0378824,0.0048671,0.000213869,-0.0002836112,0,0.00058153323,0.0037426865,0.0040133365,6.0794768e-07,1.1964197e-07,0,0.00014455493,0.0014350762,2.3688662e-05,4.5739949e-08,8.0435313e-08,0,0.034025773,0.034712041,-0.060566459,-0.050680995,0.049612795,100.79111,7.6903848,8.0267167,-13.675603,-15.006936,-15.986889,-3.1155306,20.905128,22.771621,4.4436331,-21.960542,-24.455368,9.2283483,20.722606,23.756792,0
-0.019494,0.087146,0.0806628,-0.00132214,7.19615e-05,0,0.004621,0.0259685,0.0173119,-0.00054243,0.0004178545,0,0.00038001604,0.0075944253,0.0065064873,1.7480542e-06,5.1784575e-09,0,2.1353641e-05,0.00067436299,0.00029970188,2.942303e-07,1.7460238e-07,0,-0.069459601,0.019157934,-0.066018002,0.064069607,-0.033614712,87.932012,27.619502,35.309886,51.111883,-30.544549,-45.551485,0.85453444,22.101022,43.00615,4.4044542,-6.971502,-28.932044,0.52737567,-2.9535262,17.76908,0
-0.0196135,0.109726,0.0634386,-0.00103426,0.000146802,-0.000254914,-0.0001195,0.02258,-0.0172242,0.00028788,7.48405e-05,-0.000254914,0.00038468938,0.012039795,0.004024456,1.0696937e-06,2.1550827e-08,6.4981147e-08,1.428025e-08,0.0005098564,0.00029667307,8.2874894e-08,5.6011004e-09,6.4981147e-08,0.076593003,0.067139266,6.26795e-05,-0.0006172647,0.073921524,48.16574,40.025651,67.645153,75.628811,-9.8338796,-40.378429,44.561451,-12.263298,9.8377235,14.202723,20.620719,13.649217,12.813501,-6.6208587,-9.5743849,0
-0.0193492,0.112462,0.0275743,-0.000818345,-0.000357904,0.000351296,0.0002643,0.002736,-0.0358643,0.000215915,-0.000504706,0.00060621,0.00037439154,0.012647701,0.00076034202,6.6968854e-07,1.2809527e-07,1.2340888e-07,6.985449e-08,7.485696e-06,0.001286248,4.6619287e-08,2.5472815e-07,3.6749056e-07,0.04077771,0.11394403,-0.036339439,-0.063365357,0.0071039611,11.299074,33.145954,73.171605,48.927253,26.702826,16.868947,67.703266,-12.953254,-25.216553,48.105127,-9.2055843,11.415135,25.75841,18.802733,12.181875,0
-0.0195319,0.0975173,-0.000733246,-0.000711718,-0.000221675,-3.64616e-05,-0.0001827,-0.0149447,-0.028307546,0.000106627,0.000136229,-0.0003877576,0.00038149512,0.0095096238,5.376497e-07,5.0654251e-07,4.9139806e-08,1.3294483e-09,3.337929e-08,0.00022334406,0.00080131716,1.1369317e-08,1.855834e-08,1.5035596e-07,0.063131048,0.11743619,-0.059446829,0.0096368271,-0.054228535,-5.9176185,14.760407,47.906361,11.580828,34.242936,60.945762,39.815625,26.071087,13.117833,61.475925,-7.0106809,-16.216265,60.261989,-11.654499,7.1482344,0
-0.0138497,0.0438387,0.0299671,-0.000656084,0.0002782,0.000240209,0.0056822,-0.0536786,0.030700346,5.5634e-05,0.000499875,0.0002766706,0.00019181419,0.0019218316,0.00089802708,4.3044622e-07,7.739524e-08,5.7700364e-08,3.2287397e-05,0.0028813921,0.00094251124,3.095142e-09,2.4987502e-07,7.6546621e-08,0.0049673615,-0.061271254,-0.13253748,-0.032626363,-0.085714938,-7.0495411,0.25937865,15.019786,-4.8741363,14.683048,48.925984,5.4787865,31.443618,57.514705,30.081083,30.418988,23.408307,62.399468,5.6652664,-5.9892325,0
-0.0196178,0.086562,-0.000394692,-0.000169507,-0.000430693,5.3709e-05,-0.0057681,0.0427233,-0.030361792,0.000486577,-0.000708893,-0.0001865,0.00038485808,0.0074929798,1.5578177e-07,2.8732623e-08,1.8549646e-07,2.8846567e-09,3.3270978e-05,0.0018252804,0.00092183841,2.3675718e-07,5.0252929e-07,3.478225e-08,-0.1377445,-0.066789539,-0.063295995,-0.07366349,-0.12615147,-3.5110514,-3.720712,-3.4613334,-5.3742314,0.001268743,14.684317,-5.8198513,10.188561,41.632179,4.2829721,24.69682,55.115808,31.68672,31.747643,37.412909,0
-0.00430445,0.127186,0.0118246,0.000670436,0.000107701,0.000471443,0.01531335,0.040624,0.012219292,0.000839943,0.000538394,0.000417734,1.852829e-05,0.016176279,0.00013982117,4.4948443e-07,1.1599505e-08,2.222585e-07,0.00023449869,0.0016503094,0.0001493111,7.0550424e-07,2.898681e-07,1.7450169e-07,-0.15782724,-0.13444049,-0.03519297,0.042029189,-0.10059588,-1.0602419,-2.4562852,-6.1769972,-2.2882157,-3.103489,-3.1022203,-4.0480049,-1.8165541,8.3720071,-2.1326453,6.3601165,31.056937,8.8451177,22.849079,54.596722,0
-0.0102942,0.06284,0.0590513,0.00103002,0.000202813,0.000154487,-0.00598975,-0.064346,0.0472267,0.000359584,9.5112e-05,-0.000316956,0.00010597055,0.0039488656,0.003487056,1.0609412e-06,4.1133113e-08,2.3866233e-08,3.5877105e-05,0.0041404077,0.0022303612,1.2930065e-07,9.0462925e-09,1.0046111e-07,-0.018835975,-0.11958419,0.14592472,0.080038779,0.0057786201,-0.18769801,-0.8725439,-3.3288291,-0.51629968,-1.771916,-4.875405,-1.1547843,-2.8932206,-4.7097747,-1.1567913,-0.97585403,5.3842624,1.0423718,7.8027459,30.651825,0
-0.0197911,0.1159,0.0757529,-0.00187456,-0.000836799,-0.000301754,-0.0094969,0.05306,0.0167016,-0.00290458,-0.001039612,-0.000456241,0.00039168764,0.01343281,0.0057385019,3.5139752e-06,7.0023257e-07,9.1055477e-08,9.019111e-05,0.0028153636,0.00027894344,8.436585e-06,1.0807931e-06,2.0815585e-07,-0.010651768,0.021933485,0.13293662,-0.1203088,0.03860305,-0.0054756973,-0.18222231,-1.0547662,-0.017473317,-0.49882636,-2.2707424,-0.044707646,-1.1100766,-4.0032972,-0.055500918,-1.1012903,-2.0771444,0.0074774136,1.0348944,8.8376403,0
-0.0195674,0.0839039,0.0476371,-0.0010895,-2.62207e-05,-0.000193053,0.0002237,-0.0319961,-0.0281158,0.00078506,0.0008105783,0.000108701,0.00038288314,0.0070398644,0.0022692933,1.1870102e-06,6.8752511e-10,3.7269461e-08,5.004169e-08,0.0010237504,0.00079049821,6.163192e-07,6.5703718e-07,1.1815907e-08,0.10576139,0.030351338,0.088600578,-0.048685723,0.033850313,0,-0.0054756973,-0.18769801,0,-0.017473317,-0.51629968,0,-0.044707646,-1.1547843,0,-0.055500918,-1.1567913,0,0.0074774136,1.0423718,0
-0.0194217,0.0626194,0.0747807,-0.000594512,-2.62207e-05,0.000124388,0.0001457,-0.0212845,0.0271436,0.000494988,0,0.000317441,0.00037720243,0.0039211893,0.0055921531,3.5344452e-07,6.8752511e-10,1.5472375e-08,2.122849e-08,0.00045302994,0.00073677502,2.4501312e-07,0,1.0076879e-07,-0.027453352,-0.093992093,-0.028242225,-0.079195857,-0.050178447,0,0,-0.0054756973,0,0,-0.017473317,0,0,-0.044707646,0,0,-0.055500918,0,0,0.0074774136,0
-0.0216882,0.119508,0.0753185,-0.000988841,-0.000451413,0.000222089,-0.0022665,0.0568886,0.0005378,-0.000394329,-0.0004251923,9.7701e-05,0.00047037802,0.014282162,0.0056728764,9.7780652e-07,2.037737e-07,4.9323524e-08,5.1370223e-06,0.0032363128,2.8922884e-07,1.5549536e-07,1.8078849e-07,9.5454854e-09,-0.15113089,-0.03152041,0.019668917,-0.019399145,-0.10330309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
