trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,trans_x_der,trans_y_der,trans_z_der,rot_x_der,rot_y_der,rot_z_der,trans_x_2,trans_y_2,trans_z_2,rot_x_2,rot_y_2,rot_z_2,trans_x_der_2,trans_y_der_2,trans_z_der_2,rot_x_der_2,rot_y_der_2,rot_z_der_2,a_comp_cor_00,a_comp_cor_01,a_comp_cor_02,a_comp_cor_03,a_comp_cor_04,initdum_1.0
0,5.6616e-11,-3.78412e-09,5.15063e-05,-0,0,0,0,0,0,0,0,0,3.2053715e-21,1.4319564e-17,2.6528989e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0143861,3.49757e-05,0.00794392,-0.000822007,0.000555763,8.28373e-05,0.0143861,3.4975643e-05,0.0079439238,-0.0008735133,0.000555763,8.28373e-05,0.00020695987,1.2232996e-09,6.3105865e-05,6.7569551e-07,3.0887251e-07,6.8620183e-09,0.00020695987,1.2232956e-09,6.3105925e-05,7.6302549e-07,3.0887251e-07,6.8620183e-09,-0.17232051,-0.0013482919,-0.001967874,-0.011244555,-0.3913118,0
5.85665e-05,0.0385449,0.0322476,-0.00104065,0.000258888,0.000444721,-0.014327534,0.038509924,0.02430368,-0.000218643,-0.000296875,0.0003618837,3.4300349e-09,0.0014857093,0.0010399077,1.0829524e-06,6.7022997e-08,1.9777677e-07,0.00020527822,0.0014830143,0.00059066886,4.7804761e-08,8.8134766e-08,1.3095981e-07,-0.078874283,-0.088255869,-0.19037535,-0.16447919,-0.077484635,0
8.35948e-05,-0.060022,0.0232232,-0.000734664,-0,-1.93727e-06,2.50283e-05,-0.0985669,-0.0090244,0.000305986,-0.000258888,-0.00044665827,6.9880906e-09,0.0036026405,0.00053931702,5.3973119e-07,0,3.7530151e-12,6.264158e-10,0.0097154338,8.1439795e-05,9.3627432e-08,6.7022997e-08,1.9950361e-07,0.14753611,-0.18155095,-0.11246384,-0.18636204,-0.085625432,0
2.94149e-05,0.0182818,0.012529,-0.000617358,8.24365e-05,0.000199119,-5.41799e-05,0.0783038,-0.0106942,0.000117306,8.24365e-05,0.00020105627,8.6523634e-10,0.00033422421,0.00015697584,3.811309e-07,6.7957765e-09,3.9648376e-08,2.9354616e-09,0.0061314851,0.00011436591,1.3760698e-08,6.7957765e-09,4.0423624e-08,0.1622546,-0.13001581,-0.048643814,-0.032021646,-0.094020544,0
-0.0258997,0.0244827,0.0133114,-0.000816434,0.000301314,3.84384e-05,-0.025929115,0.0062009,0.0007824,-0.000199076,0.0002188775,-0.0001606806,0.00067079446,0.0005994026,0.00017719337,6.6656448e-07,9.0790127e-08,1.4775106e-09,0.000672319,3.8451161e-05,6.1214976e-07,3.9631254e-08,4.790736e-08,2.5818255e-08,0.076734283,0.058166949,-0.087385549,0.15637337,0.0017146042,0
-0.0524747,0.0235135,0.0479234,-0.000701815,0.000637083,-0.000464246,-0.026575,-0.0009692,0.034612,0.000114619,0.000335769,-0.0005026844,0.0027535941,0.00055288468,0.0022966523,4.9254429e-07,4.0587475e-07,2.1552435e-07,0.00070623062,9.3934864e-07,0.0011979905,1.3137515e-08,1.1274082e-07,2.5269161e-07,0.15658124,0.028989823,-0.1079467,0.16941772,-0.0040422348,0
-0.0369827,0.0585666,0.0985699,-0.00312423,0.00138074,-0.000583068,0.015492,0.0350531,0.0506465,-0.002422415,0.000743657,-0.000118822,0.0013677201,0.0034300466,0.0097160252,9.7608131e-06,1.9064429e-06,3.3996829e-07,0.00024000206,0.0012287198,0.002565068,5.8680944e-06,5.5302573e-07,1.4118668e-08,0.12770722,0.07902697,0.090921777,0.031005446,-0.056360226,0
-0.0308457,0.0414289,0.0454712,-0.00203453,0.00128414,-0.000184436,0.006137,-0.0171377,-0.0530987,0.0010897,-9.66e-05,0.000398632,0.00095145721,0.0017163538,0.00206763,4.1393123e-06,1.6490155e-06,3.4016638e-08,3.7662769e-05,0.00029370076,0.0028194719,1.1874461e-06,9.33156e-09,1.5890747e-07,0.055974993,0.17033252,0.14517295,-0.062696299,-0.054402667,0
-0.0183133,0.0658866,0.0455292,-0.00230748,0.00105709,-0.000184436,0.0125324,0.0244577,5.8e-05,-0.00027295,-0.00022705,0,0.00033537696,0.0043410441,0.0020729081,5.324464e-06,1.1174393e-06,3.4016638e-08,0.00015706105,0.00059817909,3.364e-09,7.4501703e-08,5.1551703e-08,0,0.014969601,0.10820047,0.16936884,-0.099874592,-0.12062768,0
-0.0251595,0.0893178,0.0587792,-0.0017963,0.00122738,-0.000247348,-0.0068462,0.0234312,0.01325,0.00051118,0.00017029,-6.2912e-05,0.00063300044,0.0079776694,0.0034549944,3.2266937e-06,1.5064617e-06,6.1181033e-08,4.6870454e-05,0.00054902113,0.0001755625,2.6130499e-07,2.8998684e-08,3.9579197e-09,0.10457068,0.054008842,0.015386081,-0.1273817,0.037721814,0
-0.015215,-0.0150902,0.048903,-0.00193375,0.00122738,-0.000184436,0.0099445,-0.104408,-0.0098762,-0.00013745,0,6.2912e-05,0.00023149622,0.00022771414,0.0023915034,3.7393891e-06,1.5064617e-06,3.4016638e-08,9.889308e-05,0.01090103,9.7539326e-05,1.8892502e-08,0,3.9579197e-09,0.07750873,0.081797505,0.011425217,-0.0009103059,0.036230675,0
-0.0308512,0.0229929,0.0454777,-0.00179567,0.00122738,-0.000184436,-0.0156362,0.0380831,-0.0034253,0.00013808,0,0,0.00095179654,0.00052867345,0.0020682212,3.2244307e-06,1.5064617e-06,3.4016638e-08,0.00024449075,0.0014503225,1.173268e-05,1.9066086e-08,0,0,0.041223171,0.078447668,0.15975664,-0.064674236,-0.16825627,0
-0.0308847,0.0738601,0.0943474,-0.00272622,0.00115011,-0.000335952,-3.35e-05,0.0508672,0.0488697,-0.00093055,-7.727e-05,-0.000151516,0.00095386469,0.0054553144,0.0089014319,7.4322755e-06,1.322753e-06,1.1286375e-07,1.12225e-09,0.002587472,0.0023882476,8.659233e-07,5.9706529e-09,2.2957098e-08,-0.02686979,-0.0081422333,0.190907,-0.10364012,-0.13072697,0
-0.0308994,0.0379881,0.0788978,-0.00263548,0.00122738,-0.000619246,-1.47e-05,-0.035872,-0.0154496,9.074e-05,7.727e-05,-0.000283294,0.00095477292,0.0014430957,0.0062248628,6.9457548e-06,1.5064617e-06,3.8346561e-07,2.1609e-10,0.0012868004,0.00023869014,8.2337476e-09,5.9706529e-09,8.025549e-08,-0.092408487,-0.054548187,0.020445758,-0.12106611,0.047146994,0
-0.0308557,-0.00492516,0.0762521,-0.00214823,0.00147465,-0.000588593,4.37e-05,-0.04291326,-0.0026457,0.00048725,0.00024727,3.0653e-05,0.00095207422,2.4257201e-05,0.0058143828,4.6148921e-06,2.1745926e-06,3.4644172e-07,1.90969e-09,0.0018415479,6.9997285e-06,2.3741256e-07,6.1142453e-08,9.3960641e-10,-0.03819118,-0.060674338,-0.027162803,-0.10751935,0.096013517,0
-0.0250715,0.039764,0.0542807,-0.0018102,0.00122738,-0.000592942,0.0057842,0.04468916,-0.0219714,0.00033803,-0.00024727,-4.349e-06,0.00062858011,0.0015811757,0.0029463944,3.276824e-06,1.5064617e-06,3.5158022e-07,3.345697e-05,0.001997121,0.00048274242,1.1426428e-07,6.1142453e-08,1.8913801e-11,-0.043083767,-0.087668826,-0.062241816,-0.03031461,0.14286495,0
-0.031676,0.0403422,0.0193942,-0.00190656,0.00143424,-0.000669156,-0.0066045,0.0005782,-0.0348865,-9.636e-05,0.00020686,-7.6214e-05,0.001003369,0.0016274931,0.00037613499,3.634971e-06,2.0570444e-06,4.4776975e-07,4.361942e-05,3.3431524e-07,0.0012170679,9.2852496e-09,4.279106e-08,5.8085738e-09,-0.056566152,-0.081490854,-0.099699497,0.073066318,0.13723755,0
-0.0143471,0.00830054,0.00862371,-0.00129027,0.00151424,-0.000614508,0.0173289,-0.03204166,-0.01077049,0.00061629,8e-05,5.4648e-05,0.00020583928,6.8898964e-05,7.4368374e-05,1.6647967e-06,2.2929228e-06,3.7762008e-07,0.00030029078,0.001026668,0.00011600345,3.7981336e-07,6.4e-09,2.9864039e-09,-0.058281938,-0.028972853,-0.083984226,0.12071443,0.095240995,0
-0.0143893,0.00824638,0.000471461,-0.00107923,0.00140113,-0.000605212,-4.22e-05,-5.416e-05,-0.008152249,0.00021104,-0.00011311,9.296e-06,0.00020705195,6.8002783e-05,2.2227547e-07,1.1647374e-06,1.9631653e-06,3.6628156e-07,1.78084e-09,2.9333056e-09,6.6459164e-05,4.4537882e-08,1.2793872e-08,8.6415616e-11,-0.042421042,-0.024838951,0.011378042,0.015977899,0.059055034,0
-0.0385834,0.0356468,-0.00036434,-0.00120927,0.00156193,-0.00101445,-0.0241941,0.02740042,-0.000835801,-0.00013004,0.0001608,-0.000409238,0.0014886788,0.0012706944,1.3274364e-07,1.4623339e-06,2.4396253e-06,1.0291088e-06,0.00058535447,0.00075078302,6.9856331e-07,1.6910402e-08,2.585664e-08,1.6747574e-07,0.039774302,-0.080631944,0.013448306,0.028829093,0.094279462,0
-0.0353705,0.0505526,-0.0434202,-0.00164168,0.00136668,-0.000893043,0.0032129,0.0149058,-0.04305586,-0.00043241,-0.00019525,0.000121407,0.0012510723,0.0025555654,0.0018853138,2.6951132e-06,1.8678142e-06,7.975258e-07,1.0322726e-05,0.00022218287,0.0018538071,1.8697841e-07,3.8122562e-08,1.473966e-08,-0.11587763,0.019070684,0.067576927,0.086400549,0.12196284,0
