global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	cosine00	cosine01	cosine02	cosine03	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12
818.334726716566	n/a	n/a	669671.7249502768	1252.9947392909012	n/a	1569995.8166906734	n/a	803.3210736826137	n/a	645324.7474225872	n/a	894.3585968677182	821.2267398314923	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	7.480880000000001e-10	n/a	n/a	5.596356557440002e-19	-4.1652e-10	n/a	n/a	1.734889104e-19	0.0	n/a	n/a	0.0	0.0	n/a	n/a	0.0	-0.0	n/a	0.0	n/a	-8.45718e-05	n/a	n/a	7.152389355240001e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
812.0927844586853	-6.241942257880738	38.96184315071727	659494.6905698606	1207.9932842801452	-45.001455010756	1459247.7748659316	2025.1309530850956	803.9615735086128	0.6404998259990862	646354.2116784446	0.4102400271048597	887.2645018667461	818.7175408729912	1.545259	26.420101000000006	0.08027457886460801	0.0422736	-0.0733446685	0.0146295514	-0.022706302999999997	0.053669372699999995	-0.11314384820000001	-0.0694067911	0.1374015641	-0.2598700946	0.0011737891	-0.0321487388	-0.1758019347	0.0893699607	-0.0277706569	0.0411128006	-0.0893010757	0.008158180899999999	-0.0562160376	0.0382858723	-0.014695754699999999	0.11970375220000001	-0.1074873195	0.0997227875	-0.0399648175	0.0502770954	-0.0236683444	0.0523220374	-0.0050832305999999996	0.11013733490000001	-0.089530587	0.024207723900000002	-0.034000954900000005	0.0376964308	-0.0190357334	0.0333157672	-0.0445618886	0.12552696800000002	-0.034988038900000004	0.0446966843	-0.0821521553	0.05696638480000001	-0.0677925429	0.065821908	-0.0522874034	0.0074412409	0.051782279400000006	-0.0760858618	-0.0739832492	-0.0908605894	-0.0839791426	0.0706274745	-0.1879552309	0.1314640895	-0.044951419900000004	0.18066035449999998	-0.1433872533	0.0362005027	-0.0988378921	-0.2018396995	0.07313609410000001	-0.1319590583	0.1049353235	-0.006977760600000001	0.1426820642	-0.0969744083	0.0824522908	-0.000629408	-0.4268544946	0.2078804188	-0.0584367083	0.0531965532	-0.0935626273	0.16484972550000002	-0.0598432727	0.1078282764	0.10781478650000001	0.10779230449999999	0.1077608324	0.0	-0.0120195	-0.012019500748087998	0.00014446839823328795	0.00014446838024999994	0.0317947	0.03179470041652	0.001010902974576257	0.00101090294809	3.59177e-05	3.59177e-05	1.2900811732899998e-09	1.2900811732899998e-09	-0.000193503	-0.000193503	3.7443411008999985e-08	3.7443411008999985e-08	-0.000436663	-0.000436663	1.90674575569e-07	1.90674575569e-07	-0.000182895	-9.83232e-05	9.66745165824e-09	3.3450581025e-08	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
809.1628502690093	-2.9299341896760325	8.58451435583255	654744.5182554671	1199.6951609871592	-8.29812329298602	1439268.479296006	68.85885018559715	803.5605995789833	-0.4009739296294583	645709.6371957352	0.1607800922424898	884.8123145447787	825.2435997853427	1.323313	22.625372	0.08559393229999998	0.0427784	-0.0853479057	-0.1153104457	0.103716835	0.0017163831	-0.09536232019999999	-0.1449532245	0.10707009	-0.0282151246	-0.0934683185	-0.0332824283	-0.2207297725	0.02504275	-0.0802067318	-0.0841530475	0.10659492699999999	0.0067718176000000005	0.0026575929999999998	0.0527996184	-0.0097893069	0.0308412537	0.0704745975	0.1140296098	-0.057379639800000014	-0.0601951067	-0.0669262031	0.0467422704	-0.0465061032	-0.07995374150000001	0.0333442007	-0.15135404630000002	-0.054543687800000004	0.0333901314	0.0608596347	0.0051286102000000005	-0.0451045699	0.0744999794	0.0061683579	0.1403205837	-0.0185395828	0.032665106	0.0329363954	-0.0697287613	0.0402053644	0.030745474100000007	0.0462479383	0.040290897400000004	-0.0687561845	-0.1308583593	0.07667417929999999	0.17699774350000005	-0.08957902849999999	0.0208953572	0.0183448933	0.1229222404	-0.14344195369999999	0.0169997458	0.0776054789	-0.05795887	0.0144290525	0.0628067464	0.0257030027	-0.0852091592	0.1119670873	0.1529490114	-0.0337086793	-0.0489596868	-0.049855312	0.013034667	-0.0899871248	0.0126324555	-0.0031474349	0.0922950388	-0.0610656003	0.10779230449999999	0.1076709289	0.1074687374	0.1071858817	0.0	0.0	0.0120195	0.00014446838024999994	0.0	0.041960500000000005	0.010165800000000004	0.00010334348964000006	0.0017606835602500003	0.0310426	0.0310066823	0.0009614143472531332	0.0009636430147599999	-0.000221984	-2.848100000000004e-05	8.111673610000022e-10	4.927689625600001e-08	-0.0	0.000436663	0.0	1.90674575569e-07	0.0	0.000182895	3.3450581025e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
803.7551546346971	-5.4076956343121765	29.24317207335897	646022.3486018458	1183.1462613654032	-16.548899621755936	1399835.0757829312	273.86607869095377	802.1835543547912	-1.3770452241921018	643498.4548772863	1.8962535494702768	883.0825470606212	796.6078235834838	1.285259	21.974749	0.0967021192	0.06350030000000001	0.0608651292	-0.1118017351	0.0863608183	-0.0557033179	0.004473753400000001	-0.0725029724	-0.0313841979	0.122295739	-0.0605101886	0.0328360846	-0.18714122309999998	-0.0410789998	-0.0342704665	-0.1542673483	0.0055838848	-0.0209849978	-0.0663305911	-0.0091361402	-0.11914387050000001	-0.08805525380000001	0.0775221591	0.016961179399999998	-0.0248286664	-0.026813104700000003	-0.0643222092	-0.039411911200000004	0.0171468093	-0.0445417284	-0.0043482034	0.0911388481	0.0419181752	0.0372844859	-0.0479591785	-0.0248937745	0.1632460896	-0.1173845688	-0.0645281591	-0.0812446703	-0.014791710500000001	0.1819263687	-0.08734169970000001	-0.0442729133	0.0228784992	0.0121850643	-0.0412363662	0.0116220888	0.0495075566	-0.1524549626	0.005738819300000001	0.1110974309	-0.042840578	-0.0599364513	0.1079015588	0.1354912366	0.0067979816	0.0732623884	0.11786071	0.07088111059999999	-0.049024812800000005	-0.006797591899999999	-0.0984111083	0.0910935118	0.0312578556	-0.1182394544	0.08669061310000001	-0.011005800100000001	-0.0047208816	0.0937397302	0.0258921254	-0.1405860976	-0.017114038	-0.1635921084	0.100481686	0.1077203727	0.10738340560000001	0.1068225743	0.10603904800000001	0.0	1.42342e-05	1.42342e-05	2.0261244964e-10	2.0261244964e-10	0.0180086	-0.0239519	0.0005736935136100002	0.00032430967395999995	0.0909037	0.05986109999999999	0.0035833512932099978	0.008263482673689999	-1.63399e-05	0.00020564410000000006	4.2289495864810016e-08	2.6699233201e-10	-5.18536e-05	-5.18536e-05	2.6887958329599995e-09	2.6887958329599995e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
803.4878225071492	-0.2673321275478884	0.07146646641928046	645592.68091728	1183.3433365522505	0.1970751868473144	1400301.452162613	0.03883862927090388	801.5090138872188	-0.6745404675724558	642416.6993424619	0.4550048423928673	881.9468971425308	784.6187161549926	1.013292	17.324785000000002	0.0829436592	0.0461189	0.1006813096	-0.0718908897	-0.0143332828	0.0177901641	0.1153911631	-0.0358363029	-0.0097222722	0.10513815119999999	0.0405154229	0.030614772599999996	-0.0987309306	-0.0551177092	0.0400443752	0.0177206697	0.020554401200000003	-0.12082612720000001	-0.06621647809999999	0.0102945874	-0.028738972	-0.0791882942	0.0510011909	0.056182429000000006	-0.003575100300000001	-0.0665513813	-0.0438923866	-0.0753448871	0.0176823601	-0.0052057501	-0.0391574193	0.09195810630000001	-0.0530812775	-0.048575724	0.0186745179	-0.048532763300000004	0.0312053798	0.005001674199999999	0.061763879800000004	0.10743541359999999	-0.1355264274	-0.074312897	0.0297591158	0.0010570776	0.0576475634	0.008193040799999999	0.2028289558	0.0721986908	0.022586715099999998	-0.09076397970000001	0.0017318433	-0.0014686233	-0.022948981099999998	-0.1009818361	0.0094802218	0.0867526649	-0.014427071100000001	0.0849437352	0.0440571171	0.0920995585	-0.0406649848	-0.0933244515	-0.05482096400000002	-0.0552520629	0.0305483004	-0.05699535150000001	0.0242478592	0.0348149325	0.06599855889999999	0.0704745041	0.0222186748	-0.069565333	0.0244723856	-0.052975401500000005	0.0090949801	0.107612505	0.10695260029999999	0.105855755	0.1043264501	0.0	-0.00874067	-0.0087549042	7.664834755117765e-05	7.639931204890001e-05	0.0481569	0.030148300000000006	0.00090891999289	0.0023190870176100003	0.0593256	-0.03157809999999999	0.0009971763996099994	0.00351952681536	9.31558e-05	0.0001094957	1.198930831849e-08	8.67800307364e-09	-0.000191605	-0.0001397514	3.6712476025e-08	1.953045380196e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
804.6390022584509	1.1511797513016973	1.3252148198070377	647443.9239554753	1184.0788742620252	0.7355377097746896	1402042.780473625	0.5410157225005955	800.8739370425067	-0.6350768447121027	641399.063033965	0.40332259868948017	881.5879121185118	789.9781208270042	0.957678	16.373922	0.06781216999999999	0.0340953	0.0483984737	-0.009738263399999999	-0.09253138820000001	0.049784370999999994	0.10358544410000001	-0.0240569551	-0.08016635849999999	0.0655783637	0.10510776390000001	-0.0097324832	0.0631519954	-0.0181720626	0.0388448806	0.0191530023	0.09914059439999999	0.0140041848	-0.0617683682	0.0367653257	-0.027425751600000003	0.0445366803	0.011435066899999999	0.1694449144	0.045124632000000005	0.0443077114	-0.0764696919	-0.0166857452	-0.0553146024	0.0296776139	-0.1695413678	-0.0232676471	0.0525135234	0.0054732504	0.0338636152	-0.072693616	0.0772967173	-0.0047464415	-0.0793062133	0.130663989	-0.0019643887	-0.2029059232	0.0279072871	-0.0048742511	-0.018400590300000002	-0.11314632289999994	-0.152461241	0.0828001154	-0.010588199599999999	0.0011967982	0.0548111016	-0.0787315294	0.0568895496	-0.0390393854	-0.0386615239	0.0760791962	0.0130092118	0.067176611	0.0935447517	-0.0085213601	0.0375100768	-0.0495105437	0.0549768574	-0.1854151544	-0.0050864066	0.05667291190000001	-0.0007315646000000001	-0.109740756	-0.0284437225	-0.16722443050000002	-0.0125031316	0.0765244425	0.0677260386	-0.0528195575	-0.0046012692999999995	0.1074687374	0.1063790877	0.1045711815	0.10205722539999999	0.0	-0.0204127	-0.011672030000000002	0.00013623628432090005	0.00041667832129000016	0.0608539	0.012696999999999993	0.00016121380899999983	0.00370319714521	0.07775800000000001	0.01843240000000001	0.00033975336976000027	0.006046306564000001	-0.000261072	-0.0003542278	1.2547733429284002e-07	6.8158589184e-08	-0.00033759199999999995	-0.00014598699999999996	1.1396835846399994e-07	2.1312204168999992e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
803.7645800814585	-0.8744221769924252	0.7646141436161722	646037.5001935232	1179.0583489346873	-5.020525327337964	1390178.5901925908	25.20567456244197	800.1543139594145	-0.7196230830921877	640246.9261478613	0.5178573817191057	880.3539077201567	785.4936737855522	1.0037200000000002	17.161125	0.05357007700000002	0.032538	0.0461070857	0.06899503530000001	-0.0654484305	-0.06629016019999999	0.0286177562	0.0437651647	-0.1184516643	-0.0339684378	0.0339543519	-0.0033235715999999998	0.0707457052	-0.047852394900000005	0.1479348287	-0.0316699959	-0.0204101747	0.1255995107	0.0165327611	-0.0096433297	-0.0173590127	-0.0185003166	-0.0565007769	-0.011255541899999999	-0.0027418083	-0.07178823179999999	-0.0233914109	0.0302806409	0.0304202076	0.0429553717	-0.0875557018	-0.0117782549	-0.0664527001	0.021927634100000003	-0.058588695999999996	-0.0665171745	0.072529126	0.0358093061	-0.1537007335	0.0020646013	-0.1282024866	0.1171341591	-0.0035885211	0.1090866733	0.047716545199999995	0.031832011	-0.06924411309999999	0.1478180056	0.0407103349	0.0034716303000000004	-0.000283139	-0.13113899980000002	0.09423872380000001	0.027474948199999998	0.07019355299999999	-0.0133707925	0.0295005827	0.033463263199999996	0.0142513938	-0.044007894699999994	0.025669688599999997	-0.0029837148	-0.1437919852	-0.006113791600000001	0.0593617588	-0.0729696544	0.0459898125	-0.0775626038	0.0274988371	-0.044924274199999996	0.0681678229	-0.0614465115	-0.0685249114	-0.0432821019	-0.042453995599999995	0.1072891178	0.1056636333	0.10297271	0.0992434813	0.0	-0.0234603	-0.003047599999999994	9.287865759999964e-06	0.0005503856760899999	0.0323592	-0.0284947	0.0008119479280899999	0.0010471178246400001	0.07875599999999999	0.000997999999999985	9.960039999999701e-07	0.006202507535999999	-9.95846e-06	0.00025111354	6.305800997133159e-08	9.91709255716e-11	-0.00016811	0.00016948199999999996	2.82609721e-08	2.8724148323999983e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
803.6018115452597	-0.16276853619876874	0.02649359637628989	645775.8715188231	1177.5818574417399	-1.4764914929473891	1386699.0309759385	2.1800271287460093	799.0463923487376	-1.1079216106768401	638475.1371255327	1.2274902954047633	878.5047375437997	788.003269340396	0.907917	15.523136	0.06776579200000002	0.0411947	0.0416764003	0.1236480991	-0.0268073274	0.0506844026	-0.0292018225	0.1267466094	-0.0726136984	0.028236784100000002	-0.0143278126	0.0297231429	0.1733762263	-0.0690282261	0.019482244	0.015024243400000001	-0.11274657869999999	0.0253459208	0.025723327799999997	-0.0155163203	-0.0482911737	0.033718475899999996	-0.0385578865	-0.050849373899999994	-0.0488481555	0.0106446774	-0.013027263999999998	0.1120127025	-0.0717433691	-0.0016283042000000002	0.1675948636	0.0313505705	0.026878137599999997	0.08899300550000001	-0.017416099999999997	-0.09056199390000001	0.018725551899999998	-0.1223444541	0.10509126220000001	-0.0277773744	0.0143875305	0.0385353082	0.0397299605	0.09250903419999999	-0.015000785	0.09158216529999999	0.0213309143	-0.2179696752	0.0424706885	0.108469266	-0.11344107619999999	-0.0445552284	0.1067761077	0.0064666058	0.0126646496	-0.11308651439999999	0.0329487823	-0.001729815	-0.0233356363	-0.0721581914	-0.0726411463	-7.6442e-06	-0.0506453147	-0.0109313759	0.0250843103	-0.011872953799999999	0.0972483073	0.1193803369	-0.0204948434	-0.0436947491	-0.12711579380000002	-0.0792360553	-0.09209014730000001	-0.024321653199999998	0.0362015886	0.1070737061	0.1048071914	0.1010651385	0.09590023019999999	0.0	-0.0226472	0.0008130999999999973	6.611316099999953e-07	0.00051289566784	0.0673082	0.034949	0.001221432601	0.00453039378724	0.05786040000000001	-0.020895599999999983	0.00043662609935999936	0.0033478258881600013	-7.91613e-05	-6.920284000000001e-05	4.789033064065601e-09	6.266511417690001e-09	-0.000321069	-0.00015295899999999998	1.03085302761e-07	2.3396455681000003e-08	3.30872e-24	3.30872e-24	1.0947628038399994e-47	1.0947628038399994e-47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
805.5169697262953	1.9151581810356217	3.6678308583876715	648857.5885170335	1181.7995809219485	4.217723480208633	1396650.249467293	17.789191355503227	800.1837156651883	1.137323316450647	640293.9788157468	1.2935043261422994	878.3965652734041	798.8901033347845	1.136251	19.427074	0.07267828499999998	0.0365094	-0.0087237801	0.0838794234	0.11688840560000001	0.027900885	0.0733429214	0.1389881422	0.059516213	0.0928661858	-0.0247385838	-0.046750826399999994	0.22757776370000002	0.0652735235	-0.0069051945	-0.08096674549999999	0.0204557846	-0.0163236322	0.1229315623	0.0115662202	-0.0291922195	-0.2573620626	0.0249831793	-0.0032631454	-0.09570252900000001	0.0499623351	0.1270371207	0.0577396788	0.1514691885	0.0007570108	0.0567265086	-0.0571596634	-0.12884191550000001	-0.0871219939	-0.0899169831	0.007552994	-0.040831576099999996	0.025634595099999997	0.0704087182	-0.0050975245	0.0533897449	-0.0160605776	-0.034478999100000005	0.08533209929999999	0.109947376	-0.0192774033	-0.0043741204	0.09063992859999999	-0.2197606463	0.21963492829999998	0.010052857	0.014763060900000001	0.048593569100000004	-0.0606760997	-0.006842586800000001	-0.1095587861	0.044026087	-0.0719977592	0.1380862691	-0.1895719316	-0.0077656351	0.0127160954	-0.0168853364	0.1085967523	0.1579311381	0.1003592045	0.0009662755	0.0427482004	0.0847823016	0.0024664563000000002	0.1284676457	-0.1104705098	0.011253941000000002	0.117590011	-0.1489800257	0.1068225743	0.103810905	0.0988541933	0.09204531	0.0	-0.0293389	-0.006691700000000003	4.4778848890000025e-05	0.0008607710532100001	0.0823049	0.014996700000000003	0.0002249010108900001	0.00677409656401	0.0701767	0.012316299999999987	0.00015169124568999973	0.004924769222889999	-0.000531564	-0.0004524027	2.0466820296729e-07	2.82560286096e-07	-0.0	0.000321069	0.0	1.03085302761e-07	0.0	-3.30872e-24	1.0947628038399994e-47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
805.6388152876781	0.12184556138277006	0.014846340828682381	649053.9006981335	1184.9550551680873	3.1554742461387377	1404118.4827684048	9.957017718044836	800.3614979794331	0.17778231424483693	640578.5274478821	0.031606551258249946	879.3222981248174	797.7657527042925	1.114388	19.053282	0.14021355	0.0883175	-0.0046480341	0.0746155306	0.048557898499999995	-0.0820351318	0.11615787550000001	0.076543866	0.0691734526	0.0347987323	0.1481577448	0.0197780831	0.1667976511	0.0041044701	0.10527220289999999	0.011877835900000001	-0.0315569215	-0.0829338305	-0.04594633309999999	0.054684954800000005	0.0346156413	0.09979101300000001	-0.0951746802	-0.21673197019999998	0.021700574700000003	-0.0537199396	0.0435815312	-0.0038789258000000004	0.0466536172	-0.0072701432999999985	0.0183641286	0.031444525699999996	-0.025666152299999998	0.1313488518	0.020217703899999998	0.0020529861999999998	0.05127579610000002	0.035397404	-0.07639570059999999	0.0033617294	-0.047756077800000005	-0.082530254	0.1318757033	-0.055522727	-0.1021522642	0.062240787400000004	0.07085608040000001	-0.050407431100000004	0.0448524513	0.1301752843	-0.0254301731	-0.1506671605	-0.0282439107	-0.1076538094	0.0215832192	-0.0729183279	-0.0372925288	-0.021012679500000003	-0.1515453326	0.016274533600000002	-0.0311983604	-0.0073258833	-0.0374457017	0.036170582400000005	-0.0690914379	-0.0320627787	-0.036640316299999996	-0.0017126315	0.0632212513	-0.0693644071	0.0033678907	0.0102941089	-0.1061406035	0.0104048871	-0.1522702379	0.10653580609999999	0.1026761034	0.096346511	0.0876992882	0.0	-0.0183647	0.0109742	0.00012043306564	0.0003372622060900001	0.0233128	-0.05899210000000001	0.0034800678624100005	0.0005434866438399999	0.0713455	0.0011688000000000115	1.3660934400000272e-06	0.0050901803702500005	0.0007235679999999997	0.0012551319999999995	1.5753563374239994e-06	5.235506506239996e-07	-0.000126437	-0.000126437	1.5986314969e-08	1.5986314969e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
