global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	cosine00	cosine01	cosine02	cosine03	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14
728.3640262389673	n/a	530514.1547190391	n/a	1218.696110741062	n/a	1485220.2103353909	n/a	718.717318000032	n/a	516554.5831931592	n/a	819.4637193530177	622.6449567682196	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	n/a	0.0	n/a	0.0	n/a	n/a	0.0	0.0	n/a	n/a	0.0	0.0	n/a	n/a	0.0	-0.0	n/a	n/a	0.0	0.0	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
720.8145452485851	-7.549480990382221	519573.6086419245	56.994663224142535	1174.7510001006167	-43.94511064044536	1380039.912237399	1931.1727492009845	718.2825713686949	-0.4347466313371342	515929.8523320243	0.18900463345898608	811.3897662561387	608.3784494423221	1.78767	29.985125	0.171204175	0.07801910000000001	-0.15214630810000002	-0.0225147026	-0.1046430626	0.09690728369999999	-0.1040545313	-0.22784360760000005	-0.2133906068	0.05636586110000001	-0.0731871904	-0.0627115196	-0.0827962512	0.146715094	-0.1211867756	0.12211483529999999	-0.06748433179999999	0.1234167333	-0.046714311900000006	0.0908345828	-0.1393868033	0.1600914024	-0.038922554	0.0868576209	-0.0579476304	0.0095536357	-0.06650817690000001	0.0669340809	0.0532883058	-0.0156447925	0.120514576	-0.0650770003	0.1046142766	-0.0422301181	0.0059557092	-0.09059850380000001	0.0114943172	-0.057412371799999994	0.2197645612	-0.10734212060000001	0.0223142002	-0.105223915	0.0074769549	-0.0314317293	-0.10855076289999999	-0.15519571869999998	-0.10111838140000001	0.1357263299	-0.1764881402	0.0670873629	-0.1996350841	0.0026390644	-0.024165465	0.0947003169	-0.046892989	0.2097830032	-0.058887599699999994	0.04360788349999999	-0.2183595636	0.0600212009	-0.089457089	0.0317434276	-0.1769947159	0.0497545154	0.1078282764	0.10781478650000001	0.10779230449999999	0.1077608324	0.0	0.00704088	0.00704088	4.95739911744e-05	4.95739911744e-05	-0.0330664	-0.0330664	0.0010933868089599997	0.0010933868089599997	0.0617995	0.0617995	0.00381917820025	0.00381917820025	0.000777991	0.000777991	6.05269996081e-07	6.05269996081e-07	0.0005377369999999999	0.0005377369999999999	2.8916108116899994e-07	2.8916108116899994e-07	7.02199e-05	7.02199e-05	4.93083435601e-09	4.93083435601e-09	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
718.2844455746011	-2.5300996739839547	515932.5447544122	6.401404360293713	1164.4529756350053	-10.298024465611434	1355950.732465218	106.04930789433165	718.5785370250693	0.2959656563743919	516355.1138730889	0.08759566975312467	810.9850467788676	602.0114686705633	1.222822	20.510759	0.12692480909999998	0.08076130000000001	-0.12223036890000001	0.1097107263	-0.10332650869999999	-0.007659919	-0.052622359900000006	-0.1005389332	-0.0281195862	-0.10408413529999999	-0.1609007468	-0.0205203458	-0.056542474	0.0720225984	-0.030283190800000002	0.0578090994	-0.176118661	-0.047481729400000006	-0.1641736502	0.0562918919	0.0252941697	0.08109773940000001	-0.0317238936	-0.0277142607	0.0334103471	-0.0820019877	0.0348689973	-0.0083829781	0.17532613789999998	-0.12609803349999998	-0.0812430157	-0.067709378	-0.08555482310000001	-0.1145910866	-0.0780200875	-0.0411719202	0.1430372433	-0.07630976910000001	0.10204228060000001	-0.0340919685	-0.0068569352	-0.0927388016	-0.0430678084	-0.0299331889	-0.0933167582	0.015011470700000001	0.0829358628	0.09393894439999999	-0.12442221	0.0773805042	-0.11162128029999999	0.086044026	-0.141965606	0.0458032284	0.11739479679999999	0.1304354467	0.08589906	0.0683966679	-0.08856862970000001	0.0250413256	-0.05895064110000001	0.0707563747	0.044512434299999994	0.1203528025	0.10779230449999999	0.1076709289	0.1074687374	0.1071858817	0.0	3.03659e-05	-0.0070105141	9.2208788281e-10	4.914730794629882e-05	0.0419639	0.0750303	0.00562954591809	0.0017609689032100002	0.045505800000000006	-0.016293699999999994	0.0002654846596899998	0.002070777833640001	0.00118671	0.0004087189999999999	1.670512209609999e-07	1.4082806240999996e-06	0.00044487	-9.286699999999996e-05	8.62427968899999e-09	1.979093169e-07	-1.0587899999999999e-22	-7.02199e-05	4.93083435601e-09	1.1210362640999998e-44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
716.837449818361	-1.446995756240085	513855.92946209136	2.093796718576816	1154.090184835912	-10.362790799093318	1331924.1547345894	107.38743314577313	717.9202606780417	-0.658276347027595	515409.5006920273	0.4333277490559945	810.8425003061693	585.9560473469038	1.285658	21.564726	0.1156758809	0.0645875	-0.1412098168	0.1089730416	0.0790471495	0.0014048514	-0.028126636899999998	-0.0028871333	0.034888865299999995	-0.0869488223	0.0222030283	-0.1116641807	-0.0655793962	0.0199055546	-0.030418916299999998	-0.11218220359999999	-0.0699915254	-0.0091998996	-0.034015181400000004	-0.0660876636	0.011629699399999999	0.0042284485	0.043496802300000005	0.0409967261	-0.075768327	-0.028391363399999998	-0.1331444564	0.0137486946	-0.024053525299999996	-0.0554853591	-0.0850078024	0.0594758432	-0.07093076	-0.12184784359999999	0.0524707353	0.1137477299	-0.0854136199	0.046384793	-0.004800412	0.0339926199	-0.05974547440000001	-0.11484657	-0.0332674471	-0.059835842800000004	0.050229151799999996	0.0706322551	0.0192275751	0.18176570649999998	-0.0577643068	0.0897361908	-0.1195401037	0.09979843449999999	-0.037855839	0.06364992950000001	-0.0044605631	0.0816638485	0.0853062099	-0.0025807911	-0.10899629470000001	0.128942597	-0.0801410734	-0.0014018659	0.0643180391	-0.0729646925	0.1077203727	0.10738340560000001	0.1068225743	0.10603904800000001	0.0	-0.00363663	-0.0036669959000000005	1.32250777569e-05	1.344685893061681e-05	0.0466538	0.004689900000000004	2.199516201000004e-05	0.00217657705444	-0.0104302	-0.055936000000000013	0.003128836096000001	0.00010878907204	0.00027069400000000003	-0.000916016	8.390853122559996e-07	7.327524163600002e-08	0.0004958990000000001	5.102900000000007e-05	2.603958841000007e-09	2.459158182010001e-07	6.06147e-05	6.06147e-05	3.6741418560900003e-09	3.6741418560900003e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
717.9140409840062	1.0765911656451408	515400.5702419853	1.1590485379451632	1152.5398739985687	-1.5503108373432042	1328348.161156637	2.403463692383787	718.1796808959875	0.2594202179458307	515782.0540518625	0.0672988494790623	807.2350931186229	596.2824508265278	1.23633	20.737337	0.145517905	0.07991430000000001	-0.179836565	-0.039655741200000004	0.0416664095	0.0553727621	-0.0626318342	0.083668985	-0.1652445201	-0.0717254229	0.0156266758	-0.1607019992	0.0417930367	0.0178775152	0.0763190075	0.027891776400000002	-0.1165177124	0.0187861148	0.0361913205	0.1175993483	-0.0935657999	0.14798936699999998	0.0066398643	-0.0181460254	-0.0259522967	0.0824206957	-0.08558404039999999	0.038209596400000004	-0.013870369399999999	0.029984528700000002	0.0192430827	0.0808304247	-0.0579077928	0.1584187909	0.0027537652	0.1647990023	-0.010283685400000001	-0.0148643695	-0.0349474983	-0.0062246457	0.0223749375	0.11082249539999996	0.0391660785	0.13246872380000002	0.13457101359999998	-0.1352540573	0.0118696882	0.0468338628	-0.0221610827	0.0991872963	-0.0356416218	-0.023981263399999998	-0.07866905019999999	0.1224115844	0.0695035861	-0.0176946165	-0.012856238700000001	-0.0061043614	-0.048947801500000006	0.0134876704	0.039008406	-0.039971949799999996	-0.08994307230000001	0.0302485772	0.107612505	0.10695260029999999	0.105855755	0.1043264501	0.0	-0.0233435	-0.01970687	0.00054491899225	0.0003883607251969001	-0.0159247	-0.06257850000000001	0.0039160686622500005	0.00025359607008999997	-0.0364779	-0.026047700000000003	0.0006784826752899999	0.00133063718841	0.00075261	0.000481916	2.32243031056e-07	5.664218121e-07	0.0004958990000000001	0.0	0.0	2.459158182010001e-07	-0.000201166	-0.0002617807	6.852913489249e-08	4.0467759556e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
719.3909989257518	1.4769579417455816	517523.409335391	2.1814047616853447	1153.3167151163311	0.7768411177623875	1330139.4453667244	0.6034821222463156	718.3613601902524	0.18167929426488166	516043.0438143896	0.033007365964585485	808.4543681429698	612.3543592568218	1.248809	20.946651	0.2002751	0.107668	-0.0583369666	-0.0906791859	-0.0311032143	0.042710149100000004	0.0905950875	0.0384995932	-0.0474122658	0.08117617	0.06650509	-0.1054269382	0.014832926299999999	0.028672104900000002	0.041915254900000004	0.05441230230000002	0.014438288600000003	0.0350582657	0.0289392818	0.0458626142	0.0300383769	-0.054892553200000006	-0.0698934066	0.050567330300000005	-0.1298399786	-0.0640246047	0.0040790617	0.0380497867	0.1728919215	-0.0909780442	-0.0459980263	-0.06148471570000001	0.0518918546	0.0777429622	-0.1294107417	0.16667954529999998	-0.0875367718	0.0451079535	0.0386155922	0.016459068400000002	-0.1218552309	-0.0094706389	0.0215106733	-0.0376205992	0.09686228029999999	-0.036778899500000004	-0.0940879483	0.0163831496	0.0219476123	0.010004290400000001	-0.1077677932	0.066075017	0.0185813724	-0.0342218672	0.1643488481	0.18205184	0.0424340238	-0.0417573424	-0.13507459970000002	-0.0135183116	-0.0840551512	-0.1620254569	0.043794018	-0.0851992091	0.1074687374	0.1063790877	0.1045711815	0.10205722539999999	0.0	-0.021096700000000003	0.0022467999999999967	0.0004450707508900001	5.0481102399999855e-06	0.0659065	0.0818312	0.006696345293440001	0.0043436667422500005	-0.0933262	-0.056848300000000004	0.0032317292128899995	0.008709779606440001	-0.00028272	-0.00103533	1.0719082089000002e-06	7.993059839999998e-08	0.000563426	6.752699999999995e-05	4.559895728999993e-09	3.17448857476e-07	-0.000117047	8.411899999999999e-05	7.076006160999999e-09	1.3700000209000003e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
720.8091116590055	1.418112733253679	519565.7754506446	2.0110437242162202	1151.830283402422	-1.4864317139090415	1326713.001762904	2.2094792401145718	719.5023244964477	1.1409643061953147	517683.5949557915	1.301799548011756	808.0171238932759	617.697629147914	0.978829	16.418198	0.15807786	0.08830789999999998	0.0002750958	-0.036970253599999996	-0.030981421600000007	0.0847858276	0.0245023987	0.0437109275	-0.065623403	0.1428827313	-0.0011488876	-0.020575763799999997	-0.0129582196	0.0089934261	-0.0768383045	0.104946019	0.0173963307	0.092428146	0.0916432734	-0.022915656099999997	-0.0062307609	-0.0077421634	0.0080045874	0.1448831724	-0.2152105795	-0.022883581400000002	0.0403267669	-0.108707093	0.0115356833	0.025648767599999997	0.061231091200000004	-0.0438752608	0.0118603182	0.09049590460000001	-0.0911644867	0.0440406535	-0.0178587082	0.0815993249	-0.0428776564	-0.132804271	-0.009545471	0.08416658630000001	-0.0040364942999999995	-0.0408987776	0.0281233277	-0.0737808407	-0.0802147004	-0.0554399596	-0.0875072309	-0.0462762367	-0.042313569800000006	-0.011124678899999999	0.068792306	0.0207892698	0.0226902352	0.0281076798	-0.0015762841	-0.0799943764	-0.1112838084	-0.0651989192	-0.12657785859999998	-0.055639842	-0.0225311197	-0.08723204949999999	0.1072891178	0.1056636333	0.10297271	0.0992434813	0.0	-0.00546649	0.015630210000000002	2.98825129201e-05	0.0002443034646441001	0.0200128	-0.04589370000000001	0.0021062316996900013	0.00040051216383999984	-0.07647579999999997	0.016850400000000033	0.000283935980160001	0.005848547985639995	0.0011564600000000006	0.0014391800000000006	2.0712390724000016e-06	1.3373997316000016e-06	0.0004958990000000001	-6.752699999999995e-05	4.559895728999993e-09	2.459158182010001e-07	-0.000204411	-8.736399999999999e-05	7.632468495999997e-09	4.1783856921e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
722.0854473700663	1.276335711060824	521407.39330362884	1.629032847329139	1154.2720628956895	2.4417794932674046	1332343.9951814706	5.962287093741222	720.5614872746921	1.0591627782443993	519208.85694351635	1.1218257908183946	809.3295149174209	625.8255839351988	1.048645	17.589233	0.18157877600000005	0.0898135	0.0542513508	-0.1029851173	-0.057542406	0.0703538012	0.004632075	0.0383188861	-0.015148784399999999	0.0607630864	0.0007097537	0.0294780444	0.0721485994	0.0417851339	-0.0306555983	-0.0115214168	0.1023066447	0.0781648895	0.0636125072	0.058676153099999996	0.0710591944	-0.0071807819	-0.0347630331	-0.0724938819	-0.03645112	0.0023456362	-0.0226994246	-0.0017443939000000002	-0.060103693300000004	0.029066806400000002	-0.0748694715	0.10590925550000001	-0.0621586738	0.0769805632	0.09717534130000001	0.0601068247	0.020846339499999998	0.05668618860000001	0.0793392884	-0.0497090066	0.05816266940000001	0.0450824122	0.047835399800000004	-0.0229951836	0.0020501591	-0.0402096332	-0.0489962479	-0.0237569639	0.0741238689	-0.0851660291	-0.024718765	0.0295689102	0.09605689349999999	-0.0026965138	0.1139539074	0.0662432054	-0.022661635099999997	-0.107147831	-0.0366589245	0.0643654984	-0.0043962483	0.09748956119999999	-0.0680542629	-0.025577335	0.1070737061	0.1048071914	0.1010651385	0.09590023019999999	0.0	-0.021134	-0.01566751	0.000446645956	0.0002454708696001	0.0921032	0.0720904	0.00519702577216	0.00848299945024	-0.0939175	-0.017441700000000032	0.0003042128988900011	0.00882049680625	0.00033800199999999995	-0.0008184580000000006	6.698734977640011e-07	1.1424535200399995e-07	-8.81532e-06	-0.0005047143200000001	2.5473654481306245e-07	7.77098667024e-11	0.0	0.000204411	4.1783856921e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
720.6363323250052	-1.4491150450610348	519316.7234668354	2.099934413822245	1159.060512965112	4.7884500694224235	1343421.2727149485	22.92925406735162	719.9673291789568	-0.5941580957353381	518352.9550850804	0.35302384272784315	809.9679519635936	629.5336726587151	1.057976	17.745747	0.10559414799999996	0.0508159	0.0984445318	-0.05111440849999999	-0.08579905609999999	-0.0020587456	-0.0824703479	-0.0691050413	0.024710509900000004	0.0933676866	-0.0859052067	0.10293134470000001	-0.05404822559999999	0.0348642522	-0.0756096528	0.07665184679999999	0.0288745732	0.083804068	0.049800574400000006	0.0154770649	0.013219357900000001	0.05915847530000001	0.0099343031	0.036550340099999995	-0.0212145514	0.0439901697	-0.10839015710000001	-0.008929994	-0.0221956175	-0.0881334181	-0.020595328700000002	0.0683360312	-0.0743901847	0.1037599663	-0.1132570573	0.0382772849	0.0405260421	-0.1030375541	-0.1068136727	0.004049017	-0.0559148666	0.061848415199999986	-0.007422835999999999	-0.0695471086	-0.11165315699999999	-0.0111435497	-0.060350512099999996	-0.0793431068	-0.06493794580000001	-0.0537416553	0.0182910674	-0.0360227599	0.0608632895	0.1187999536	-0.045154901500000004	-0.0603668804	0.0036774325	0.035413725800000004	0.0189674674	0.0638271069	-0.0890297695	0.0706752811	-0.0121866049	-0.041120855299999995	0.1068225743	0.103810905	0.0988541933	0.09204531	0.0	-0.000984013	0.020149987	9.682815841689998e-07	0.000406021976100169	0.0642378	-0.0278654	0.0007764805171599999	0.004126494948839999	-0.05843490000000001	0.0354826	0.0012590149027599995	0.003414637538010001	0.0004854630000000001	0.0001474610000000001	2.1744746521000032e-08	2.3567432436900006e-07	8.23789e-05	9.119421999999998e-05	8.316385761408398e-09	6.78628316521e-09	0.000203268	0.000203268	4.1317879824e-08	4.1317879824e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
718.6867956423787	-1.9495366826265583	516510.7102307102	3.8006932769065647	1154.485525633165	-4.574987331946887	1332836.8288964853	20.93050908747449	719.6048220074516	-0.36250717150517175	517831.09985637607	0.13141144939267999	808.8810799916588	619.9965736772598	0.929251	15.586610999999998	0.09062827300000001	0.0483235	0.0555498321	0.0348660114	-0.0757978142	0.0172453973	-0.0686153034	-0.016224122	0.0602806762	-0.0418733186	-0.029289541800000006	0.0489300263	-0.036626043	0.069193589	0.0718440902	0.0020517162	-0.07509104700000001	0.049739619299999996	-0.0174480409	0.028898385699999998	0.0711838584	-0.0034610522999999997	-0.0046809559	0.0182210437	0.1797321675	0.011355383200000001	-0.1652462957	0.0252254843	0.0087759402	-0.009885759499999999	-0.047175641	0.0948527927	0.0061092243000000004	-0.013020497800000001	0.0892352651	-0.03621556	-0.0222204096	0.0368388707	-0.077736577	0.054461916	0.0432852411	-0.0317640434	0.09668613359999999	-0.0291766186	-0.0725370793	0.0077608177	0.0055651126	-0.0702354977	-0.0367096732	0.0718484613	0.080797547	-0.0121651281	-0.0158797785	0.1023930138	0.0504102674	-0.0362717873	-0.0129813042	0.08198751559999999	0.105470787	0.1498850726	0.0475049161	0.054108572599999995	0.0389894957	0.0244019962	0.10653580609999999	0.1026761034	0.096346511	0.0876992882	0.0	0.0132429	0.014226913	0.00017537440040999998	0.00020240505350956905	0.0705515	0.0063137000000000046	3.9862807690000066e-05	0.0049775141522500005	-0.0205271	0.037907800000000005	0.0014370013008400005	0.00042136183441	0.000620396	0.0001349329999999999	1.8206914488999973e-08	3.8489119681599993e-07	2.22577e-05	-6.0121199999999996e-05	3.614558689440001e-09	4.9540520929e-10	0.000651811	0.00044854300000000003	2.01190822849e-07	4.24857579721e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
