trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,trans_x_der,trans_y_der,trans_z_der,rot_x_der,rot_y_der,rot_z_der,trans_x_2,trans_y_2,trans_z_2,rot_x_2,rot_y_2,rot_z_2,trans_x_der_2,trans_y_der_2,trans_z_der_2,rot_x_der_2,rot_y_der_2,rot_z_der_2,a_comp_cor_00,a_comp_cor_01,a_comp_cor_02,a_comp_cor_03,a_comp_cor_04,initdum_1.0
0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9.16364e-06,1.55837e-06,0.104229,0.000212383,-0.000234748,5.83595e-05,9.16364e-06,1.55837e-06,0.104229,0.000212383,-0.000234748,5.83595e-05,8.3972298e-11,2.4285171e-12,0.010863684,4.5106539e-08,5.5106624e-08,3.4058312e-09,8.3972298e-11,2.4285171e-12,0.010863684,4.5106539e-08,5.5106624e-08,3.4058312e-09,-0.0067925755,0.021556176,-0.20841555,-0.21971134,-0.010906778,0
0,0.0534842,0.1542,0,-0,0,-9.16364e-06,0.053482642,0.049971,-0.000212383,0.000234748,-5.83595e-05,0,0.0028605596,0.02377764,0,0,0,8.3972298e-11,0.002860393,0.0024971008,4.5106539e-08,5.5106624e-08,3.4058312e-09,-0.059224208,0.040996804,-0.070646325,-0.11838554,-0.038237386,0
2.5043e-05,0.0564881,0.172085,0,-0.000304247,0,2.5043e-05,0.0030039,0.017885,0,-0.000304247,0,6.2715185e-10,0.0031909054,0.029613247,0,9.2566237e-08,0,6.2715185e-10,9.0234152e-06,0.00031987322,0,9.2566237e-08,0,-0.051999317,0.072688592,0.013755737,-0.039449696,-0.054003822,0
-0.00507821,0.103553,0.178661,-0.000466885,-0,0,-0.005103253,0.0470649,0.006576,-0.000466885,0.000304247,0,2.5788217e-05,0.010723224,0.031919753,2.179816e-07,0,0,2.6043191e-05,0.0022151048,4.3243776e-05,2.179816e-07,9.2566237e-08,0,0.0018178045,0.028116432,0.029468141,0.041615499,-0.011801649,0
0,0.0584456,0.172492,0,-0,0,0.00507821,-0.0451074,-0.006169,0.000466885,0,0,0,0.0034158882,0.02975349,0,0,0,2.5788217e-05,0.0020346775,3.8056561e-05,2.179816e-07,0,0,-0.020850316,-0.037348779,1.41723e-05,-0.0076047535,0.030406457,0
0,0.165249,0.195918,-0.0012383,-0,0,0,0.1068034,0.023426,-0.0012383,0,0,0,0.027307232,0.038383863,1.5333869e-06,0,0,0,0.011406966,0.00054877748,1.5333869e-06,0,0,-0.021612946,0.026539498,0.046533932,-0.034480959,0.061626717,0
-1.41161e-05,0.108319,0.206273,-0.000977894,0.00012722,0,-1.41161e-05,-0.05693,0.010355,0.000260406,0.00012722,0,1.9926428e-10,0.011733006,0.042548551,9.5627668e-07,1.6184928e-08,0,1.9926428e-10,0.0032410249,0.00010722603,6.7811285e-08,1.6184928e-08,0,0.010912516,-0.027747288,0.046563107,0.032267601,0.026139068,0
-4.79656e-05,0.0741594,0.250136,-0.000946513,5.96138e-05,-0.000136587,-3.38495e-05,-0.0341596,0.043863,3.1381e-05,-6.76062e-05,-0.000136587,2.3006988e-09,0.0054996166,0.062568018,8.9588686e-07,3.5538052e-09,1.8656009e-08,1.1457887e-09,0.0011668783,0.0019239628,9.8476716e-10,4.5705983e-09,1.8656009e-08,-0.0022663152,-0.024614453,-0.039202785,0.07721264,0.012313273,0
-0.0121956,0.112099,0.227017,-0.00110208,-0,-0.000367418,-0.012147634,0.0379396,-0.023119,-0.000155567,-5.96138e-05,-0.000230831,0.00014873266,0.012566186,0.051536718,1.2145803e-06,0,1.3499599e-07,0.00014756502,0.0014394132,0.00053448816,2.4201091e-08,3.5538052e-09,5.3282951e-08,0.0219694,-0.055031126,-0.038363746,0.018321303,0.022048936,0
