global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	cosine00	cosine01	cosine02	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08
727.4016880816887	n/a	529113.2158240903	n/a	1094.9956996779924	n/a	1199015.5823132962	n/a	727.6639019891612	n/a	529494.7542580917	n/a	798.3063396927336	569.8765208114369	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	n/a	0.0	n/a	0.0	n/a	n/a	0.0	0.0	n/a	n/a	0.0	0.0	n/a	0.0	n/a	-0.0	n/a	n/a	0.0	0.0	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
720.8573350934944	-6.544352988194305	519635.2975580944	42.828556034087725	1064.4201533502917	-30.57554632770075	1132990.2628582586	934.8640332373748	726.8389437710377	-0.8249582181234699	528294.8501821978	0.6805560616494507	788.5224280445088	537.0622455643033	1.616692	28.731022	0.12951424701000006	0.101433	-0.0882666208	-0.12495671480000001	-0.1119831201	-0.0067925755	0.021556176	-0.2084155503	-0.2197113423	-0.010906778	0.0101166008	-0.0882269767	0.21246332559999997	-0.1266179891	0.07938238639999999	-0.0263048479	0.1448558011	-0.1188258925	0.0615472921	-0.07122198219999999	0.0901042013	-0.0556101921	-0.0313775529	0.10739176710000001	-0.0027962418	0.0065213402000000005	-0.0764580409	0.0450222791	-0.061714423399999996	0.08915637480000001	-0.10810237269999999	0.038240906899999996	-0.193881645	0.00045387879999999995	0.2376316917	-0.042608232	0.0012550713	0.0374832363	-0.0721064649	0.075660749	-0.1302215846	-0.0150365101	0.0595503219	-0.005390684399999999	-0.021846995	-0.0401844056	-0.0380759647	0.0030856148	-0.2369757474	0.1376513342	-0.058645808499999987	0.3258995555	-0.13840664460000002	-0.15332163029999998	0.08906485970000001	-0.1048721408	0.1142493225	-0.24589654589999999	0.12099686550000001	-0.0166946813	0.10182088380000001	-0.006639374399999999	0.070460109	-0.0676443444	0.0611017542	-0.09222337720000001	0.12514381089999999	-0.052026233	0.0164267728	0.1128608806	0.1128439341	0.1128156919	0.0	9.16364e-06	9.16364e-06	8.397229804959998e-11	8.397229804959998e-11	1.5583700000000004e-06	1.5583700000000004e-06	2.4285170569000007e-12	2.4285170569000007e-12	0.104229	0.104229	0.010863684440999999	0.010863684440999999	0.000212383	0.000212383	4.5106538689e-08	4.5106538689e-08	-0.000234748	-0.000234748	5.5106623503999996e-08	5.5106623503999996e-08	5.83595e-05	5.83595e-05	3.4058312402499998e-09	3.4058312402499998e-09	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
720.3720289281157	-0.4853061653786881	518935.86006201	0.2355220741545665	1053.4102831177431	-11.009870232548563	1109673.2245782036	121.21724253755899	726.1107843415955	-0.7281594294422575	527236.871137167	0.5302161546856741	785.8674499454222	540.7108741055681	0.945055	16.795024999999995	0.12873733026999998	0.0770637	-0.054483106600000004	-0.07052302839999999	-0.1023491313	-0.0592242083	0.0409968043	-0.0706463247	-0.1183855378	-0.0382373859	0.07233192179999999	0.0087448172	0.0899595545	-0.0104330493	0.1519708791	-0.09189344220000001	0.0868267811	-0.0056350103	0.0007678599000000001	0.0535662515	-0.042357216399999995	0.0937644663	-0.041447603	-0.12963599	0.0641699748	-0.0811864119	-0.1249713562	-0.07102401280000001	-0.0462669878	0.1451639946	-0.08994636800000001	0.0374039892	-0.06803710019999999	-0.0053107458	-0.018528676	0.0166246112	0.0254766514	-0.039085400299999996	-0.0322800024	0.0632848607	0.1209111492	0.0260685157	-0.017139158600000003	-0.0864173622	0.050449530199999995	0.0067795702000000005	0.0742790269	0.0335714753	-0.0570780281	0.041740466000000004	0.0383906045	0.1353978584	-0.1412713444	-0.0773239579	0.0890633476	0.0309994186	0.0028089875	-0.193457778	-0.0522512503	-0.1635692985	-0.0795768986	0.023446000699999997	0.143131645	-0.04720026	0.0032206323	0.048483534	0.133639488	0.0086445231	-0.04977726440000002	0.1128156919	0.1126632248	0.11240926539999999	0.0	0.0	-9.16364e-06	0.0	8.397229804959998e-11	0.0534842	0.05348264163	0.0028603929557230088	0.00286055964964	0.1542	0.049970999999999995	0.002497100841	0.023777640000000003	0.0	-0.000212383	0.0	4.5106538689e-08	-0.0	0.000234748	5.5106623503999996e-08	0.0	0.0	-5.83595e-05	3.4058312402499998e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
719.1664162902118	-1.2056126379038687	517200.3343197063	1.453501832673525	1046.6880182322977	-6.722264885445384	1095555.807511055	45.18884519009204	725.9512831917044	-0.15950114989107078	527005.2655676822	0.025440616816573832	784.6818273302631	536.9204773554346	0.74658	13.267841	0.036126292999999976	0.0247698	-0.0699999858	-0.054238729900000004	-0.10346201740000001	-0.0519993174	0.0726885921	0.0137557368	-0.0394496961	-0.054003822199999996	0.0813793278	0.0322587778	0.0473372762	0.0051532884999999995	0.07953589679999999	-0.0249019345	-0.0519345004	-0.0316715111	-0.0412444842	-0.11007106470000001	-0.0088799472	0.013720058600000001	-0.1162775024	-0.023068939700000003	0.033433245800000004	-0.025787275	-0.0765973961	0.0932561524	0.0024358933	0.0129003448	0.0072554528	0.0597597026	-0.1316797236	-0.049631658499999995	-0.058915801799999994	-0.1479229648	-0.015202199	-0.024056164799999998	-0.0065965313	-0.0036580738000000002	0.0797927848	-0.0716376126	-0.0906474442	-0.0259015769	0.1322939217	-0.0090100672	0.11686028150000001	0.013020720900000001	-0.0533091236	0.027365316400000003	-0.030726241600000002	0.0047630101	-0.1541847427	-0.0975660649	-0.0176916833	-0.009138701400000001	-0.0213413067	-0.1332480085	0.06299808280000001	-0.030959325	-0.0040268909	0.0201793601	0.1209498974	0.00018588	0.0424379158	0.023251491699999998	0.0359743775	-0.0313684335	0.0400961688	0.1127253327	0.1123020954	0.1115978766	0.0	2.5043e-05	2.5043e-05	6.271518490000001e-10	6.271518490000001e-10	0.0564881	0.003003900000000004	9.023415210000025e-06	0.00319090544161	0.172085	0.017884999999999984	0.00031987322499999946	0.029613247225	0.0	0.0	0.0	0.0	-0.000304247	-0.000304247	9.2566237009e-08	9.2566237009e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
720.5948518499995	1.4284355597876583	519256.9405127227	2.040428148465881	1043.3368756843624	-3.3511425479352965	1088551.836162807	11.230156376582274	726.7486043867489	0.7973211950444465	528163.5339780872	0.6357210880671044	785.3333910443613	541.2930053641555	0.772798	13.733765	0.097300753	0.0560587	-0.0342761477	-0.024144992400000002	-0.0751543934	0.0018178045	0.0281164318	0.0294681406	0.0416154994	-0.011801649499999999	-0.0015487951000000002	-0.0785481852	0.018285973400000002	-0.0812266398	0.0086066759	0.10936991289999999	-0.015497653	0.0200994652	-0.0848035259	0.0828906706	0.1240836675	-0.021834554300000003	-0.0813356365	-0.056903927	-0.052216708	-0.1274232247	-0.080204527	-0.10617899550000001	0.062030282199999995	-0.022430959900000002	-0.0387971412	-0.0003552611	0.012848069299999999	-0.0005093071	0.0775494613	0.013670038600000002	0.0058003822	0.0028468382	-0.09380586710000001	0.0208046604	-0.1526511444	0.12265694390000001	-0.0518703637	-0.0094775321	0.0802714839	-0.010698415400000001	-0.005949655	0.0037641376	-0.1049092216	0.0403387235	-0.12881489289999998	-0.0296925104	0.014397013600000001	-0.0169281716	0.0055191343999999995	0.043610746	-0.038344249	0.0011534803	-0.0764172777	-0.0946396001	0.0332726148	-0.10538275109999999	0.05833208400000001	-0.0350932252	-0.0171381468	-0.0676880819	0.10073034039999999	0.0821270586	-0.0145255519	0.1125898391	0.1117611244	0.1103844485	0.0	-0.00507821	-0.005103253	2.57882168041e-05	2.6043191182008993e-05	0.103553	0.047064899999999986	0.0022151048120099995	0.010723223808999998	0.178661	0.006575999999999999	4.324377599999998e-05	0.031919752920999994	-0.000466885	-0.000466885	2.17981603225e-07	2.17981603225e-07	-0.0	0.000304247	9.2566237009e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
720.5910651806238	-0.0037866693756996033	519251.483218146	1.4338864960861222e-05	1041.7722712992602	-1.5646043851022569	1085289.4652480194	2.4479868818812114	727.7503195922121	1.0017152054632559	529620.5276665669	1.003433352856293	786.0668951607709	537.1771276431779	0.8653579999999998	15.378694	0.07969885999999997	0.0524039	-0.043194572	-0.0090330847	-0.059421550199999985	-0.0208503157	-0.0373487793	1.41723e-05	-0.0076047534999999986	0.0304064567	-0.0207355698	-0.1054396855	0.0113528358	-0.038590564	0.1561173647	-0.089717555	0.065528537	0.0245275673	-0.0048309254	-0.0012796619	0.1262473148	-0.07542507650000001	0.0306428667	-0.0207643479	-0.0465113447	0.1647520742	-0.1000121818	-0.053964102	0.137394461	0.1776666768	0.12483179400000001	0.0725341731	-0.0185927642	-0.2016850682	-0.0052417796000000004	0.0794178557	0.0950390938	0.0543395955	0.2359388811	-0.0399457867	-0.016510418500000002	-0.0785226122	-0.0303819429	-0.055875197599999996	-0.0342907336	0.0059184024	-0.043504346500000006	0.0071715352	-0.0423534463	0.068494606	0.036592838100000004	0.11823741980000001	-0.0038234657	0.0619949676	0.048870224500000004	0.0792970445	-0.0651417375	-0.027801446	-0.0737343637	-0.11361844089999999	-0.0340920423	-0.0374662319	-0.1466645231	-0.0707639414	-0.0009709691000000001	0.0079985696	0.029462183700000002	-0.0334384447	0.1615377227	0.11240926539999999	0.111041178	0.1087733526	0.0	0.0	0.00507821	0.0	2.57882168041e-05	0.0584456	-0.045107399999999985	0.0020346775347599992	0.00341588815936	0.172492	-0.00616899999999998	3.805656099999975e-05	0.029753490064000007	0.0	0.000466885	0.0	2.17981603225e-07	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
721.4832651867166	0.8922000060928212	520538.101944486	0.7960208508720302	1043.704705047842	1.9324337485818432	1089319.511339003	3.7343001926580746	727.7082873250583	-0.04203226715378605	529559.3514415696	0.0017667114820872415	786.0866926827414	544.6429843066683	0.9572560000000002	17.011854	0.1921444	0.130625	-0.0049089899	0.0212335189	-0.0399553831	-0.0216129458	0.026539497999999998	0.046533932400000005	-0.0344809592	0.0616267171	-0.0159635061	-0.043477864299999995	-0.0577526326	-0.004560941	0.1117466202	-0.11371242699999999	-0.2374742448	0.0656565644	-0.0069534252	0.0271339841	0.0718204947	0.0433718246	0.054663946	-0.0144794204	-0.0654002557	-0.0785322353	-0.0664419647	0.0596353816	-0.014868285600000001	0.0573992775	-0.021225695299999996	0.0829006092	0.047623854800000004	0.1043772553	0.053679485	-0.17759211309999998	0.042123716500000005	0.1433068374	-0.0325794009	-0.10163081789999999	-0.0057985428000000006	0.1199148574	0.0853769628	0.11269845869999999	-0.0064831147	-0.0044023664	0.0005205918	-0.0365106385	0.0123539915	0.0997721627	0.08941866	-0.015241617800000001	-0.1415815898	0.060244202999999996	-0.10700597769999999	-0.0040433845	-0.1916383065	-0.0096842914	-0.0349569839	0.0061004199	0.0212588302	-0.054907192699999996	-0.0374205836	0.030434602999999998	-0.0401296938	-0.1125214372	0.0693959354	0.0240042517	0.0617871983	0.11218368390000001	0.1101434092	0.1067703929	0.0	0.0	0.0	0.0	0.0	0.165249	0.10680339999999999	0.01140696625156	0.027307232001000003	0.195918	0.023426	0.0005487774760000001	0.038383862724	-0.0012383	-0.0012383	1.5333868899999997e-06	1.5333868899999997e-06	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
721.8560877684703	0.3728225817536668	521076.2114484015	0.13899667746546954	1042.7502748120057	-0.9544302358362984	1087328.1356205137	0.9109370750785322	727.829862543445	0.12157521838662433	529736.30881001	0.0147805337257554	785.9013783932545	543.0334305285745	0.8249709999999999	14.660953	0.08668041610000002	0.0578467	-0.0042374171	0.009129681800000001	-0.0258568426	0.0109125155	-0.027747288300000002	0.0465631067	0.0322676015	0.0261390678	-0.0559101636	-0.0390003158	0.0298678121	-0.1480465466	-0.051499446	0.018598656	-0.0582839899	0.0127493411	-0.0051931184	-0.0325899172	-0.11247504039999999	-0.026165113599999998	-0.0275469458	-0.09919907050000001	0.0411411378	0.030504045499999997	0.0216564258	-0.0676117734	0.0805543785	-0.0539183212	-0.1018292416	-0.0377336585	0.0137656551	0.0083356145	0.0892939024	0.0673725725	0.1493674682	0.0306718788	-0.024272532599999997	0.0609538165	-0.0891988568	-0.07094687179999999	0.181791252	0.0774963814	-0.1560842935	-0.0019842345000000003	-0.0692289004	-0.0145740734	-0.0629487492	0.0181219789	-0.1133816203	-0.0155600098	-0.013650594299999999	0.0133933751	-0.0566379556	0.0815437352	-0.0772560033	0.1015924797	0.0363236226	0.085391905	-0.0778584565	0.0959553411	0.022918715099999997	0.000459023	-0.0658470097	0.0855803785	0.050353863799999996	-0.0213212294	-0.0494275516	0.11191318480000001	0.10906925560000001	0.1043827854	0.0	-1.41161e-05	-1.41161e-05	1.9926427920999997e-10	1.9926427920999997e-10	0.108319	-0.056930000000000015	0.003241024900000001	0.011733005761	0.206273	0.010355000000000005	0.00010722602500000008	0.042548550529000015	-0.000977894	0.0002604059999999999	9.562766752360002e-07	6.781128483599995e-08	0.00012722	0.00012722	1.61849284e-08	1.61849284e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
722.9187985602318	1.0627107917615604	522611.589311769	1.1293542269264825	1047.087901502794	4.337626690788284	1096393.0734735248	18.81500530863892	727.3913612624021	-0.4385012810428179	529098.1924391704	0.1922833734761924	785.5842386880117	545.5357023866936	0.746449	13.265512	0.08983515950000001	0.056123300000000015	-0.0061469488000000004	0.0532465963	-0.0177626281	-0.0022663151999999997	-0.0246144534	-0.0392027854	0.0772126401	0.012313273000000001	-0.0286324751	-0.0031228315999999997	0.0104003732	-0.0560192444	-0.1314982176	0.0459217383	0.021389649	0.0243425155	-0.0225315109	-0.0096250117	-0.024907786499999997	-0.058161334400000014	-0.0382963428	-0.046423158099999993	-0.0476555779	0.1522596864	0.095621394	0.0978565281	-0.1374278364	-0.063550652	-0.0076283735	-0.0096692337	0.0678855604	0.0546802005	-0.10912009550000001	0.0267551531	0.0624579228	0.0718446188	0.1108203289	0.1640478575	-0.0141414286	-0.07582680309999999	-0.1395525633	-0.0395235311	0.1349541739	0.0186029571	-0.051693041399999994	-0.0147913329	-0.0033603303999999996	-0.025860530899999998	-0.11249243630000001	0.0107607499	0.0483648826	-0.035632074799999996	-0.0382203078	0.0743648472	0.020931487	-0.0787434919	0.0265857059	0.0880249148	-0.0563554721	0.07743332879999999	-0.0029848214	0.0142913759	-0.08434258369999999	0.08874521199999999	-0.06949511629999999	-0.0245768223	-0.0739569789	0.1115978766	0.1078204375	0.1016191316	0.0	-4.7965600000000014e-05	-3.3849500000000015e-05	2.300698783360001e-09	1.1457886502500007e-09	0.0741594	-0.0341596	0.0011668782721600001	0.00549961660836	0.250136	0.04386300000000001	0.0019239627690000008	0.06256801849600001	-0.000946513	3.138099999999992e-05	8.958868591690003e-07	9.847671609999948e-10	5.96138e-05	-6.760619999999999e-05	4.570598278439998e-09	3.553805150440001e-09	-0.000136587	-0.000136587	1.8656008568999998e-08	1.8656008568999998e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
722.2922965221519	-0.6265020380799342	521706.16161524423	0.3925048037183113	1046.1351961408777	-0.9527053619162872	1094398.8486047126	0.9076475066240436	727.3337341475008	-0.05762711490137917	529014.3608289473	0.0033208843718567573	785.9309442733709	544.3103300506324	0.714935	12.705462	0.09550682440000002	0.0468999	0.0072807238	0.0501008951	0.035037883900000004	0.0219693995	-0.0550311262	-0.0383637457	0.018321303	0.022048935699999998	-0.0217360815	-0.0178491957	-0.0574454738	-0.0045510812	-0.12110686220000001	-0.0281744095	0.10532620179999999	-0.0329092469	0.054603127	0.0614731049	-0.0652645441	0.035963805	0.038623796200000005	-0.06234209280000001	-0.0082516852	-0.0678386366	0.11314088630000001	0.1223451024	-0.0395749713	-0.0352760275	0.0617454331	-0.0128839882	0.032494001200000004	-0.026274946400000002	0.0111843472	0.0026042793	-0.021120420600000002	-0.0430170459	0.022186306099999997	0.016242085700000002	0.0837535065	-0.0486946096	0.0047725568	0.032065289	0.0018904278	0.0141283614	-0.0546187216	0.0128443806	0.0395958312	0.015234526299999999	-0.0074631887	0.0302101679	0.11266403	0.0205672533	0.0071407317000000015	-0.0137648853	0.059798214599999996	-0.009838352600000001	-0.0202760318	0.0701069473	0.0039145064	-0.0002997048	0.0635705024	0.0666324548	0.0149451117	-0.0513705891	-0.1070794374	-0.0530110011	-0.0766664666	0.11123788539999999	0.1063989547	0.09848938759999999	0.0	-0.0121956	-0.0121476344	0.00014873265936000006	0.00014756502151606335	0.112099	0.0379396	0.0014394132481600002	0.012566185801	0.227017	-0.023119000000000032	0.0005344881610000013	0.051536718289	-0.00110208	-0.000155567	1.2145803264e-06	2.4201091489000004e-08	-0.0	-5.96138e-05	3.553805150440001e-09	0.0	-0.0003674180000000001	-0.00023083100000000005	5.328295056100001e-08	1.3499598672400004e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
