global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15
725.4647703862929	n/a	526299.1330716367	n/a	1106.075035651299	n/a	1223401.9844910223	n/a	720.7379551600467	n/a	519463.20000828546	n/a	795.6801884697604	630.412385513881	n/a	n/a	n/a	n/a	-0.1448215387	-0.06849957059999999	-0.1730034	0.6053206227	0.1725104616	-0.1764768025	0.2696795287	0.1507157243	-0.0448083554	0.0434919345	-0.0785765891	-0.1310850761	0.036481907200000004	-0.0582960362	0.2294560635	-0.1443809136	0.0648376548	-0.13830838480000002	0.07055718679999999	-0.10884345279999999	0.0952387017	-0.0014705994	0.08901625460000001	-0.0617379181	0.117354884	-0.117100822	0.09899181970000001	-0.1496469499	0.044890005700000006	-0.0607964636	0.1067243383	-0.0427276125	0.0505723762	-0.09913038210000001	0.038135768199999996	-0.1576518452	0.0174447805	-0.006021598100000001	-0.1013307641	0.0072069489	-0.08535309	-0.2926529345	-0.36480593759999996	0.08342167360000001	-0.3368967567	0.30565403	-0.08727010029999999	0.0673585142	-0.0657812663	0.1101648066	-0.1289683558	-0.0493176635	0.1551420669	-0.0783903933	0.1134519796	-0.0886470099	0.072830625	-0.0797003312	0.0557867527	-0.1159446965	0.022294512599999997	0.1342676386	-0.055750938300000004	0.107516234	0.10750293820000001	0.1074807797	0.10744976029999999	0.021407	n/a	0.0004582596489999999	n/a	-0.250843	n/a	n/a	0.06292221064899997	-0.419714	n/a	n/a	0.17615984179600006	0.00336207	n/a	1.13035146849e-05	n/a	0.00110793	n/a	n/a	1.2275088849e-06	0.0	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
718.6187065901345	-6.8460637961584325	516412.8454612778	46.86858950107121	1071.3866757451735	-34.68835990612547	1147869.4089642935	1203.282312976893	719.3956265993793	-1.3423285606673971	517530.0675703135	1.8018459647834064	787.4799684072491	597.2786592087332	1.761628	29.170219	0.29059850000000004	0.203628	-0.0524047062	-0.1138889891	-0.1812602316	0.2592897527	0.072329727	-0.0382047848	0.2751144039	0.0864112972	-0.1326678902	-0.0659228954	0.0039756032	0.011050076	0.08779902380000001	-0.0802675876	0.07988571900000001	-0.1148734008	-0.057655285	0.0222093431	0.012466329699999999	-0.1391196984	0.0370293757	-0.0070103215000000005	-0.0484627846	-0.0341354206	0.0524160239	-0.0593178024	0.0948959608	0.06956022719999999	-0.0027526775	0.0718417158	-0.030156762400000002	0.019725511499999997	0.0796394401	0.0479466449	0.046426992400000006	0.1123790483	-0.09176335619999999	-0.0065127576	-0.0116407801	0.0193457843	-0.0192777285	-0.092266095	-0.2877490971	-0.0138767947	-0.2790430185	0.0768710844	0.0656864824	0.0706222729	-0.0725838533	-0.033343461	-0.0111779026	-0.0974122359	-0.0027445626	0.0442663226	-0.0035842922	0.1396179974	0.1395694944	-0.0849658531	0.0049168761	0.09216021960000001	0.015467314499999999	0.0465917203	0.0553185075	0.1074807797	0.10736115	0.1071618658	0.1068830749	0.0332205	0.0118135	0.00110360162025	0.00013955878225	-0.181853	0.06899	0.0047596201000000005	0.033070513608999985	-0.25095100000000004	0.16876300000000002	0.028480950169000003	0.06297640440100002	0.00254143	-0.0008206400000000001	6.4588664449e-06	6.734500096000001e-07	0.00110793	0.0	0.0	1.2275088849e-06	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
712.3581730096664	-6.260533580468064	507454.1666536698	39.19428071216827	1045.8583048881417	-25.52837085703186	1093819.593903497	651.6977186141536	717.6116672096034	-1.7839593897758732	514966.50491534657	3.1825111043695062	781.0465125902415	566.143911050014	1.3991049999999998	23.167318	0.10967429999999992	0.0641785	0.0250696943	-0.1990381655	-0.0210498891	-0.0168502359	0.0375401615	0.0375829444	0.24585806359999998	-0.0495133009	0.0237641779	-0.1086890376	-0.06944794209999999	-0.0041732441	0.0629282672	-0.0236046443	0.0440221876	-0.0512347957	-0.048758235	0.0401684572	-0.0109158072	-0.1122287809	-0.0024775324	0.043957702599999995	-0.0051533161	0.025711249	-0.07488149849999999	0.0754219746	0.0270685833	-0.0245831794	-0.051062218799999996	0.024068676400000003	0.0090703713	-0.0672753046	0.032317319	-0.0749708084	0.036388854500000005	0.1247455653	-0.0942700922	-0.0656061	-0.0722765195	-0.12036273789999999	-0.0255963362	-0.0424102557	-0.112018344	-0.18029101100000008	-0.1773527135	-0.09073944910000001	-0.0183453428	-0.0431792659	0.0026925281	-0.0121323499	0.041319455899999996	-0.0236327773	-0.029469742	0.0068869326	0.0785940972	0.1772980368	0.08633799560000001	-0.10521360460000001	-0.09671536369999999	0.0473767347	-0.0545939102	0.059362372300000014	-0.011295123700000001	0.1074098827	0.1070777606	0.1065249843	0.10575269279999999	0.0383203	0.005099800000000002	0.0014684453920899999	2.6007960040000016e-05	-0.15475799999999998	0.027095000000000008	0.0007341390250000004	0.02395003856399999	-0.203633	0.04731800000000005	0.002238993124000005	0.04146639868899999	0.0021882	-0.00035322999999999995	4.7882192400000005e-06	1.2477143289999996e-07	0.00135793	0.00025	6.25e-08	1.8439738849e-06	4.235169999999998e-22	4.235169999999998e-22	1.7936664928899987e-43	1.7936664928899987e-43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
713.405526707204	1.0473536975375737	508947.4455363832	1.0969497677456277	1038.250343751407	-7.60796113673473	1077963.7762999146	57.881072658065996	718.0333212803955	0.4216540707921013	515571.8504689557	0.17779215541555035	780.7797185710449	567.582333565766	1.143231	18.930391	0.24029570000000006	0.129857	0.0385491564	-0.18721275280000002	0.0358914779	-0.062417938	-0.0310687269	0.0594263342	0.1536387195	-0.0324336911	-0.024878367599999996	-0.0444880526	0.0371786513	-0.021295664199999998	0.0482012573	-0.2867153484	-0.09358772439999999	0.019835581499999998	0.0290738179	-0.1623460728	-0.0048644011	-0.0059955971	0.0042106099	-0.022641212999999997	0.160701134	0.0662753381	-0.0808918489	0.0894209564	0.0713420902	0.0756038674	-0.0644768945	-0.1192392102	-0.0717352671	-0.0152271346	-0.0302578969	0.07627114759999999	-0.0773054425	-0.1527398992	-0.0557582663	-0.0250707984	0.11329488789999999	0.0090405163	-0.026009523700000002	-0.038871566	-0.0768852574	-0.1685087768	-0.0289369083	-0.0546630949	0.11042245269999999	-0.0617096253	-0.0310293685	0.0533101297	0.0933917324	0.1793300829	-0.18956096260000002	0.0688035127	0.078382585	0.0768234649	-0.0382067083	-0.0455269017	-0.16434048269999998	-0.1165498766	-0.028334321800000006	0.0521206589	-0.0002160007	0.10730356630000001	0.1066531437	0.1055720249	0.1040645756	0.0609138	0.0225935	0.0037104910304400006	0.0005104662422500001	-0.0587323	0.09602569999999998	0.009220935060489995	0.0034494830632899997	-0.214652	-0.011019000000000029	0.00012141836100000064	0.046075481104000005	0.000604141	-0.0015840589999999999	3.64986347881e-07	2.5092429154810003e-06	0.0007288389999999999	-0.0006290910000000001	3.9575548628100024e-07	5.312062879209998e-07	0.0	-4.235169999999998e-22	1.7936664928899987e-43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
713.573921721968	0.16839501476397345	509187.7417616693	0.02835688099735884	1051.0186096739699	12.76826592256316	1104640.1178810052	163.02861466928766	718.7481006527638	0.714779372368298	516598.8321919555	0.5109095511632179	780.6456037638872	568.0700636626457	1.262614	20.907206	0.27904791999999995	0.158638	0.010018362099999999	-0.24995171239999997	0.1258975605	-0.0693563131	0.1088070944	-0.021256941600000002	0.1377400411	-0.108794781	0.0335070682	-0.0576335593	0.078184389	0.10137758289999999	0.095104688	-0.1031311108	0.0226546096	0.1200955196	0.0102170814	-0.0065700265	0.08302161820000001	0.0185817797	0.09369297539999999	0.0410753317	0.009960783	0.0756414566	-0.10426944839999999	0.0298458731	0.0263976843	-0.002642926	-0.0330164828	0.0020203805999999998	-0.0842594587	0.053512335300000005	0.018257752	0.0441739613	-0.0655274174	0.0652027917	-0.05429622	0.0661844939	0.046340055199999994	0.016978912	0.0364347879	-0.06704054940000001	0.0507865472	-0.19608237620000002	-0.1075212131	-0.108002881	-0.0188815905	0.00015920040000000002	-0.0651428296	-0.0501620597	0.09637966419999999	0.2068616275	0.038646940299999995	-0.0566867153	0.01718076	-0.032582061	-0.0315438804	-0.0053152368	0.163447277	0.0005008667	-0.10233555849999999	-0.0272785102	0.10924950580000001	0.1071618658	0.10608785949999999	0.1043058152	0.10182762640000001	0.0103495	-0.050564300000000006	0.00010711215025000002	0.002556748434490001	-0.202987	-0.1442547	0.02080941847209	0.041203722169	-0.190537	0.024115000000000025	0.0005815332250000012	0.036304348369	0.00164762	0.001043479	2.7146516644e-06	1.088848423441e-06	0.0008349549999999999	0.00010611599999999996	1.1260605455999989e-08	6.971498520249997e-07	-5.268340000000001e-05	-5.268340000000001e-05	2.775540635560001e-09	2.775540635560001e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
714.8626210142014	1.2886992922334457	511028.5669232938	1.6607458658029843	1038.7707267569735	-12.24788291699656	1079044.622767211	150.01063594845616	718.2223283154362	-0.5257723373275667	515843.31289084634	0.27643655069889256	779.9289143831396	568.8408202658712	1.2340870000000002	20.434834	0.17521258	0.0950682	0.0491463896	-0.17009153559999998	0.0976660402	-0.050638309299999996	-0.05961054070000001	0.029273800899999997	0.12463286300000001	-0.0838261547	-0.012355323500000001	-0.0648430175	0.18250073600000002	-0.01952142	0.0045823841	-0.0223677737	-0.0714183521	0.05844308	0.1601170193	0.11249103099999999	-0.09261766390000001	-0.0680625009	0.0388399544	0.0819047936	0.011839438600000002	-0.1178998764	0.0369673102	-0.0599444163	-0.0949031945	0.0752543897	0.0107476092	-0.1739257152	0.0288814242	0.1218402125	-0.20932578870000002	0.0109573233	0.0131903648	0.0116089555	0.038143479300000005	-0.0730631337	0.0939361355	-0.0303551464	-0.005074722	-0.0306609529	0.0029257769	-0.128556989	-0.011609038899999998	-0.1081069515	0.1558961775	0.056976095199999986	-0.0747440895	0.0371334969	0.0130650723	0.0385327188	0.0783108257	-0.054241270300000005	0.0745530046	0.1074092948	-0.0321455314	0.14870651529999998	-0.046860983700000004	0.19296729070000002	0.19630542550000002	-0.0917887875	0.0352682105	0.1069848277	0.1053826534	0.1027301122	0.09905364259999999	-0.0024071	-0.0127566	5.7941304099999984e-06	0.00016273084356	-0.132867	0.07011999999999999	0.0049168143999999995	0.017653639689	-0.165339	0.02519799999999997	0.0006349392039999986	0.027336984921000004	0.0007699449999999999	-0.0008776750000000003	5.928153030249997e-07	7.703134056250003e-07	0.0009469700000000002	0.00011201500000000037	1.254736022500008e-08	8.967521809000004e-07	-0.000405753	-0.0003530696	1.2465814244416e-07	1.6463549700899998e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
716.0289757964674	1.166354782266012	512697.4941801381	1.3603834781147963	1049.0838154180333	10.313088661059735	1100576.851772058	106.35979773087892	717.796738673804	-0.42558964163220026	515232.1580507493	0.18112654306462464	779.2052988855905	578.6890550326319	1.082369	17.922588	0.045501700000000006	0.0232622	0.0119138157	-0.1477940858	0.0735667222	-0.0933860749	0.1181514576	0.0368242102	0.0641793547	-0.1977073277	0.11569422830000001	-0.0624220276	-0.0034995957	-0.0089280044	-0.0752918826	-0.0694993466	-0.1625526293	0.0961687234	-0.014292556299999997	0.0555561003	0.028159438399999997	0.0035542417	0.0555163827	-0.052817469699999994	-0.0003386224	0.0299836605	-0.0956643398	-0.0544876437	0.023245344100000002	0.0199864524	-0.024091940099999997	-0.0773023458	-0.012890950200000001	0.0890022667	0.0417858231	-0.026438434900000002	-0.14187111060000002	0.0485132159	0.0616517489	-0.00035165269999999995	-0.0941709797	0.0826121259	-0.026856687999999997	0.008712574	0.12383329359999999	-0.15076784769999999	-0.1002584366	-0.1009636318	-0.0230905044	-0.08196083230000001	0.06960306969999999	0.1296982132	-0.0193943208	0.1134445924	-0.0200640489	0.0186010696	-0.09895448109999999	-0.0038956027	-0.031546632799999995	0.0578178665	0.0919012297	0.1095125667	0.0061364367	-0.0127482871	0.0134508389	0.10677251060000001	0.10453845560000001	0.1008495915	0.0957572542	-0.0063834	-0.0039763	4.0747795560000007e-05	1.5810961690000006e-05	-0.117116	0.015750999999999998	0.00024809400099999997	0.013716157456000005	-0.174955	-0.009615999999999986	9.246745599999972e-05	0.030609252025000002	0.0007699449999999999	0.0	5.928153030249997e-07	0.0	0.000660247	-0.00028672300000000023	8.221007872900012e-08	4.35926101009e-07	-0.0003693080000000001	3.644499999999997e-05	1.3282380249999977e-09	1.3638839886400005e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
721.3579103869828	5.3289345905153604	520357.2348778743	28.397543869991107	1050.888353903204	1.804538485170724	1104366.3323693858	3.2563591444622517	719.0928865487881	1.2961478749840578	517094.5794850682	1.6799993138256892	780.5580576475153	594.0557746684262	1.171968	19.406237	0.05621970000000001	0.0278099	-0.0087802944	-0.068478449	0.15009747240000001	-0.0311508162	0.09588127619999999	-0.0073162512	-0.0024347557	-0.1706070707	0.1248248401	0.0103553034	0.10504140140000001	-0.0119235219	0.034026639	-0.0626746279	-0.1259099545	-0.0047546963	0.08220755490000001	-0.08146535469999999	0.0391622993	0.0625212437	0.13698140179999999	-0.039536517	0.025321583199999997	0.0658318845	0.0697740228	0.021921682999999997	-0.0797636984	0.0043483702	0.0019301664000000002	0.1246034611	0.0699148318	-0.0058722356	0.0505505843	0.09968255210000004	0.0150764897	-0.0567276554	0.1622706488	0.09367201039999999	0.026036600400000002	0.0564887171	0.016648718	-0.0292777425	0.1705329562	-0.1182561502	-0.026793492599999996	-0.0322776782	-0.0079672013	0.0994749143	-0.0360048493	0.1201834298	-0.0496389203	0.2757610304	0.0579564749	0.0178388505	-0.0998608831	-0.1615790109	-0.0446448279	0.0690058758	0.0650782359	0.0112998394	-0.0203945049	-0.0245492953	0.1477412222	0.1065249843	0.10355637949999999	0.0986698327	0.0919558462	0.00478835	0.01117175	2.2928295722500007e-05	0.00012480799806250002	-0.127082	-0.009965999999999987	9.932115599999978e-05	0.016149834724	-0.197393	-0.022438000000000013	0.0005034638440000006	0.038963996449000005	0.0007699449999999999	0.0	5.928153030249997e-07	0.0	0.000735396	7.514900000000005e-05	5.647372201000007e-09	5.408072768160001e-07	-0.000547038	-0.00017772999999999994	3.158795289999999e-08	2.99250573444e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
723.1707522404918	1.812841853508985	522975.9368960788	3.286395585833892	1041.6779587511726	-9.210395152031424	1085092.9697480095	84.83137885656394	721.2993967216989	2.2065101729108387	520272.81971108686	4.868687143159022	780.6400628704463	602.6459365165235	1.118563	18.521923	0.12025735	0.0834808	-0.0390389587	0.022648343900000003	0.0874076912	-0.0484248122	-0.0416191389	-0.04442194730000002	-0.059891601399999994	-0.0160387936	-0.0725715314	-0.0134492277	0.133693131	-0.0666126905	0.050689455700000004	-0.036407615	-0.0681163608	0.0229795635	0.13061853380000002	0.10845825140000001	-0.1248165654	-0.0145302503	0.1384854912	-0.036565127200000005	-0.012444761399999999	0.0160019379	0.0838771897	-0.0292351052	-0.09057195039999999	0.0476354585	-0.094493019	0.0610758911	0.0225158161	0.07329944969999999	0.0540992562	0.069578282	0.0759547529	0.0446628459	0.0381379084	0.0716390687	-0.0744462805	-0.0779159525	-0.039846950299999996	0.0153947856	0.10917610529999999	0.0397594713	0.0071925692	-0.09684659279999999	0.1287850849	0.08841687039999999	-0.0579526081	0.0325113944	0.0274288177	0.0753757743	-0.00033248269999999996	0.0580093641	0.008168266	0.11886478619999999	0.051290326500000004	0.2128871432	0.014522837	0.09256952369999999	-0.0011990008	-0.0692022277	0.017187681399999998	0.10624233050000001	0.10243772039999999	0.09619730359999999	0.08766946710000001	0.0106027	0.005814349999999999	0.00011241724729	3.3806665922499985e-05	-0.0464344	0.08064760000000001	0.00650403538576	0.00215615350336	-0.188181	0.009212000000000026	8.486094400000048e-05	0.035412088760999993	0.000556335	-0.00021360999999999982	3.0950863222500005e-07	4.562923209999992e-08	0.000582534	-0.00015286200000000006	2.336679104400001e-08	3.39345861156e-07	-0.000421842	0.00012519600000000005	1.567403841600001e-08	1.7795067296399997e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
723.3768764776254	0.20612423713362205	523274.1054225257	0.042487201133917664	1041.030520362328	-0.6474383888446482	1083744.5443258593	0.4191764673497539	721.5618345341907	0.2624378124917257	520651.48105634673	0.06887360542544219	781.7179681318048	609.7865037499344	0.961096	15.914477	0.1170253	0.0580885	-0.053908065899999996	0.0628668149	0.029795834700000006	-0.0951669717	-0.0082022708	-0.061027475199999986	-0.0513673574	0.0166377424	0.005630505	-0.10211154869999996	-0.059017983499999996	-0.0559259109	0.0093232799	0.0796007074	-0.1173016802	-0.0457721641	0.121806309	0.0319632838	-0.09454347269999999	0.1394727525	-0.0334639889	0.13254964789999998	0.0517819549	0.0018657529000000001	0.051981727400000004	0.0801880837	-0.0536367976	-0.0346385096	-0.11851683269999999	0.0209715875	-0.05026483650000002	0.0862751152	-0.0799904892	-0.0019871399	-0.1891352239	0.0381036933	0.019886256	-0.013743746000000001	-0.0114209978	0.0681395134	0.06289138150000001	0.0200508184	0.0903189474	0.0665087709	-0.0086241917	-0.1202495358	-0.0374456212	-0.069132515	0.0026383589000000002	0.0188998193	0.0509158276	-0.0188333896	-0.0393032052	0.1587708792	0.0961499601	0.0489097017	-0.1384766859	0.109268635	-0.0255914865	-0.0727073921	-0.041164064199999996	-0.0825831925	-0.025384231299999997	0.1059246424	0.1011839538	0.0934393406	0.0829207229	0.0246594	0.014056700000000002	0.0006080860083600001	0.00019759081489000005	-0.0986375	-0.052203099999999995	0.0027251636496100004	0.00972935640625	-0.175386	0.012795	0.00016371202500000006	0.030760248995999995	0.000946455	0.00039012	8.957770670250002e-07	1.5219361439999998e-07	0.0007434749999999997	0.00016094099999999973	2.5902005480999912e-08	5.527550756249996e-07	-0.000213493	0.000208349	4.3409305800999985e-08	4.557926104899999e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
