trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,trans_x_der,trans_y_der,trans_z_der,rot_x_der,rot_y_der,rot_z_der,trans_x_2,trans_y_2,trans_z_2,rot_x_2,rot_y_2,rot_z_2,trans_x_der_2,trans_y_der_2,trans_z_der_2,rot_x_der_2,rot_y_der_2,rot_z_der_2,a_comp_cor_00,a_comp_cor_01,a_comp_cor_02,a_comp_cor_03,a_comp_cor_04,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.10,0.11,0.12,0.13,0.14,initdum_1.0
0,-1.23279e-09,9.12881e-09,-0.00017029,-0,0,0,0,0,0,0,0,0,1.5197712e-18,8.3335172e-17,2.8998684e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.00729155,0.0238218,0.0530169,-0.000414001,-0,0,-0.00729155,0.023821801,0.053016891,-0.000243711,0,0,5.3166701e-05,0.00056747816,0.0028107917,1.7139683e-07,0,0,5.3166701e-05,0.00056747821,0.0028107907,5.9395052e-08,0,0,-0.081073192,0.007634511,0.037547889,-0.003570661,0.18630266,0.3363319,0,0,-0.97995338,0,0,1.8664935,0,0,-2.4948258,0,0,3.0341856,0,0,0
0,0.0268254,0.0805961,-0.000229688,-0,0,0.00729155,0.0030036,0.0275792,0.000184313,0,0,0,0.00071960209,0.0064957313,5.2756577e-08,0,0,5.3166701e-05,9.021613e-06,0.00076061227,3.3971282e-08,0,0,-0.10136457,0.16533654,0.010805239,0.051645835,-0.053151871,8.0267167,0,0,-15.986889,0,0,22.771621,0,0,-24.455368,0,0,23.756792,0,0,0
2.2204e-05,0.0170094,0.0773866,0.000126222,-0.00025,0,2.2204e-05,-0.009816,-0.0032095,0.00035591,-0.00025,0,4.9301762e-10,0.00028931969,0.0059886859,1.5931993e-08,6.25e-08,0,4.9301762e-10,9.6353856e-05,1.030089e-05,1.2667193e-07,6.25e-08,0,0.052557942,0.04614105,0.067513905,-0.09041682,-0.0034399083,35.646218,0,0,-46.531439,0,0,44.872643,0,0,-31.42687,0,0,20.803266,0,0,0
0,0.0470187,0.0794106,0.00018701,-0,0,-2.2204e-05,0.0300093,0.002024,6.0788e-05,0.00025,0,0,0.0022107581,0.0063060434,3.497274e-08,0,0,4.9301762e-10,0.00090055809,4.096576e-06,3.6951809e-09,6.25e-08,0,0.054034348,-0.0048078287,0.12844949,0.021839996,-0.12848588,75.67187,0,0,-56.365318,0,0,32.609345,0,0,-10.80615,0,0,14.182407,0,0,0
0,0.0470082,0.0530304,-0.000121798,-0,0,0,-1.05e-05,-0.0263802,-0.000308808,0,0,0,0.0022097709,0.0028122233,1.4834753e-08,0,0,0,1.1025e-10,0.00069591495,9.5362381e-08,0,0,-0.0083747406,0.019804883,0.039822309,0.15108697,-0.094142405,108.81782,0,0,-29.662492,0,0,19.656091,0,0,-20.011735,0,0,32.98514,0,0,0
-0.0103773,0.046998,0.0604577,0.000230703,-0.000217267,0,-0.0103773,-1.02e-05,0.0074273,0.000352501,-0.000217267,0,0.00010768836,0.002208812,0.0036551335,5.3223874e-08,4.7204949e-08,0,0.00010768836,1.0404e-10,5.5164785e-05,1.2425696e-07,4.7204949e-08,0,-0.012199438,0.055351662,-0.12087649,-0.029098861,0.040005412,123.57823,0,0,4.580444,0,0,45.727178,0,0,-27.022416,0,0,21.330641,0,0,0
1.39795e-05,0.0711828,0.0765128,-0.000160819,-0,0.000136266,0.01039128,0.0241848,0.0160551,-0.000391522,0.000217267,0.000136266,1.9542642e-10,0.005066991,0.0058542086,2.5862751e-08,0,1.8568423e-08,0.00010797869,0.00058490455,0.00025776624,1.5328948e-07,4.7204949e-08,1.8568423e-08,-0.016068816,-0.061932447,-0.040064,-0.08650744,0.048047544,123.83761,0,0,19.263492,0,0,77.170796,0,0,3.3965724,0,0,26.995908,0,0,0
1.27262e-05,0.0775779,0.0530156,-7.25987e-05,-5.36547e-05,8.21972e-05,-1.2533e-06,0.0063951,-0.0234972,8.82203e-05,-5.36547e-05,-5.40688e-05,1.6195617e-10,0.0060183306,0.0028106538,5.2705712e-09,2.8788268e-09,6.7563797e-09,1.5707609e-12,4.0897304e-05,0.00055211841,7.7828213e-09,2.8788268e-09,2.9234351e-09,0.010668974,-0.075206596,-0.037074998,0.010086262,0.01211053,120.1169,0,0,19.264761,0,0,87.359357,0,0,28.093393,0,0,58.74355,0,0,0
4.24605e-05,0.0976674,0.0475912,-0.000330006,-0,0.000205518,2.97343e-05,0.0200895,-0.0054244,-0.0002574073,5.36547e-05,0.0001233208,1.8028941e-09,0.009538921,0.0022649223,1.0890396e-07,0,4.2237648e-08,8.841286e-10,0.00040358801,2.9424115e-05,6.6258518e-08,2.8788268e-09,1.520802e-08,-0.02530512,-0.066832883,-0.05440085,0.027575773,0.017803548,117.32428,0.3363319,0,17.141225,-0.97995338,0,83.676309,1.8664935,0,36.948335,-2.4948258,0,78.558444,3.0341856,0,0
