trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,trans_x_der,trans_y_der,trans_z_der,rot_x_der,rot_y_der,rot_z_der,trans_x_2,trans_y_2,trans_z_2,rot_x_2,rot_y_2,rot_z_2,trans_x_der_2,trans_y_der_2,trans_z_der_2,rot_x_der_2,rot_y_der_2,rot_z_der_2,a_comp_cor_00,a_comp_cor_01,a_comp_cor_02,a_comp_cor_03,a_comp_cor_04,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.10,0.11,0.12,0.13,0.14,initdum_1.0,initdum_2.0,initdum_3.0
0.0053339,-0.0272297,-0.0292892,0.000793397,-0,0,0,0,0,0,0,0,2.8450489e-05,0.00074145656,0.00085785724,6.294788e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-0.00782113,3.75362e-07,-1.67528e-06,-0.000231494,-0,0,-0.01315503,0.027230075,0.029287525,-0.001024891,0,0,6.1170074e-05,1.4089663e-13,2.8065631e-12,5.3589472e-08,0,0,0.00017305481,0.000741477,0.0008577591,1.0504016e-06,0,0,0,0,0,0,0,0.3363319,0,0,-0.97995338,0,0,1.8664935,0,0,-2.4948258,0,0,3.0341856,0,0,0,1,0
-0.015514,0.0390612,0.0296553,-0.000464275,-6.35029e-05,0,-0.00769287,0.039060825,0.029656975,-0.000232781,-6.35029e-05,0,0.0002406842,0.0015257773,0.00087943682,2.1555128e-07,4.0326183e-09,0,5.9180249e-05,0.001525748,0.00087953618,5.4186994e-08,4.0326183e-09,0,0,0,0,0,0,8.0267167,0,0,-15.986889,0,0,22.771621,0,0,-24.455368,0,0,23.756792,0,0,0,0,1
-0.0225208,0.0081831,0.0225105,-0.000781795,8.06632e-05,-0.000150402,-0.0070068,-0.0308781,-0.0071448,-0.00031752,0.0001441661,-0.000150402,0.00050718643,6.6963126e-05,0.00050672261,6.1120342e-07,6.5065518e-09,2.2620762e-08,4.9095246e-05,0.00095345706,5.1048167e-05,1.0081895e-07,2.0783864e-08,2.2620762e-08,0.080991183,0.11753584,0.32346278,0.021647564,0.015152176,35.646218,0,0,-46.531439,0,0,44.872643,0,0,-31.42687,0,0,20.803266,0,0,0,0,0
1.13928e-05,-0.0138894,0.0073883,0.000115222,0.000206834,0,0.022532193,-0.0220725,-0.0151222,0.000897017,0.0001261708,0.000150402,1.2979589e-10,0.00019291543,5.4586977e-05,1.3276109e-08,4.2780304e-08,0,0.00050769971,0.00048719526,0.00022868093,8.046395e-07,1.5919071e-08,2.2620762e-08,0.25299922,0.071498826,0.2182549,-0.016311665,0.027371901,75.67187,0,0,-56.365318,0,0,32.609345,0,0,-10.80615,0,0,14.182407,0,0,0,0,0
1.35866e-05,0.00812901,-0.0325776,-0.000106855,0.000185282,0,2.1938e-06,0.02201841,-0.0399659,-0.000222077,-2.1552e-05,0,1.845957e-10,6.6080804e-05,0.0010613,1.1417991e-08,3.432942e-08,0,4.8127584e-12,0.00048481038,0.0015972732,4.9318194e-08,4.644887e-10,0,0.0002015013,0.085185866,0.14223027,0.059724406,-0.041281574,108.81782,0,0,-29.662492,0,0,19.656091,0,0,-20.011735,0,0,32.98514,0,0,0,0,0
0.0075577,0.0210931,-0.0513252,-5.00621e-06,0.000584949,0,0.0075441134,0.01296409,-0.0187476,0.00010184879,0.000399667,0,5.7118829e-05,0.00044491887,0.0026342762,2.5062139e-11,3.4216533e-07,0,5.6913647e-05,0.00016806763,0.00035147251,1.0373176e-08,1.5973371e-07,0,-0.035748978,-0.13453017,0.12496903,-0.03300155,-0.0001245681,123.57823,0,0,4.580444,0,0,45.727178,0,0,-27.022416,0,0,21.330641,0,0,0,0,0
0.0257446,-0.033468,-0.070775,0.000193718,1.69379e-24,5.95804e-05,0.0181869,-0.0545611,-0.0194498,0.00019872421,-0.000584949,5.95804e-05,0.00066278443,0.001120107,0.0050091006,3.7526664e-08,2.8689246e-48,3.5498241e-09,0.00033076333,0.0029769136,0.00037829472,3.9491312e-08,3.4216533e-07,3.5498241e-09,0.047598617,0.055776964,0.09113818,-0.15299341,0.13028066,123.83761,0,0,19.263492,0,0,77.170796,0,0,3.3965724,0,0,26.995908,0,0,0,0,0
0.0258194,-0.00829043,-0.135097,-0.000244261,0.000302157,0.000119014,7.48e-05,0.02517757,-0.064322,-0.000437979,0.000302157,5.94336e-05,0.00066664142,6.873123e-05,0.018251199,5.9663436e-08,9.1298853e-08,1.4164332e-08,5.59504e-09,0.00063391003,0.0041373197,1.918256e-07,9.1298853e-08,3.5323528e-09,-0.075499107,-0.046650742,0.021352397,-0.063663234,-0.087509972,119.78057,0.3363319,0.3363319,20.244714,-0.97995338,-0.97995338,85.492863,1.8664935,1.8664935,30.588218,-2.4948258,-2.4948258,55.709365,3.0341856,3.0341856,0,0,0
0.0258044,-0.0767465,-0.0986796,0.000230037,0.000321229,0,-1.5e-05,-0.06845607,0.0364174,0.000474298,1.9072e-05,-0.000119014,0.00066586706,0.0058900253,0.0097376635,5.2917021e-08,1.0318807e-07,0,2.25e-10,0.0046862335,0.001326227,2.2495859e-07,3.6374118e-10,1.4164332e-08,0.092608371,0.073280962,0.017657887,-0.1029147,0.10079768,109.6339,8.0267167,7.6903848,32.148161,-15.986889,-15.006936,62.771181,22.771621,20.905128,58.908877,-24.455368,-21.960542,57.835838,23.756792,20.722606,0,0,0
