trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,trans_x_der,trans_y_der,trans_z_der,rot_x_der,rot_y_der,rot_z_der,trans_x_2,trans_y_2,trans_z_2,rot_x_2,rot_y_2,rot_z_2,trans_x_der_2,trans_y_der_2,trans_z_der_2,rot_x_der_2,rot_y_der_2,rot_z_der_2,a_comp_cor_00,a_comp_cor_01,a_comp_cor_02,a_comp_cor_03,a_comp_cor_04,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.10,0.11,0.12,0.13,0.14,initdum_1.0
-0.00242548,3.19394e-08,-1.58364e-08,-0.00017029,-0,0,0,0,0,0,0,0,5.8829532e-06,1.0201253e-15,2.5079156e-16,2.8998684e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.00453059,-0.110252,-0.099886,0.000953989,0.000206438,0,0.00695607,-0.11025203,-0.099885984,0.001124279,0.000206438,0,2.0526246e-05,0.012155504,0.009977213,9.1009501e-07,4.2616648e-08,0,4.838691e-05,0.012155511,0.0099772098,1.2640033e-06,4.2616648e-08,0,-0.025953862,-0.045469743,0.12762363,-0.24921375,-0.067523646,0.3363319,0,0,-0.97995338,0,0,1.8664935,0,0,-2.4948258,0,0,3.0341856,0,0,0
7.56877e-05,0.0357231,-0.117188,0.000488161,0.00027847,-6.46741e-05,-0.0044549023,0.1459751,-0.017302,-0.000465828,7.2032e-05,-6.46741e-05,5.7286279e-09,0.0012761399,0.013733027,2.3830116e-07,7.7545541e-08,4.1827392e-09,1.9846155e-05,0.02130873,0.0002993592,2.1699573e-07,5.188609e-09,4.1827392e-09,-0.010261457,-0.02139566,0.034864707,-0.076360896,-0.039029312,8.0267167,0,0,-15.986889,0,0,22.771621,0,0,-24.455368,0,0,23.756792,0,0,0
0.000132502,0.100048,-0.11766,-5.42176e-05,0.000664443,-0.000444122,5.68143e-05,0.0643249,-0.000472,-0.0005423786,0.000385973,-0.0003794479,1.755678e-08,0.010009602,0.013843876,2.9395481e-09,4.414845e-07,1.9724435e-07,3.2278647e-09,0.0041376928,2.22784e-07,2.9417455e-07,1.4897516e-07,1.4398071e-07,-0.033610174,-0.060877382,0.038096541,0.045944401,-0.13066339,35.646218,0,0,-46.531439,0,0,44.872643,0,0,-31.42687,0,0,20.803266,0,0,0
-0.0106004,0.0149175,-0.147025,-0.000707595,0.00102647,-0.000906308,-0.010732902,-0.0851305,-0.029365,-0.0006533774,0.000362027,-0.000462186,0.00011236848,0.00022253181,0.021616351,5.0069068e-07,1.0536407e-06,8.2139419e-07,0.00011519519,0.007247202,0.00086230322,4.2690203e-07,1.3106355e-07,2.136159e-07,-0.15612624,0.085947817,0.10048713,-0.14686038,-0.11425288,75.335538,0.3363319,0.3363319,-55.385365,-0.97995338,-0.97995338,30.742851,1.8664935,1.8664935,-8.3113246,-2.4948258,-2.4948258,11.148221,3.0341856,3.0341856,0
-0.00904085,0.174188,-0.117538,-0.00181947,0.00130215,-0.00139109,0.00155955,0.1592705,0.029487,-0.001111875,0.00027568,-0.000484782,8.1736969e-05,0.030341459,0.013815181,3.3104711e-06,1.6955946e-06,1.9351314e-06,2.4321962e-06,0.025367092,0.00086948317,1.236266e-06,7.5999462e-08,2.3501359e-07,-0.071401178,0.09185446,-0.024856866,-0.053682296,0.031685511,100.79111,7.6903848,8.0267167,-13.675603,-15.006936,-15.986889,-3.1155306,20.905128,22.771621,4.4436331,-21.960542,-24.455368,9.2283483,20.722606,23.756792,0
-0.0199621,-0.0124639,-0.0850132,-0.000846412,0.00148953,-0.00129888,-0.01092125,-0.1866519,0.0325248,0.000973058,0.00018738,9.221e-05,0.00039848544,0.0001553488,0.0072272442,7.1641327e-07,2.2186996e-06,1.6870893e-06,0.0001192737,0.034838932,0.0010578626,9.4684187e-07,3.5111264e-08,8.5026841e-09,-0.065600327,0.12417742,-0.093091491,0.076361593,0.03706757,87.932012,27.619502,35.309886,51.111883,-30.544549,-45.551485,0.85453444,22.101022,43.00615,4.4044542,-6.971502,-28.932044,0.52737567,-2.9535262,17.76908,0
-0.0248566,0.0837417,-0.146156,-0.00120436,0.00194644,-0.00136627,-0.0048945,0.0962056,-0.0611428,-0.000357948,0.00045691,-6.739e-05,0.00061785056,0.0070126723,0.021361576,1.450483e-06,3.7886287e-06,1.8666937e-06,2.395613e-05,0.0092555175,0.003738442,1.2812677e-07,2.0876675e-07,4.5414121e-09,-0.047912195,0.052203857,-0.1116696,-0.083271779,-0.01833336,48.16574,40.025651,67.645153,75.628811,-9.8338796,-40.378429,44.561451,-12.263298,9.8377235,14.202723,20.620719,13.649217,12.813501,-6.6208587,-9.5743849,0
-0.0237554,0.0874313,-0.151118,-0.00124998,0.00162463,-0.00154968,0.0011012,0.0036896,-0.004962,-4.562e-05,-0.00032181,-0.00018341,0.00056431903,0.0076442322,0.02283665,1.56245e-06,2.6394226e-06,2.4015081e-06,1.2126414e-06,1.3613148e-05,2.4621444e-05,2.0811844e-09,1.0356168e-07,3.3639228e-08,-0.070901361,0.12297396,-0.084256648,-0.076979505,-0.035264464,11.299074,33.145954,73.171605,48.927253,26.702826,16.868947,67.703266,-12.953254,-25.216553,48.105127,-9.2055843,11.415135,25.75841,18.802733,12.181875,0
-0.022897,0.0273499,-0.184756,-0.000851415,0.0016327,-0.00138251,0.0008584,-0.0600814,-0.033638,0.000398565,8.07e-06,0.00016717,0.00052427261,0.00074801703,0.03413478,7.249075e-07,2.6657093e-06,1.9113339e-06,7.3685056e-07,0.0036097746,0.001131515,1.5885406e-07,6.51249e-11,2.7945809e-08,-0.042656654,-0.0053865615,-0.19070323,-0.074366252,-0.011511616,-5.9176185,14.760407,47.906361,11.580828,34.242936,60.945762,39.815625,26.071087,13.117833,61.475925,-7.0106809,-16.216265,60.261989,-11.654499,7.1482344,0
0.00021258,0.0549072,-0.187015,-0.00210807,0.00148953,-0.00120104,0.02310958,0.0275573,-0.002259,-0.001256655,-0.00014317,0.00018147,4.5190256e-08,0.0030148006,0.03497461,4.4439591e-06,2.2186996e-06,1.4424971e-06,0.00053405269,0.00075940478,5.103081e-06,1.5791818e-06,2.0497649e-08,3.2931361e-08,0.067315549,0.0066532418,-0.13389966,0.0016946769,0.027818219,-7.0495411,0.25937865,15.019786,-4.8741363,14.683048,48.925984,5.4787865,31.443618,57.514705,30.081083,30.418988,23.408307,62.399468,5.6652664,-5.9892325,0
0.0185515,0.144739,-0.15123,-0.00160484,0.00148953,-0.00134432,0.01833892,0.0898318,0.035785,0.00050323,0,-0.00014328,0.00034415815,0.020949378,0.022870513,2.5755114e-06,2.2186996e-06,1.8071963e-06,0.00033631599,0.0080697523,0.0012805662,2.5324043e-07,0,2.0529158e-08,0.13784793,-0.022138619,-0.05722262,0.11552972,0.13764771,-3.5110514,-3.720712,-3.4613334,-5.3742314,0.001268743,14.684317,-5.8198513,10.188561,41.632179,4.2829721,24.69682,55.115808,31.68672,31.747643,37.412909,0
0.0186448,-0.0475974,-0.144103,-0.000495684,0.00148953,-0.000962816,9.33e-05,-0.1923364,0.007127,0.001109156,0,0.000381504,0.00034762857,0.0022655125,0.020765675,2.4570263e-07,2.2186996e-06,9.2701465e-07,8.70489e-09,0.036993291,5.0794129e-05,1.230227e-06,0,1.455453e-07,0.086633855,-0.11711655,-5.73811e-05,-0.069835932,0.07612949,-1.0602419,-2.4562852,-6.1769972,-2.2882157,-3.103489,-3.1022203,-4.0480049,-1.8165541,8.3720071,-2.1326453,6.3601165,31.056937,8.8451177,22.849079,54.596722,0
0.0128118,0.298544,-0.00147436,-0.00172721,0.00148953,-0.00143144,-0.005833,0.3461414,0.14262864,-0.001231526,0,-0.000468624,0.00016414222,0.08912852,2.1737374e-06,2.9832544e-06,2.2186996e-06,2.0490205e-06,3.4023889e-05,0.11981387,0.020342929,1.5166563e-06,0,2.1960845e-07,0.1728933,0.0069382652,0.075433147,-0.059864398,0.21321488,-0.18769801,-0.8725439,-3.3288291,-0.51629968,-1.771916,-4.875405,-1.1547843,-2.8932206,-4.7097747,-1.1567913,-0.97585403,5.3842624,1.0423718,7.8027459,30.651825,0
0.0142079,-0.185988,-0.0428554,-0.00146267,0.00148953,-0.000962817,0.0013961,-0.484532,-0.04138104,0.00026454,0,0.000468623,0.00020186442,0.034591536,0.0018365853,2.1394035e-06,2.2186996e-06,9.2701658e-07,1.9490952e-06,0.23477126,0.0017123905,6.9981412e-08,0,2.1960752e-07,0.070118321,-0.070428941,0.078810362,0.13729774,-0.0097268877,-0.0054756973,-0.18222231,-1.0547662,-0.017473317,-0.49882636,-2.2707424,-0.044707646,-1.1100766,-4.0032972,-0.055500918,-1.1012903,-2.0771444,0.0074774136,1.0348944,8.8376403,0
0.0186789,-0.00169934,-0.0811378,-0.000231491,0.00168264,-0.000962817,0.004471,0.18428866,-0.0382824,0.001231179,0.00019311,0,0.00034890131,2.8877564e-06,0.0065833426,5.3588083e-08,2.8312774e-06,9.2701658e-07,1.9989841e-05,0.03396231,0.0014655421,1.5158017e-06,3.7291472e-08,0,0.021778708,-0.10039831,0.061654801,0.033441236,-0.07725205,0,-0.0054756973,-0.18769801,0,-0.017473317,-0.51629968,0,-0.044707646,-1.1547843,0,-0.055500918,-1.1567913,0,0.0074774136,1.0423718,0
0.0186617,0.0580133,-0.0642066,-0.00230096,0.00165525,-0.000614442,-1.72e-05,0.05971264,0.0169312,-0.002069469,-2.739e-05,0.000348375,0.00034825905,0.003365543,0.0041224875,5.2944169e-06,2.7398526e-06,3.7753897e-07,2.9584e-10,0.0035655994,0.00028666553,4.2827019e-06,7.502121e-10,1.2136514e-07,0.017938842,-0.11156771,0.029394512,0.10069803,-0.054552499,0,0,-0.0054756973,0,0,-0.017473317,0,0,-0.044707646,0,0,-0.055500918,0,0,0.0074774136,0
0.0186858,0.0732615,-0.0723919,-0.000739968,0.00169784,-0.000962817,2.41e-05,0.0152482,-0.0081853,0.001560992,4.259e-05,-0.000348375,0.00034915912,0.0053672474,0.0052405872,5.4755264e-07,2.8826607e-06,9.2701658e-07,5.8081e-10,0.0002325076,6.6999136e-05,2.436696e-06,1.8139081e-09,1.2136514e-07,-0.0038089559,-0.046151223,0.11083071,0.067594661,-0.063206366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0187332,0.128532,-0.0242751,1.54361e-05,0.00196501,-0.000962816,4.74e-05,0.0552705,0.0481168,0.0007554041,0.00026717,1e-09,0.00035093278,0.016520475,0.00058928048,2.3827318e-10,3.8612643e-06,9.2701465e-07,2.24676e-09,0.0030548282,0.0023152264,5.7063535e-07,7.1379809e-08,1e-18,0.0081066376,0.027960223,0.064164075,0.15517466,0.05172074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0434896,0.116191,-0.0712939,-0.00100875,0.0023131,-0.000901532,0.0247564,-0.012341,-0.0470188,-0.0010241861,0.00034809,6.1284e-05,0.0018913453,0.013500348,0.0050828202,1.0175766e-06,5.3504316e-06,8.1275995e-07,0.00061287934,0.00015230028,0.0022107676,1.0489572e-06,1.2116665e-07,3.7557287e-09,0.0095525969,-0.064136858,0.0006787063,-0.029505565,0.084747979,0.3363319,0,0,-0.97995338,0,0,1.8664935,0,0,-2.4948258,0,0,3.0341856,0,0,0
0.0434212,-0.101626,-0.146832,-0.000172661,0.00196501,-0.000855455,-6.84e-05,-0.217817,-0.0755381,0.000836089,-0.00034809,4.6077e-05,0.0018854006,0.010327844,0.021559636,2.9811821e-08,3.8612643e-06,7.3180326e-07,4.67856e-09,0.047444245,0.0057060046,6.9904482e-07,1.2116665e-07,2.1230899e-09,-0.12687641,0.015425888,0.083181477,-0.071838757,-0.054615213,8.0267167,0,0,-15.986889,0,0,22.771621,0,0,-24.455368,0,0,23.756792,0,0,0
