global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10
729.348690130941	-1.1497584186226961	1.3219444211937623	531949.5117957194	917.9203922858104	-9.534116137365572	90.89937052077462	842577.8465741359	827.8540600185602	-1.9738042637562785	685342.3446892138	3.8959032716224646	826.9329851931325	564.467533331455	0.897517	18.224131	0.11380770000000012	0.059003	-0.0808281574	-0.1359794183	0.0072666502000000004	-0.034658094900000005	0.1206629707	-0.1425445362	-0.11988596619999999	0.0419088912	0.0435954408	0.053013959299999996	-0.1935220276	-0.0685697866	0.006711511999999999	0.0337798154	-0.0236365223	0.0937934282	0.0499899483	-0.041166672	0.048352759	-0.0928109599	-0.07785126839999999	-0.043313848200000005	-0.0204807755	-0.0706782034	0.0581168119	0.084336914	0.040766485899999996	-0.0147387507	0.0085829436	-0.1147180399	0.023772307000000003	-0.0208396088	-0.0689282396	0.0433415386	-0.0756232154	-0.1891374618	-0.0572293713	0.015591210900000001	0.012314504799999999	-0.0109932694	-0.07137251530000001	-0.0252029088	0.0450502888	-0.056441062699999996	0.0894145157	-0.022147794900000004	-0.0588882037	0.0367359309	-0.0350745634	0.09631958689999999	-0.087118907	0.1090917173	0.0126968225	0.09881337359999999	-0.0308026341	-0.0898719238	0.08229584150000001	0.04271952440000002	-0.299029	-0.01963899999999996	0.08941834284099999	0.0003856903209999985	-0.0391495	-0.023096700000000005	0.0005334575508900003	0.0015326833502500002	-1.31671	0.015260000000000053	1.7337252241	0.0002328676000000016	0.0231252	-0.0007760999999999982	6.023312099999974e-07	0.0005347748750400001	-0.00430548	-1.0280000000000532e-05	1.0567840000001092e-10	1.8537158030400007e-05	-0.0024442	-0.0003298599999999996	5.974113639999999e-06	1.0880761959999966e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
730.3104785999226	0.9617884689815809	0.9250370590659336	533353.395152848	926.6905234899272	8.770131204116751	76.91520133742233	858755.3263260352	829.6560382801475	1.801978261587351	688329.1418547096	3.247125655233372	829.030829055883	559.9869950386258	0.878711	17.842261999999995	0.36559075	0.173316	-0.10691779189999999	-0.09053208509999999	0.0106696094	-0.0534801667	0.06959826849999999	-0.1142540538	-0.1193270181	0.015635325800000002	0.040613872	-0.0915833043	-0.116135251	-0.028266023199999997	-0.045307825	0.0239575878	0.0594686392	-0.0101144438	-0.033055091	-0.0200939149	-0.011959477	-0.0072468836	0.0302868466	-0.0466400392	0.017926658	-0.0178070153	-0.08160598	0.0672715411	-0.0385064263	0.11350269810000001	0.0157301984	-0.0398738243	0.0884454789	0.021072247000000002	0.006934710500000001	-0.0639209928	0.0266242247	-0.134355697	-0.017259676499999998	-0.0414402575	0.0189710658	-0.0573233981	0.0029022565999999995	0.0327762512	-0.0200104968	0.0379503312	0.0310521168	0.0236269901	-0.0397338	-0.0097909483	-0.1014655656	0.0319862127	0.037268805099999996	-0.0415714092	0.0257012298	0.0067135814	-0.0326681354	-0.08766946710000001	0.0859415781	0.0354459976	-0.217265	0.08176399999999998	0.047204080225000014	0.006685351695999996	0.0549129	0.09406239999999999	0.00884773509376	0.00301542658641	-1.2857	0.031009999999999982	1.6530244900000002	0.0009616200999999988	0.0226033	-0.0005219000000000021	2.723796100000023e-07	0.00051090917089	-0.00538936	-0.0010838799999999995	1.1747958543999994e-06	2.90452012096e-05	-0.0008748929999999999	0.0015693069999999998	7.654377614489999e-07	2.4627244602489997e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
731.4636130072586	1.1531344073359833	1.3297189613821094	535039.0171536325	933.6271316218528	6.9366081319255946	48.1165323758963	871659.6209004484	830.6499213391687	0.9938830590211865	689979.2918207672	0.9878035350093112	830.080967632415	562.6776346141319	0.865182	17.567561999999995	0.15605065000000012	0.0847365	-0.1161441175	-0.0730450009	-0.0442847401	-0.07609285889999999	0.0041720719	-0.063389576	-0.1272077006	-0.0704526229	0.0163772222	-0.0671820045	-0.07566859179999999	-0.0578320409	-0.08485023050000001	-0.0679728322	0.1114994035	0.0681524454	-0.0499181509	-0.0708748642	0.0168736358	-0.0406973882	0.0030391585	-0.0367695636	0.0714066006	-0.0038651763000000002	0.08181848629999999	-0.0736357386	-0.0271812354	0.0497257135	0.10872777730000001	0.0025003307	0.176003275	-0.09065129529999999	0.026221495499999997	0.0190813402	0.053527480599999996	-0.09253371070000001	-0.0213566599	-0.0208302702	0.1542893098	-0.09396110839999999	-0.0388301469	-0.0051549708	-0.020909696499999998	0.07483216179999999	0.061767500499999996	0.0017143792	-0.013369774	-0.0458127739	-0.060188619699999994	0.0001754647	0.0468548968	0.013572876000000001	0.055568303099999994	-0.012367163200000001	-0.034522864199999996	-0.08535138099999999	0.08933231130000001	0.0279855301	-0.216717	0.0005479999999999928	0.046966258089000006	3.0030399999999234e-07	-0.0101204	-0.0650333	0.004229330108889999	0.00010242249616	-1.24833	0.037370000000000125	1.5583277888999998	0.0013965169000000096	0.022186	-0.00041729999999999887	1.741392899999991e-07	0.000492218596	-0.00489883	0.0004905300000000003	2.4061968090000035e-07	2.39985353689e-05	-0.00102905	-0.00015415700000000025	1.0589439025000003e-06	2.376438064900008e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
731.9989076427022	0.5352946354436199	0.2865403467347179	535822.4007901093	933.6114360936084	-0.0156955282443505	0.00024634960686920423	871630.3136047699	831.5206862285837	0.8707648894149997	691426.6516260548	0.7582314926379168	832.0742116128772	561.9937170863536	0.8531610000000001	17.323484	0.1508408	0.0676657	-0.11819853539999994	-0.0740844407	-0.0601442051	-0.0589337255	-0.0674676394	-0.0852397036	-0.024970486200000003	-0.060210777699999996	0.0114598064	0.045021722800000004	-0.034990768	-0.0842975166	-0.0632634817	0.014661248100000001	-0.0672730139	0.0852207217	-0.0761957025	-0.028906464500000006	0.0243753985	-0.0252275498	0.021012760499999998	-0.0226467832	0.074767455	-0.0379280041	-0.016648611299999998	0.0534077008	0.029163780099999998	0.023551866	0.0022178138	0.09710519	0.0543380891	-0.0389010429	-0.1322804017	-0.028754087799999998	0.0402251883	-0.0209644991	-0.0673469096	-0.0792684652	0.075815605	0.0459396216	-0.0828481398	0.0507565054	-0.0305085725	0.0116000798	0.060513634299999994	0.0080764761	0.0057720238	0.06977558889999999	-0.0038080966999999998	0.0992483616	-0.051430055499999995	-0.0633304889	0.07747088860000001	0.0316899442	-0.0363662087	-0.0829207229	0.09245798029999999	0.0203774681	-0.245929	-0.029211999999999988	0.06048107304100001	0.0008533409439999992	-0.0164627	-0.0063423	4.022476929e-05	0.00027102049129	-1.28542	-0.03709000000000007	1.6523045764	0.001375668100000005	0.0214854	-0.0007005999999999991	4.908403599999988e-07	0.0004616224131600001	-0.00444764	0.0004511899999999998	2.0357241609999975e-07	1.97815015696e-05	-0.00144119	-0.0004121399999999999	2.0770286161e-06	1.6985937959999988e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
733.8482440641069	1.8493364214047008	3.420045199533944	538533.245315973	941.3462739476796	7.734837854071202	59.82771662877279	886132.8074751799	831.5526292588423	0.031943030258617	691479.7752272937	0.0010203571821029212	832.0993661465031	563.5959451899649	0.7867569999999999	15.975133	0.1860819	0.100281	-0.091388022	-0.0380032919	-0.047885250899999995	-0.004798081500000001	-0.0171373002	0.0052467553	-0.034167105499999996	-0.0493046045	-0.0552618829	0.1151580552	-0.037189174500000005	-0.0416146553	-0.017062778100000002	0.0031725569	-0.10702841769999999	0.08882973050000001	-0.1161270465	-0.055070285700000006	-0.0333164371	-0.0648007537	0.028147609100000002	-0.037322871699999996	0.1045780075	0.1107871994	-0.1364843876	0.052485723600000006	0.0870572656	0.1669391226	-0.0928866241	-0.04366776	-0.0021206233	-0.1231014547	-0.06220438690000001	-0.0230321463	-0.0009136047000000001	-0.023867838399999997	-0.0326194686	-0.019225561699999998	0.0513159508	0.14283991199999999	-0.0861784743	0.0788009966	-0.0502747754	0.0489252881	0.0655894425	0.0389992147	0.033892303900000004	0.0662520947	-0.0895425003	-0.0194871665	-0.0498253229	-0.059482109400000004	0.0686298522	0.034220222200000004	-0.0381975612	-0.0803806988	0.09530931050000001	0.0126619363	-0.263092	-0.017162999999999984	0.06921740046399999	0.00029456856899999945	0.0696557	0.0861184	0.0074163788185600005	0.0048519165424899995	-1.32666	-0.041239999999999936	1.7600267555999998	0.0017007375999999953	0.02127	-0.0002154000000000045	4.6397160000001926e-08	0.0004524128999999999	-0.00447514	-2.749999999999975e-05	7.562499999999861e-10	2.00268780196e-05	-0.0020295	-0.0005883100000000001	4.11887025e-06	3.461086561000001e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
736.5266746380372	2.6784305739303136	7.17399033936467	542471.5424533653	948.3464795446996	7.000205597019999	49.00287840055014	899361.0452648253	831.2466848382367	-0.3059444206056696	690971.0510545587	0.09360198849973887	832.0634356129193	576.6767951993756	0.9102380000000002	18.482437	0.10995140000000014	0.0557424	-0.0375714985	0.0223782366	-0.0671606349	0.0735333171	0.1091362328	0.0845001749	-0.031220688700000002	0.0432641058	-0.15188544710000002	0.029310151	-0.0579038909	-0.0338785641	0.0857865955	-0.0265740805	-0.0848480907	-0.02904963	-0.0859852976	0.0442182661	0.028999409900000002	-0.036405396	0.0708006067	-0.1151275689	0.019837014899999998	0.0535681777	0.019156896200000002	0.0643311932	0.100262423	0.0032578422999999996	-0.0806863667	-0.060706418899999996	-0.0854481677	0.1026043771	0.006270784000000001	0.011171288	0.0519601226	-0.049594613600000004	-0.010852321399999998	0.080286262	0.0041778925	0.1668109958	0.0180674278	-0.0325964686	-0.0721871983	0.04195331730000002	0.0145820936	-0.0294302502	0.10398037119999999	0.0266895202	-0.1392709544	0.0098761516	-0.06469084929999999	0.1504435049	-0.0052955364	0.056104313600000004	-0.0400163178	-0.0777346585	0.0978778417	0.0048796259	-0.245713	0.017378999999999978	0.060374878369	0.00030202964099999916	0.0297768	-0.039878900000000016	0.0015903266652100008	0.0008866578182399998	-1.32675	-9.000000000014552e-05	1.7602655625000003	8.100000000026193e-09	0.020992	-0.000277999999999997	7.728399999999834e-08	0.000440664064	-0.00425831	0.00021682999999999943	4.7015248899999764e-08	1.8133204056100007e-05	-0.00147226	0.0005572400000000001	2.1675495076e-06	3.105164176000001e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
