global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	cosine00	cosine01	cosine02	cosine03	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27	motion_outlier28	motion_outlier29	motion_outlier30	motion_outlier31	motion_outlier32	motion_outlier33	motion_outlier34	motion_outlier35	motion_outlier36	motion_outlier37
747.083956378034	3.1280987074646878	9.785001523642247	558134.4378774563	1080.7870597325625	7.268317511184933	52.828439443397535	1168100.6684853577	768.9104778053729	-1.0326377187139997	591223.3228788868	1.0663406581108534	818.147516642962	730.8473414733417	1.2289580000000002	26.119818	0.7040420000000001	0.335464	0.044856290099999994	0.1040466254	-0.0080697994	0.1020145841	-0.0512656014	0.1297394726	-0.0829492629	0.0056374996	0.217911775	-0.0882141487	0.0020208999	0.0058520265	0.0014720892	-0.002173261	0.009665133499999999	-0.0383079081	0.084548957	-0.07510472139999999	-0.11829076949999999	0.022595889900000003	-0.0199182239	0.0128967708	0.22115912420000008	-0.0574879296	-0.0660964336	0.12437111890000001	-0.0253808691	0.0829694388	-0.2197516994	0.0958305373	0.0266830078	-0.1874540559	-0.0738307318	0.12442176560000001	-0.045985487199999994	0.0732863717	0.0683997604	0.0019718393	-0.1035401344	0.0910039834	-0.0712224057	0.045770342900000004	0.0	0.8642639999999999	0.15214299999999992	0.02314749244899997	0.7469522616959998	-0.33862800000000004	-0.14931500000000006	0.02229496922500001	0.11466892238400005	-0.8609529999999999	-0.15684599999999993	0.024600667715999974	0.7412400682089998	0.00600726	0.001019860000000001	3.6087172707600014e-05	1.0401144196000018e-06	-0.0273811	-0.0014931999999999964	0.0007497246372099999	2.22964623999999e-06	0.019407	0.0024017	5.768162889999997e-06	0.00037663164900000006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
748.6494125775374	1.565456199503387	2.450653112563589	560475.9429526918	1079.6975431177884	-1.0895166147740838	1.1870464538687793	1165746.7846145886	769.1934514075737	0.28297360220074097	591658.5656882954	0.08007405954246319	816.3882562261263	738.3690345381826	1.0715709999999998	22.774775	0.41914350000000006	0.248545	0.025841352400000003	0.1109610678	-0.0174197895	0.1033449714	0.048551152199999996	0.13491858199999998	-0.07246663610000001	0.054275270199999996	0.1627726678	-0.003242133	0.0259641986	-0.011853331000000002	-0.1074250183	0.053765554699999996	0.019613748400000002	0.081588092	0.0350181758	0.0647449657	-0.1341735077	-0.1086747451	0.0584233195	0.009953539	0.0535772605	-0.0313825537	0.10780834460000001	0.13712032710000002	-0.0634237753	0.0044142526	-0.1629258201	0.0332342039	0.0540490414	0.0711430475	0.0581876528	-0.0839253442	0.0252225431	0.1530541722	0.103851826	0.1361237456	-0.1040730175	0.0930559299	-0.07554976570000001	0.052775283799999996	0.0	0.8650259999999999	0.0007619999999999294	5.806439999998925e-07	0.7482699806759997	-0.150409	0.18821900000000005	0.03542639196100002	0.022622867280999995	-0.717761	0.14319199999999987	0.020503948863999963	0.5151808531209999	0.00510575	-0.0009015100000000004	2.60686830625e-05	8.127202801000004e-07	-0.0268545	0.0005265999999999986	0.00072116417025	2.7730755999999855e-07	0.0197183	0.000311299999999997	9.690768999999813e-08	0.00038881135488999985	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
750.2418530473143	1.592440469776875	2.5358666497831943	562862.8380638679	1081.5631678635557	1.8656247457672637	3.4805556920191663	1169778.88607905	769.5698055905357	0.3763541829620181	592237.6856766549	0.14164247103300814	817.9292887886404	744.8940305338092	1.166954	24.802023	0.6405374999999999	0.353322	0.0037457617	0.1336383344	-0.0646421504	0.11775707869999999	-0.0082818224	0.1323041505	-0.1085477051	0.0806636989	0.2218751322	-0.0372645199	-0.0781740638	0.0527467829	0.06075313120000001	0.0536518908	-0.0909333084	-0.042495128	0.10097761960000001	-0.0110585499	-0.0396427867	-0.05453983849999999	-0.1075436826	0.1826349357	0.0321512074	0.0764973912	0.021592789700000004	0.13579517300000002	-0.0830654822	0.0349004978	-0.2563294613	-0.0008151221000000001	0.048513449400000005	-0.1591338831	0.0232555596	0.11238688150000001	-0.0518639863	-0.0221692167	0.054949354900000004	0.0861782747	-0.1045711815	0.0949837116	-0.0796503432	0.05949864570000001	0.0	0.910845	0.04581900000000028	0.002099380761000025	0.8296386140250003	-0.35285	-0.202441	0.040982358481000014	0.1245031225	-0.9803710000000002	-0.26261000000000023	0.06896401210000012	0.9611272976410004	0.0055404	0.00043465	3.069603216e-05	1.889206225e-07	-0.0286482	-0.0017937000000000022	0.0008207193632400003	3.217359690000008e-06	0.0200833	0.0003650000000000008	1.3322500000000053e-07	0.00040333893888999986	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
754.3616327659155	4.119779718601194	16.972584929797733	569061.4729892579	1090.2823895644397	8.719221700883963	76.02482706916584	1188715.6889943446	770.6891690192059	1.1193634286702263	593961.7952435141	1.2529744854443647	817.276579107816	764.8982574391914	1.160792	24.671045	0.5495389999999999	0.310253	-0.0341825669	0.1497479442	-0.0940909408	0.1251675984	0.0784234936	0.1051417251	-0.1275666013	0.0887129426	0.1538649408	0.0388054535	-0.057031170599999986	-0.0982756395	-0.0216779932	0.0107134548	0.10409501880000001	0.053465735	-0.0008169594	0.0007771244	-0.060647084500000004	-0.028858389900000007	-0.016518747900000002	0.08715431720000001	0.030801759300000002	0.0064502387	-0.049045144000000006	0.1189909006	-0.13165974689999999	-0.0273111631	-0.1587684623	-0.088349096	0.09353807300000001	0.0981839274	0.0324002734	-0.085340529	-0.0717862909	-0.0530858238	-0.0324775853	0.1494653137	-0.1050344602	0.09678475619999999	-0.08351182900000001	0.0659045565	0.0	0.910027	-0.0008180000000000964	6.691240000001579e-07	0.8281491407289999	-0.17629	0.17656	0.0311734336	0.031078164100000003	-0.782018	0.19835300000000025	0.03934391260900009	0.611552152324	0.00528504	-0.0002553599999999996	2.7931647801600005e-05	6.52087295999998e-08	-0.0255273	0.0031209000000000033	0.00065164304529	9.740016810000017e-06	0.0201832	9.99e-05	9.980009999999996e-09	0.00040736156223999986	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
758.3892385319491	4.027605766033616	16.221608206587234	575154.2371210696	1094.9159754396326	4.633585875192921	21.470118062787343	1198840.993272922	773.5538785111867	2.8647094919807614	598385.6029596997	8.206560473444673	820.3791422396863	768.3061644882944	1.437885	30.560278000000004	0.824023	0.494109	-0.0722916175	0.1183125559	-0.1181003683	0.10126606390000001	0.0702093753	0.0116808573	-0.1465663162	0.0482574539	0.0064360405	-0.026834657999999997	0.0794248924	-0.1102420774	0.046317412599999996	-0.0339242086	0.0444823644	-0.056585734699999994	0.020340991200000002	0.0697480036	-0.0044243213	0.0139933717	-0.0146448159	-0.0233433761	0.0006972726	0.0194051001	-0.0091467699	0.044467403600000004	-0.1559690666	-0.047932237999999995	-0.0334346379	0.0618573672	0.0091681653	0.0190945246	-0.0367909982	-0.0861862636	-0.0852997875	0.0013273229999999998	0.041965441900000004	-0.0175828173	-0.10546269890000001	0.09845666060000001	-0.08712263199999999	0.071958838	0.0	0.739668	-0.17035900000000004	0.029022188881000013	0.547108750224	-0.16611199999999998	0.01017800000000002	0.00010359168400000042	0.027593196543999998	-0.699246	0.08277199999999996	0.006851203983999993	0.4889449685160001	0.00524066	-4.438000000000011e-05	2.7464517235600006e-05	1.9695844000000102e-09	-0.0188741	0.006653200000000002	0.00035623165080999984	4.426507024000002e-05	0.0156665	-0.004516699999999999	2.0400578889999987e-05	0.00024543922225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
761.0434615505644	2.654223018615312	7.044899832547379	579187.1503688655	1096.6627850111934	1.7468095715607888	3.0513436792963864	1202669.2640285068	775.7787292549342	2.224850743747538	601832.6367644005	4.949960831953974	822.9508449536247	798.1938392342705	1.094888	23.27035	0.5084876000000002	0.271409	-0.1282583567	0.0903775321	-0.15456046380000002	0.026839948199999998	0.06794895299999999	-0.0639306413	-0.14672402369999998	0.014635308999999999	-0.0097370776	0.052445088099999995	0.012206981	-0.04359911019999999	-0.028588616	-0.08780327310000001	-0.0462018705	-0.0787081811	0.0172715301	-0.0076908821	0.0873638127	-0.07227828509999999	-0.0585934846	0.0603160634	-0.058967346399999995	-0.0065635542	0.0181579739	-0.043118732300000004	-0.1598391971	-0.0300527463	-0.021739786400000002	0.0037661552000000003	-0.0641477942	-0.030191036	0.010664992600000001	-0.0356792435	0.0301679268	0.0700765232	-0.11683151509999999	-0.0517034612	-0.105855755	0.099997194	-0.0904719133	0.077629188	0.0	0.6335430000000001	-0.10612499999999993	0.01126251562499998	0.4013767328490001	-0.0861194	0.07999259999999997	0.006398816054759998	0.007416551056359999	-0.684913	0.01433300000000004	0.0002054348890000012	0.469105817569	0.00410732	-0.00113334	1.6870077582400007e-05	1.2844595556e-06	-0.017224	0.001650099999999998	0.000296666176	2.722830009999994e-06	0.012289200000000002	-0.003377299999999998	1.1406155289999984e-05	0.00015102443664000005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
