trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,trans_x_der,trans_y_der,trans_z_der,rot_x_der,rot_y_der,rot_z_der,trans_x_2,trans_y_2,trans_z_2,rot_x_2,rot_y_2,rot_z_2,trans_x_der_2,trans_y_der_2,trans_z_der_2,rot_x_der_2,rot_y_der_2,rot_z_der_2,a_comp_cor_00,a_comp_cor_01,a_comp_cor_02,a_comp_cor_03,a_comp_cor_04,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.10,0.11,0.12,0.13,0.14,initdum_1.0
0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.00721534,0.0479218,0.0496845,-0.0011066,-0.000328974,-0.000134303,-0.00721534,0.0479218,0.0496845,-0.0011066,-0.000328974,-0.000134303,5.2061131e-05,0.0022964989,0.0024685495,1.2245636e-06,1.0822389e-07,1.8037296e-08,5.2061131e-05,0.0022964989,0.0024685495,1.2245636e-06,1.0822389e-07,1.8037296e-08,0.0039722619,-0.22228776,0.027271969,0.051428046,0.21168847,0.3363319,0,0,-0.97995338,0,0,1.8664935,0,0,-2.4948258,0,0,3.0341856,0,0,0
0.00906889,0.0353247,0.162695,-0.00123072,0.000343803,-0.000209761,0.01628423,-0.0125971,0.1130105,-0.00012412,0.000672777,-7.5458e-05,8.2244766e-05,0.0012478344,0.026469663,1.5146717e-06,1.182005e-07,4.3999677e-08,0.00026517615,0.00015868693,0.012771373,1.5405774e-08,4.5262889e-07,5.6939098e-09,0.079625747,-0.15785068,0.0020856249,-0.0067128001,0.1586404,8.0267167,0,0,-15.986889,0,0,22.771621,0,0,-24.455368,0,0,23.756792,0,0,0
-0.00681885,0.0179764,0.107973,-0.0011066,-8.82791e-05,-0.000427904,-0.01588774,-0.0173483,-0.054722,0.00012412,-0.0004320821,-0.000218143,4.6496715e-05,0.00032315096,0.011658169,1.2245636e-06,7.7931995e-09,1.8310183e-07,0.00025242028,0.00030096351,0.0029944973,1.5405774e-08,1.8669494e-07,4.7586368e-08,-0.093178578,-0.0098401477,0.10706225,0.05525641,-0.017174996,35.646218,0,0,-46.531439,0,0,44.872643,0,0,-31.42687,0,0,20.803266,0,0,0
-0.038571,0.0810696,0.147163,-0.00174282,-0.000586978,-0.000417515,-0.03175215,0.0630932,0.03919,-0.00063622,-0.0004986989,1.0389e-05,0.001487722,0.00657228,0.021656949,3.0374216e-06,3.4454317e-07,1.7431878e-07,0.001008199,0.0039807519,0.0015358561,4.0477589e-07,2.4870059e-07,1.0793132e-10,-0.0045990103,-0.066291436,0.033335904,-0.038010649,-0.0054835353,75.67187,0,0,-56.365318,0,0,32.609345,0,0,-10.80615,0,0,14.182407,0,0,0
-0.0217118,-0.0125241,0.141126,-0.000870597,-9.97643e-05,-0.000139913,0.0168592,-0.0935937,-0.006037,0.000872223,0.0004872137,0.000277602,0.00047140226,0.00015685308,0.019916548,7.5793914e-07,9.9529156e-09,1.9575648e-08,0.00028423262,0.0087597807,3.6445369e-05,7.6077296e-07,2.3737719e-07,7.706287e-08,-0.051827725,-0.03115845,0.0063261503,-0.021851265,-0.046467839,108.81782,0,0,-29.662492,0,0,19.656091,0,0,-20.011735,0,0,32.98514,0,0,0
0.00430136,0.0829676,0.153898,-0.00187964,-0.000132741,-5.11899e-05,0.02601316,0.0954917,0.012772,-0.001009043,-3.29767e-05,8.87231e-05,1.8501698e-05,0.0068836226,0.023684594,3.5330465e-06,1.7620173e-08,2.6204059e-09,0.00067668449,0.0091186648,0.00016312398,1.0181678e-06,1.0874627e-09,7.8717885e-09,-0.026848908,-0.038106198,-0.10779188,0.0003011298,0.0086161822,123.57823,0,0,4.580444,0,0,45.727178,0,0,-27.022416,0,0,21.330641,0,0,0
-0.0280302,0.08233,0.159809,-0.00192321,-0.000538178,-0.000336945,-0.03233156,-0.0006376,0.005911,-4.357e-05,-0.000405437,-0.0002857551,0.00078569211,0.0067782289,0.025538916,3.6987367e-06,2.8963556e-07,1.1353193e-07,0.0010453298,4.0653376e-07,3.4939921e-05,1.8983449e-09,1.6437916e-07,8.1655977e-08,-0.025378818,0.0093168872,-0.11047127,0.056050465,-0.011111645,123.83761,0,0,19.263492,0,0,77.170796,0,0,3.3965724,0,0,26.995908,0,0,0
-0.0205745,0.0530365,0.165739,-0.00138647,-0.000188937,-0.000261314,0.0074557,-0.0292935,0.00593,0.00053674,0.000349241,7.5631e-05,0.00042331005,0.0028128703,0.027469416,1.9222991e-06,3.569719e-08,6.8285007e-08,5.5587462e-05,0.00085810914,3.51649e-05,2.8808983e-07,1.2196928e-07,5.7200482e-09,-0.0015358505,0.030684588,-0.064998813,0.06402624,-0.039174421,120.1169,0,0,19.264761,0,0,87.359357,0,0,28.093393,0,0,58.74355,0,0,0
-0.0761277,0.0323049,0.106344,-0.00203268,-0.000476834,-0.000336945,-0.0555532,-0.0207316,-0.059395,-0.00064621,-0.000287897,-7.5631e-05,0.0057954267,0.0010436066,0.011309046,4.131788e-06,2.2737066e-07,1.1353193e-07,0.003086158,0.00042979924,0.003527766,4.1758736e-07,8.2884683e-08,5.7200482e-09,-0.14231147,-0.029259947,-0.028677908,0.057942981,-0.10308148,117.32428,0.3363319,0,17.141225,-0.97995338,0,83.676309,1.8664935,0,36.948335,-2.4948258,0,78.558444,3.0341856,0,0
-0.0509139,0.109487,0.200304,-0.00322239,-0.00107971,-0.000336945,0.0252138,0.0771821,0.09396,-0.00118971,-0.000602876,0,0.0025922252,0.011987403,0.040121692,1.0383797e-05,1.1657737e-06,1.1353193e-07,0.00063573571,0.0059570766,0.0088284816,1.4154099e-06,3.6345947e-07,0,0.054383566,-0.0040191402,-0.013384096,0.033760376,0.021527186,108.76135,7.6903848,0.3363319,30.376245,-15.006936,-0.97995338,59.877961,20.905128,1.8664935,57.933023,-21.960542,-2.4948258,65.638584,20.722606,3.0341856,0
-0.0184863,0.0814023,0.257187,-0.00261823,-0.000454402,-0.000160991,0.0324276,-0.0280847,0.056883,0.00060416,0.000625308,0.000175954,0.00034174329,0.0066263344,0.066145153,6.8551283e-06,2.0648118e-07,2.5918102e-08,0.0010515492,0.00078875037,0.0032356757,3.6500931e-07,3.9101009e-07,3.095981e-08,0.080419306,-0.028488768,-0.040729799,-0.004845387,-0.046664772,80.959628,27.619502,7.6903848,60.421968,-30.544549,-15.006936,36.666862,22.101022,20.905128,63.803235,-6.971502,-21.960542,69.627005,-2.9535262,20.722606,0
-0.0257894,0.0627763,0.185203,-0.00228515,-0.000335683,-0.000104946,-0.0073031,-0.018626,-0.071984,0.00033308,0.000118719,5.6045e-05,0.00066509315,0.0039408638,0.034300151,5.2219105e-06,1.1268308e-07,1.1013663e-08,5.333527e-05,0.00034692788,0.0051816963,1.1094229e-07,1.4094201e-08,3.141042e-09,-0.20755805,-0.019820188,-0.06176933,0.014763395,-0.15127231,40.928501,40.025651,27.619502,70.238375,-9.8338796,-30.544549,48.885453,-12.263298,22.101022,43.127014,20.620719,-6.971502,76.255341,-6.6208587,-2.9535262,0
-0.029638,0.0868079,0.140905,-0.00344588,-0.000594943,-0.00029909,-0.0038486,0.0240316,-0.044298,-0.00116073,-0.00025926,-0.000194144,0.00087841104,0.0075356115,0.019854219,1.1874089e-05,3.5395717e-07,8.9454828e-08,1.4811722e-05,0.0005775178,0.0019623128,1.3472941e-06,6.7215748e-08,3.7691893e-08,0.083491147,-0.010687132,0.080210903,0.17550785,-0.013918492,7.7825467,33.145954,40.025651,43.535548,26.702826,-9.8338796,61.838707,-12.953254,-12.263298,52.332599,-9.2055843,20.620719,57.452607,18.802733,-6.6208587,0
-0.0363659,0.0974354,0.215707,-0.00357594,-0.000781717,-0.00037736,-0.0067279,0.0106275,0.074802,-0.00013006,-0.000186774,-7.827e-05,0.0013224787,0.0094936572,0.04652951,1.2787347e-05,6.1108147e-07,1.4240057e-07,4.5264638e-05,0.00011294376,0.0055953392,1.6915604e-08,3.4884527e-08,6.1261929e-09,0.11142603,-0.014241972,0.061024538,0.077122218,-0.016420158,-6.9778604,14.760407,33.145954,9.2926121,34.242936,26.702826,35.76762,26.071087,-12.953254,59.343279,-7.0106809,-9.2055843,69.107106,-11.654499,18.802733,0
-0.0363321,0.0659327,0.226827,-0.00299546,-0.000781717,-0.000309322,3.38e-05,-0.0315027,0.01112,0.00058048,0,6.8038e-05,0.0013200215,0.0043471209,0.051450488,8.9727806e-06,6.1108147e-07,9.56801e-08,1.14244e-09,0.00099242011,0.0001236544,3.3695703e-07,0,4.6291694e-09,0.01806919,0.089630405,0.11265211,-0.012149613,-0.071784403,-7.2372391,0.25937865,14.760407,-5.3904359,14.683048,34.242936,4.3240022,31.443618,26.071087,28.924291,30.418988,-7.0106809,63.44184,5.6652664,-11.654499,0
-0.0545266,0.0666169,0.211606,-0.00339591,-0.000781717,-0.000552661,-0.0181945,0.0006842,-0.015221,-0.00040045,0,-0.000243339,0.0029731501,0.0044378114,0.044777099,1.1532205e-05,6.1108147e-07,3.0543418e-07,0.00033103983,4.6812964e-07,0.00023167884,1.603602e-07,0,5.9213869e-08,-0.051901915,0.095086457,0.081575786,-0.028883144,0.049455426,-3.5165271,-3.720712,0.25937865,-5.3917047,0.001268743,14.683048,-5.864559,10.188561,31.443618,4.2274712,24.69682,30.418988,31.694197,31.747643,5.6652664,0
-0.0705366,0.144256,0.324508,-0.00390908,-0.00109667,-0.000866535,-0.01601,0.0776391,0.112902,-0.00051317,-0.000314953,-0.000313874,0.0049754119,0.020809794,0.10530544,1.5280906e-05,1.2026851e-06,7.5088291e-07,0.0002563201,0.0060278298,0.012746862,2.6334345e-07,9.9195392e-08,9.8516888e-08,0.069974038,0.1031038,0.061564662,-0.18241241,0.06761493,-1.0602419,-2.4562852,-3.720712,-2.2882157,-3.103489,0.001268743,-4.0480049,-1.8165541,10.188561,-2.1326453,6.3601165,24.69682,8.8451177,22.849079,31.747643,0
-0.0587533,-0.0079094,0.252558,-0.00262937,-0.000781717,-0.000746328,0.0117833,-0.1521654,-0.07195,0.00127971,0.000314953,0.000120207,0.0034519503,6.2558608e-05,0.063785543,6.9135866e-06,6.1108147e-07,5.5700548e-07,0.00013884616,0.023154309,0.0051768025,1.6376577e-06,9.9195392e-08,1.4449723e-08,-0.075190717,0.10820956,0.15436008,-0.022133019,-0.0010265107,-0.18769801,-0.8725439,-2.4562852,-0.51629968,-1.771916,-3.103489,-1.1547843,-2.8932206,-1.8165541,-1.1567913,-0.97585403,6.3601165,1.0423718,7.8027459,22.849079,0
