trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,trans_x_der,trans_y_der,trans_z_der,rot_x_der,rot_y_der,rot_z_der,trans_x_2,trans_y_2,trans_z_2,rot_x_2,rot_y_2,rot_z_2,trans_x_der_2,trans_y_der_2,trans_z_der_2,rot_x_der_2,rot_y_der_2,rot_z_der_2,a_comp_cor_00,a_comp_cor_01,a_comp_cor_02,a_comp_cor_03,a_comp_cor_04,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.10,0.11,0.12,0.13,0.14,initdum_1.0
0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0.0544538,0.0224732,-0.00062352,-0,0,0,0.0544538,0.0224732,-0.00062352,0,0,0,0.0029652163,0.00050504472,3.8877719e-07,0,0,0,0.0029652163,0.00050504472,3.8877719e-07,0,0,-0.024753432,-0.21211868,0.086260039,0.18737203,-0.21769725,0.3363319,0,0,-0.97995338,0,0,1.8664935,0,0,-2.4948258,0,0,3.0341856,0,0,0
-0.0165296,0.0545006,0.00252983,8.81485e-06,0.00015918,-0.000217904,-0.0165296,4.68e-05,-0.01994337,0.00063233485,0.00015918,-0.000217904,0.00027322768,0.0029703154,6.4000398e-06,7.7701581e-11,2.5338272e-08,4.7482153e-08,0.00027322768,2.19024e-09,0.00039773801,3.9984736e-07,2.5338272e-08,4.7482153e-08,-0.089704071,-0.061988494,0.066886714,-0.0030697224,-0.18852866,8.0267167,0,0,-15.986889,0,0,22.771621,0,0,-24.455368,0,0,23.756792,0,0,0
-0.0165167,-0.00452546,0.0197887,-0.000156887,-0,0,1.29e-05,-0.05902606,0.01725887,-0.00016570185,-0.00015918,0.000217904,0.00027280138,2.0479788e-05,0.00039159265,2.4613531e-08,0,0,1.6641e-10,0.0034840758,0.00029786859,2.7457103e-08,2.5338272e-08,4.7482153e-08,0.053834042,0.073388391,-0.0039897163,0.0013565783,-0.13707976,35.646218,0,0,-46.531439,0,0,44.872643,0,0,-31.42687,0,0,20.803266,0,0,0
0.00312229,-0.00452546,0.0139288,-0.000156887,-0,0,0.01963899,0,-0.0058599,0,0,0,9.7486948e-06,2.0479788e-05,0.00019401147,2.4613531e-08,0,0,0.00038568993,0,3.4338428e-05,0,0,0,0.068825411,0.079441044,0.021893658,0.076795667,-0.035516577,75.67187,0,0,-56.365318,0,0,32.609345,0,0,-10.80615,0,0,14.182407,0,0,0
0.00652305,0.00991334,-0.0271333,-0.000434149,-0,0,0.00340076,0.0144388,-0.0410621,-0.000277262,0,0,4.2550181e-05,9.827431e-05,0.00073621597,1.8848535e-07,0,0,1.1565169e-05,0.00020847895,0.0016860961,7.6874217e-08,0,0,0.1271023,-0.14479727,0.028772639,0.11616788,-0.050820588,108.81782,0,0,-29.662492,0,0,19.656091,0,0,-20.011735,0,0,32.98514,0,0,0
0.0208627,0.0391796,-0.0545027,-0.000156887,-0,0,0.01433965,0.02926626,-0.0273694,0.000277262,0,0,0.00043525225,0.0015350411,0.0029705443,2.4613531e-08,0,0,0.00020562556,0.00085651397,0.00074908406,7.6874217e-08,0,0,0.043789378,-0.030121693,0.11288202,-0.090208424,0.057353041,123.57823,0,0,4.580444,0,0,45.727178,0,0,-27.022416,0,0,21.330641,0,0,0
0.020851,0.0352061,-0.0544468,-0.000452001,-3.3485e-24,-6.17688e-05,-1.17e-05,-0.0039735,5.59e-05,-0.000295114,-3.3485e-24,-6.17688e-05,0.0004347642,0.0012394695,0.002964454,2.043049e-07,1.1212452e-47,3.8153847e-09,1.3689e-10,1.5788702e-05,3.12481e-09,8.7092273e-08,1.1212452e-47,3.8153847e-09,-0.093844943,-0.016217762,0.0069012812,-0.15017181,0.073446991,123.50128,0.3363319,0.3363319,20.243445,-0.97995338,-0.97995338,75.304302,1.8664935,1.8664935,5.8913982,-2.4948258,-2.4948258,23.961722,3.0341856,3.0341856,0
0.0287816,0.0160571,-0.0884,-0.000321677,-0.000271618,0,0.0079306,-0.019149,-0.0339532,0.000130324,-0.000271618,6.17688e-05,0.0008283805,0.00025783046,0.00781456,1.0347609e-07,7.3776338e-08,0,6.2894416e-05,0.0003666842,0.0011528198,1.6984345e-08,7.3776338e-08,3.8153847e-09,-0.023574629,0.07883931,0.0057460987,-0.08582419,0.11738935,112.09018,7.6903848,8.0267167,35.25165,-15.006936,-15.986889,64.587736,20.905128,22.771621,52.54876,-21.960542,-24.455368,34.986759,20.722606,23.756792,0
0.0206149,-0.043567,-0.0760492,-0.000269241,-0,-0.000493274,-0.0081667,-0.0596241,0.0123508,5.2436e-05,0.000271618,-0.000493274,0.0004249741,0.0018980835,0.0057834808,7.2490716e-08,0,2.4331924e-07,6.6694989e-05,0.0035550333,0.00015254226,2.7495341e-09,7.3776338e-08,2.4331924e-07,0.10082489,0.0055061714,-0.085057705,0.18269199,0.1583066,82.014394,27.619502,35.309886,62.692711,-30.544549,-45.551485,40.67016,22.101022,43.00615,65.880379,-6.971502,-28.932044,60.789364,-2.9535262,17.76908,0
