trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,trans_x_der,trans_y_der,trans_z_der,rot_x_der,rot_y_der,rot_z_der,trans_x_2,trans_y_2,trans_z_2,rot_x_2,rot_y_2,rot_z_2,trans_x_der_2,trans_y_der_2,trans_z_der_2,rot_x_der_2,rot_y_der_2,rot_z_der_2,a_comp_cor_00,a_comp_cor_01,a_comp_cor_02,a_comp_cor_03,a_comp_cor_04,initdum_1.0
0,-1.13603e-09,3.66245e-09,-5.60104e-05,-0,0,0,0,0,0,0,0,0,1.2905642e-18,1.341354e-17,3.1371649e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0.0721183,0.0644148,-0.00065315,-0,0,0,0.072118301,0.064414796,-0.0005971396,0,0,0,0.0052010492,0.0041492665,4.2660492e-07,0,0,0,0.0052010494,0.004149266,3.565757e-07,0,0,-0.34552594,0.32627412,-0.31980322,0.32574436,-0.24290482,0
7.16531e-06,0.0250366,0.11801,-0.000287649,5.67919e-05,7.20553e-05,7.16531e-06,-0.0470817,0.0535952,0.000365501,5.67919e-05,7.20553e-05,5.1341667e-11,0.00062683134,0.01392636,8.2741947e-08,3.2253199e-09,5.1919663e-09,5.1341667e-11,0.0022166865,0.0028724455,1.3359098e-07,3.2253199e-09,5.1919663e-09,-0.024858909,0.14081896,-0.14731485,0.016268715,-0.1685672,0
-6.90597e-06,0.0707917,0.10162,-0.000587528,7.6868e-05,0,-1.407128e-05,0.0457551,-0.01639,-0.000299879,2.00761e-05,-7.20553e-05,4.7692422e-11,0.0050114648,0.010326624,3.4518915e-07,5.9086894e-09,0,1.9800092e-10,0.0020935292,0.0002686321,8.9927415e-08,4.0304979e-10,5.1919663e-09,0.065153796,0.042383159,-0.09353031,0.087510534,-0.044696019,0
-1.17388e-06,0.0708098,0.115618,-0.000436444,0.000147781,5.55269e-05,5.73209e-06,1.81e-05,0.013998,0.000151084,7.0913e-05,5.55269e-05,1.3779943e-12,0.0050140278,0.013367522,1.9048337e-07,2.1839224e-08,3.0832366e-09,3.2856856e-11,3.2761e-10,0.000195944,2.2826375e-08,5.0286536e-09,3.0832366e-09,0.1137397,0.024190932,-0.03535434,0.079856468,0.050396058,0
9.47232e-07,0.0707916,0.0987303,-0.000522559,8.0496e-06,0,2.121112e-06,-1.82e-05,-0.0168877,-8.6115e-05,-0.0001397314,-5.55269e-05,8.9724846e-13,0.0050114506,0.0097476721,2.7306791e-07,6.479606e-11,0,4.4991161e-12,3.3124e-10,0.00028519441,7.4157932e-09,1.9524864e-08,3.0832366e-09,-0.033099719,-0.036711148,0.078181434,0.11580092,0.081789207,0
-3.10846e-05,0.113371,0.114145,-0.000949434,0.000143347,-5.10456e-05,-3.2031832e-05,0.0425794,0.0154147,-0.000426875,0.0001352974,-5.10456e-05,9.6625236e-10,0.012852984,0.013029081,9.0142492e-07,2.0548362e-08,2.6056533e-09,1.0260383e-09,0.0018130053,0.00023761298,1.8222227e-07,1.8305386e-08,2.6056533e-09,-0.054107099,0.010576046,0.085642793,0.020955817,0.02579199,0
-0.000131208,0.0645206,0.11623,-0.000580091,0.00059263,0,-0.0001001234,-0.0488504,0.002085,0.000369343,0.000449283,5.10456e-05,1.7215539e-08,0.0041629078,0.013509413,3.3650557e-07,3.5121032e-07,0,1.0024695e-08,0.0023863616,4.347225e-06,1.3641425e-07,2.0185521e-07,2.6056533e-09,-0.088599875,-0.028386914,0.14784111,-0.096124936,-0.016356038,0
-0.000131206,0.126796,0.124347,-0.00107595,0.00059263,0,1.9999999e-09,0.0622754,0.008117,-0.000495859,0,0,1.7215014e-08,0.016077226,0.015462176,1.1576684e-06,3.5121032e-07,0,3.9999996e-18,0.0038782254,6.5885689e-05,2.4587615e-07,0,0,0.0082698157,-0.017510934,0.071301878,-0.16597122,-0.065257499,0
5.61424e-05,0.0580316,0.131588,-0.000687978,0.00025507,0.000414017,0.0001873484,-0.0687644,0.007241,0.000387972,-0.00033756,0.000414017,3.1519691e-09,0.0033676666,0.017315402,4.7331373e-07,6.5060705e-08,1.7141008e-07,3.5099423e-08,0.0047285427,5.2432081e-05,1.5052227e-07,1.1394675e-07,1.7141008e-07,0.038833125,-0.023366057,0.087274641,-0.13249001,-0.022915802,0
